,Experiment,lab,Language,Subject,Age_months,Age_years,method,Query,Response,cite,KL,KL.assign,Notes
1,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,1,1,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,Error at 4
2,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,2,2,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,
3,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,3,3,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,
4,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,4,8,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,
5,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,5,5,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,
6,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,6,6,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,
7,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,7,7,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,
8,Piantadosi2014,Piantadosi,Tsimane,57,132,11,non-titrated,8,8,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,3,
9,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,1,1,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,Error at 6
10,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,2,2,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,
11,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,3,3,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,
12,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,4,4,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,
13,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,5,5,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,
14,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,6,6,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,
15,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,7,7,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,
16,Piantadosi2014,Piantadosi,Tsimane,60,132,11,non-titrated,8,6,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563.",CP,5,
17,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,3,3,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,Error at 5
18,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,4,4,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,
19,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,5,6,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,
20,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,4,4,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,
21,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,5,5,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,
22,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,6,6,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,
23,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,6,6,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,
24,SchneiderBarner_2020,Barner,English,021919-AS,48,4,titrated,6,6,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",CP,4,
25,SchneiderBarner_2020,Barner,English,021919-PW,50,4.166666667,titrated,3,2,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",1,2,"We never get to 1, but I would say kid is 1 knower"
26,SchneiderBarner_2020,Barner,English,021919-PW,50,4.166666667,titrated,2,2,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",1,2,
27,SchneiderBarner_2020,Barner,English,021919-PW,50,4.166666667,titrated,3,2,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",1,2,
28,SchneiderBarner_2020,Barner,English,021919-PW,50,4.166666667,titrated,2,2,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society.",1,2,
