dataset_id,subject_id,language,age_months,KL
Almoammer_Barner_2013,100212-LM,English,50,0
Almoammer_Barner_2013,100212-AR,English,46,CP
Almoammer_Barner_2013,100212-BL,English,27,0
Almoammer_Barner_2013,100210-C1,English,38,2
Almoammer_Barner_2013,100212-AA,English,25,0
Almoammer_Barner_2013,100212-A1,English,34,0
Almoammer_Barner_2013,100312-LM,English,48,CP
Almoammer_Barner_2013,100312-PH,English,46,3
Almoammer_Barner_2013,100312-RW,English,46,2
Almoammer_Barner_2013,100312-OF,English,50,2
Almoammer_Barner_2013,100312-EL,English,55,CP
Almoammer_Barner_2013,100312-CA,English,57,CP
Almoammer_Barner_2013,100312-HG,English,54,CP
Almoammer_Barner_2013,100312-GS,English,51,CP
Almoammer_Barner_2013,100312-QH,English,50,CP
Almoammer_Barner_2013,100312-MK,English,59,CP
Almoammer_Barner_2013,100512-JC,English,47,2
Almoammer_Barner_2013,100912-TL,English,34,0
Almoammer_Barner_2013,100912-LB,English,25,0
Almoammer_Barner_2013,100912-DH,English,28,0
Almoammer_Barner_2013,100912-AB,English,38,CP
Almoammer_Barner_2013,101012-NS,English,52,CP
Almoammer_Barner_2013,101012-SK,English,38,0
Almoammer_Barner_2013,101012-AD,English,56,CP
Almoammer_Barner_2013,101012-PL,English,32,0
Almoammer_Barner_2013,101012-AC,English,59,CP
Almoammer_Barner_2013,101012-LO,English,46,0
Almoammer_Barner_2013,101012-AW,English,45,CP
Almoammer_Barner_2013,101012-GS,English,44,2
Almoammer_Barner_2013,100812-WA,English,51,CP
Almoammer_Barner_2013,101112-GA,English,57,CP
Almoammer_Barner_2013,101112-AA,English,43,2
Almoammer_Barner_2013,101112-AD,English,28,0
Almoammer_Barner_2013,101112-KW,English,55,CP
Almoammer_Barner_2013,101112-B,English,50,CP
Almoammer_Barner_2013,101112-XD,English,55,CP
Almoammer_Barner_2013,101112-CW,English,48,CP
Almoammer_Barner_2013,101112-AC,English,45,CP
Almoammer_Barner_2013,101212-RB,English,57,CP
Almoammer_Barner_2013,101212-HS,English,39,2
Almoammer_Barner_2013,101612-TK,English,51,2
Almoammer_Barner_2013,101612-NR,English,28,0
Almoammer_Barner_2013,101612-SD,English,55,CP
Almoammer_Barner_2013,101912-NW,English,28,0
Almoammer_Barner_2013,101912-GW,English,28,0
Almoammer_Barner_2013,101912-SW,English,28,0
Almoammer_Barner_2013,101812-S1,English,32,0
Almoammer_Barner_2013,101812-S2,English,32,0
Almoammer_Barner_2013,101812-BB,English,39,1
Almoammer_Barner_2013,102512-JG,English,43,CP
Almoammer_Barner_2013,102512-MH,English,43,4
Almoammer_Barner_2013,102612-JD,English,29,0
Almoammer_Barner_2013,102612-LD,English,50,CP
Almoammer_Barner_2013,102612-MN,English,49,CP
Almoammer_Barner_2013,110712-CN,English,39,4
Almoammer_Barner_2013,110712-JB,English,29,0
Almoammer_Barner_2013,110712-CM,English,33,1
Almoammer_Barner_2013,110712-ML,English,33,1
Almoammer_Barner_2013,110812-SM,English,42,CP
Almoammer_Barner_2013,110612-BP,English,41,CP
Almoammer_Barner_2013,110612-DR,English,26,0
Almoammer_Barner_2013,110712-MS,English,37,3
Almoammer_Barner_2013,110512-JF,English,51,CP
Almoammer_Barner_2013,110812-PF,English,40,CP
Almoammer_Barner_2013,110912-AC,English,47,CP
Almoammer_Barner_2013,110912-OV,English,47,CP
Almoammer_Barner_2013,111412-KP,English,32,0
Almoammer_Barner_2013,111512-JS,English,46,3
Almoammer_Barner_2013,112612-JG,English,49,CP
Almoammer_Barner_2013,112612-CJ,English,34,2
Almoammer_Barner_2013,112612-SB,English,31,1
Almoammer_Barner_2013,112612-DF,English,28,0
Almoammer_Barner_2013,112612-KJ,English,45,4
Almoammer_Barner_2013,112612-YM,English,48,CP
Almoammer_Barner_2013,112712-IM,English,28,0
Almoammer_Barner_2013,112712-DA,English,42,CP
Almoammer_Barner_2013,120312-GB,English,32,0
Wagner2019,011713-GD,English,36,NA
Wagner2019,082112-ET2,English,59,NA
Wagner2019,082112-ET1,English,59,NA
Wagner2019,080312-VW,English,44,NA
Wagner2019,080212-HS,English,37,NA
Wagner2019,080212-TD,English,47,NA
Wagner2019,080212-MF,English,35,NA
Wagner2019,080212-LA,English,38,NA
Wagner2019,080112-SF,English,60,NA
Wagner2019,080112-SL,English,46,NA
Wagner2019,071112-AM,English,60,NA
Wagner2019,070312-EJ,English,52,NA
Wagner2019,070312-MH,English,56,NA
Wagner2019,070312-AB,English,57,NA
Wagner2019,070312-LH,English,59,NA
Wagner2019,070312-KT,English,60,NA
Wagner2019,052412-MT,English,41,NA
Wagner2019,051612-CV,English,57,NA
Wagner2019,051612-GG,English,57,NA
Wagner2019,051612-AG,English,56,NA
Wagner2019,051612-GM,English,60,NA
Wagner2019,050912-MM,English,58,NA
Wagner2019,050912-NM,English,26,NA
Wagner2019,041912-SP,English,52,NA
Wagner2019,040912-ML,English,54,NA
Wagner2019,120711-VC,English,42,NA
Wagner2019,121511-RR,English,52,NA
Wagner2019,121511-JB,English,57,NA
Wagner2019,121511-SM2,English,56,NA
Wagner2019,021512-OI,English,42,NA
Wagner2019,120711-AB,English,44,NA
Wagner2019,120711-AC,English,38,NA
Wagner2019,111912-MC,English,40,NA
Wagner2019,111912-MB,English,46,NA
Wagner2019,111912-PB,English,27,NA
Wagner2019,111912-MA,English,34,NA
Wagner2019,112812-KM,English,40,NA
Wagner2019,112812-AK,English,57,NA
Wagner2019,113012-MB,English,55,NA
Wagner2019,112812-NA,English,56,NA
Wagner2019,020413-DM,English,56,NA
Wagner2019,020413-MY,English,43,NA
Wagner2019,020413-AM,English,54,NA
Wagner2019,020413-LC,English,56,NA
Wagner2019,020413-RC,English,59,NA
Wagner2019,020413-CM,English,52,NA
Wagner2019,082112-ET2,Spanish,59,NA
Wagner2019,082112-ET1,Spanish,59,NA
Wagner2019,080312-VW,Spanish,44,NA
Wagner2019,080212-HS,Spanish,37,NA
Wagner2019,080212-TD,Spanish,47,NA
Wagner2019,080212-MF,Spanish,35,NA
Wagner2019,080212-LA,Spanish,38,NA
Wagner2019,080112-SF,Spanish,60,NA
Wagner2019,080112-SL,Spanish,46,NA
Wagner2019,071112-AM,Spanish,60,NA
Wagner2019,070312-EJ,Spanish,52,NA
Wagner2019,070312-MH,Spanish,56,NA
Wagner2019,070312-AB,Spanish,57,NA
Wagner2019,070312-LH,Spanish,59,NA
Wagner2019,070312-KT,Spanish,60,NA
Wagner2019,052412-MT,Spanish,41,NA
Wagner2019,051612-CV,Spanish,57,NA
Wagner2019,051612-GG,Spanish,57,NA
Wagner2019,051612-AG,Spanish,56,NA
Wagner2019,051612-GM,Spanish,60,NA
Wagner2019,050912-MM,Spanish,58,NA
Wagner2019,050912-NM,Spanish,26,NA
Wagner2019,041912-SP,Spanish,52,NA
Wagner2019,040912-ML,Spanish,54,NA
Wagner2019,120711-VC,Spanish,42,NA
Wagner2019,121511-RR,Spanish,52,NA
Wagner2019,121511-JB,Spanish,57,NA
Wagner2019,121511-SM2,Spanish,56,NA
Wagner2019,021512-OI,Spanish,42,NA
Wagner2019,120711-AB,Spanish,44,NA
Wagner2019,120711-AC,Spanish,38,NA
Wagner2019,111912-MC,Spanish,40,NA
Wagner2019,111912-MB,Spanish,46,NA
Wagner2019,111912-PB,Spanish,27,NA
Wagner2019,111912-MA,Spanish,34,NA
Wagner2019,112812-KM,Spanish,40,NA
Wagner2019,112812-AK,Spanish,57,NA
Wagner2019,113012-MB,Spanish,55,NA
Wagner2019,112812-NA,Spanish,56,NA
Wagner2019,020413-DM,Spanish,56,NA
Wagner2019,020413-MY,Spanish,43,NA
Wagner2019,020413-AM,Spanish,54,NA
Wagner2019,020413-LC,Spanish,56,NA
Wagner2019,020413-RC,Spanish,59,NA
Wagner2019,020413-CM,Spanish,52,NA
Wagner2019,032112-NJ,English,40,NA
Wagner2019,031412-KH,English,47,NA
Wagner2019,031412-TU,English,42,NA
Wagner2019,031412-BH,English,38,NA
Wagner2019,032312-NS,English,46,NA
Wagner2019,032312-O,English,46,NA
Wagner2019,031612-M,English,48,NA
Wagner2019,032612-AB (031312-AB),English,37,NA
Wagner2019,031412-PF,English,50,NA
Wagner2019,032612-LO,English,60,NA
Wagner2019,031312-CC,English,49,NA
Wagner2019,031312-AM,English,35,NA
Wagner2019,031312-ZL,English,37,NA
Wagner2019,031212-LE,English,49,NA
Wagner2019,031212-AP,English,41,NA
Wagner2019,032212-JL (031212-JL),English,47,NA
Wagner2019,031212-MA,English,48,NA
Wagner2019,031212-MR,English,45,NA
Wagner2019,031212-CH,English,50,NA
Wagner2019,031212-KM,English,41,NA
Wagner2019,012913-KP,English,37,NA
Wagner2019,032112-NJ,French,40,NA
Wagner2019,031412-KH,French,47,NA
Wagner2019,031412-Nfa,French,44,NA
Wagner2019,031412-NF,French,50,NA
Wagner2019,031412-Nfa,English,44,NA
Wagner2019,031412-NF,English,50,NA
Wagner2019,031412-TU,French,42,NA
Wagner2019,031412-BH,French,38,NA
Wagner2019,032312-NS,French,46,NA
Wagner2019,032312-O,French,46,NA
Wagner2019,031612-M,French,48,NA
Wagner2019,032612-AB (031312-AB),French,37,NA
Wagner2019,031412-PF,French,50,NA
Wagner2019,032612-LO,French,60,NA
Wagner2019,031312-CC,French,49,NA
Wagner2019,031312-AM,French,35,NA
Wagner2019,031312-ZL,French,37,NA
Wagner2019,031212-LE,French,49,NA
Wagner2019,031212-AP,French,41,NA
Wagner2019,032212-JL (031212-JL),French,47,NA
Wagner2019,031212-MA,French,48,NA
Wagner2019,031212-MR,French,45,NA
Wagner2019,031212-CH,French,50,NA
Wagner2019,031212-KM,French,41,NA
Wagner2019,012913-KP,French,37,NA
Wagner2019,101012-ME,English,30,NA
Wagner2019,100812-LJ,English,43,NA
Wagner2019,101112-HH,English,42,NA
Wagner2019,101112-RO,English,58,NA
Wagner2019,101112-JM,English,52,NA
Wagner2019,101112-ZS,English,34,NA
Wagner2019,101112-AV,English,55,NA
Wagner2019,101112-ID,English,45,NA
Wagner2019,101112-DM,English,38,NA
Wagner2019,101612-A,English,57,NA
Wagner2019,070312-MB,English,50,NA
Wagner2019,051712-TW,English,38,NA
Wagner2019,021512-MB,English,62,NA
Wagner2019,021512-ST,English,40,NA
Wagner2019,091712-SW,English,34,NA
Wagner2019,101612-AJ,English,51,NA
Wagner2019,102612-LH,English,35,NA
Wagner2019,110612-JC,English,37,NA
Wagner2019,070312-MB,Spanish,50,NA
Wagner2019,051712-TW,Spanish,38,NA
Wagner2019,021512-NH,Spanish,62,NA
Wagner2019,021512-MB,Spanish,62,NA
Wagner2019,082212-TT,English,25,NA
Wagner2019,080212-KB,English,32,NA
Wagner2019,080212-BO,English,31,NA
Wagner2019,120711-SG,English,37,NA
Wagner2019,121511-AS,English,37,NA
Wagner2019,121511-SM1,English,52,NA
Wagner2019,021512-EF,English,39,NA
Wagner2019,110112-AP,English,35,NA
Wagner2019,112712-SA,English,45,NA
Wagner2019,112812-CM,English,45,NA
Wagner2019,112812-AP,English,54,NA
Wagner2019,112812-RE,English,45,NA
Wagner2019,032012-EE (03/14/12-EE),English,49,NA
Wagner2019,031312-LK (031412-LK),English,44,NA
Wagner2019,032012-C1H,English,30,NA
Wagner2019,032012-CG,English,28,NA
Wagner2019,031412-NE,English,40,NA
Wagner2019,031212-BD (031912-BD),English,35,NA
Wagner2019,032012-SG (031412-SG),English,38,NA
Wagner2019,031312-AN,English,42,NA
Wagner2019,031312-SL,English,38,NA
Wagner2019,082212-TT,Spanish,25,NA
Wagner2019,080212-KB,Spanish,32,NA
Wagner2019,021512-VW,Spanish,52,NA
Wagner2019,021512-TL,Spanish,54,NA
Wagner2019,120711-IS,Spanish,43,NA
Wagner2019,021512-ANM,Spanish,55,NA
Wagner2019,120711-SG,Spanish,37,NA
Wagner2019,121511-AS,Spanish,37,NA
Wagner2019,121511-SM1,Spanish,52,NA
Wagner2019,120711-GF,Spanish,42,NA
Wagner2019,021512-EF,Spanish,39,NA
Wagner2019,110112-AP,Spanish,35,NA
Wagner2019,112812-CM,Spanish,45,NA
Wagner2019,112812-RE,Spanish,45,NA
Wagner2019,031312-CP,French,36,NA
Wagner2019,031412-NE,French,40,NA
Wagner2019,032012-SG (031412-SG),French,38,NA
Wagner2019,031312-AN,French,42,NA
Wagner2019,031312-SL,French,38,NA
Wagner2019,112812-RE,French,45,NA
Piantadosi_Gibson_2014,1,Tsimane,36,0
Piantadosi_Gibson_2014,2,Tsimane,48,0
Piantadosi_Gibson_2014,3,Tsimane,48,0
Piantadosi_Gibson_2014,4,Tsimane,48,0
Piantadosi_Gibson_2014,5,Tsimane,60,0
Piantadosi_Gibson_2014,6,Tsimane,72,0
Piantadosi_Gibson_2014,7,Tsimane,36,0
Piantadosi_Gibson_2014,8,Tsimane,48,0
Piantadosi_Gibson_2014,9,Tsimane,48,0
Piantadosi_Gibson_2014,10,Tsimane,60,0
Piantadosi_Gibson_2014,11,Tsimane,72,0
Piantadosi_Gibson_2014,12,Tsimane,72,0
Piantadosi_Gibson_2014,13,Tsimane,72,0
Piantadosi_Gibson_2014,14,Tsimane,60,1
Piantadosi_Gibson_2014,15,Tsimane,72,1
Piantadosi_Gibson_2014,16,Tsimane,48,1
Piantadosi_Gibson_2014,17,Tsimane,60,1
Piantadosi_Gibson_2014,18,Tsimane,72,1
Piantadosi_Gibson_2014,19,Tsimane,72,1
Piantadosi_Gibson_2014,20,Tsimane,48,2
Piantadosi_Gibson_2014,21,Tsimane,60,2
Piantadosi_Gibson_2014,22,Tsimane,60,2
Piantadosi_Gibson_2014,23,Tsimane,60,2
Piantadosi_Gibson_2014,24,Tsimane,60,2
Piantadosi_Gibson_2014,25,Tsimane,60,2
Piantadosi_Gibson_2014,26,Tsimane,72,2
Piantadosi_Gibson_2014,27,Tsimane,72,2
Piantadosi_Gibson_2014,28,Tsimane,72,2
Piantadosi_Gibson_2014,29,Tsimane,72,2
Piantadosi_Gibson_2014,30,Tsimane,72,2
Piantadosi_Gibson_2014,31,Tsimane,72,2
Piantadosi_Gibson_2014,32,Tsimane,72,2
Piantadosi_Gibson_2014,33,Tsimane,72,2
Piantadosi_Gibson_2014,34,Tsimane,48,2
Piantadosi_Gibson_2014,35,Tsimane,48,2
Piantadosi_Gibson_2014,36,Tsimane,60,2
Piantadosi_Gibson_2014,37,Tsimane,84,2
Piantadosi_Gibson_2014,38,Tsimane,96,2
Piantadosi_Gibson_2014,39,Tsimane,72,3
Piantadosi_Gibson_2014,40,Tsimane,72,3
Piantadosi_Gibson_2014,41,Tsimane,96,3
Piantadosi_Gibson_2014,42,Tsimane,48,3
Piantadosi_Gibson_2014,43,Tsimane,72,3
Piantadosi_Gibson_2014,44,Tsimane,72,3
Piantadosi_Gibson_2014,45,Tsimane,72,3
Piantadosi_Gibson_2014,46,Tsimane,96,4
Piantadosi_Gibson_2014,47,Tsimane,72,4
Piantadosi_Gibson_2014,48,Tsimane,84,4
Piantadosi_Gibson_2014,49,Tsimane,120,CP
Piantadosi_Gibson_2014,50,Tsimane,120,CP
Piantadosi_Gibson_2014,51,Tsimane,60,CP
Piantadosi_Gibson_2014,52,Tsimane,72,CP
Piantadosi_Gibson_2014,53,Tsimane,72,CP
Piantadosi_Gibson_2014,54,Tsimane,72,CP
Piantadosi_Gibson_2014,55,Tsimane,108,CP
Piantadosi_Gibson_2014,56,Tsimane,120,CP
Piantadosi_Gibson_2014,57,Tsimane,132,CP
Piantadosi_Gibson_2014,58,Tsimane,132,CP
Piantadosi_Gibson_2014,59,Tsimane,132,CP
Piantadosi_Gibson_2014,60,Tsimane,132,CP
Piantadosi_Gibson_2014,61,Tsimane,144,CP
Piantadosi_Gibson_2014,62,Tsimane,72,CP
Piantadosi_Gibson_2014,63,Tsimane,72,CP
Piantadosi_Gibson_2014,64,Tsimane,72,CP
Piantadosi_Gibson_2014,65,Tsimane,72,CP
Piantadosi_Gibson_2014,66,Tsimane,72,CP
Piantadosi_Gibson_2014,67,Tsimane,72,CP
Piantadosi_Gibson_2014,68,Tsimane,84,CP
Piantadosi_Gibson_2014,69,Tsimane,96,CP
Piantadosi_Gibson_2014,70,Tsimane,108,CP
Piantadosi_Gibson_2014,71,Tsimane,96,5
Piantadosi_Gibson_2014,72,Tsimane,132,5
Piantadosi_Gibson_2014,73,Tsimane,60,NA
Piantadosi_Gibson_2014,74,Tsimane,60,NA
Piantadosi_Gibson_2014,75,Tsimane,48,NA
Piantadosi_Gibson_2014,76,Tsimane,48,NA
Piantadosi_Gibson_2014,77,Tsimane,48,NA
Piantadosi_Gibson_2014,78,Tsimane,60,NA
Piantadosi_Gibson_2014,79,Tsimane,60,NA
Piantadosi_Gibson_2014,80,Tsimane,48,NA
Piantadosi_Gibson_2014,81,Tsimane,84,NA
Piantadosi_Gibson_2014,82,Tsimane,96,NA
Piantadosi_Gibson_2014,83,Tsimane,48,NA
Piantadosi_Gibson_2014,84,Tsimane,48,NA
Piantadosi_Gibson_2014,85,Tsimane,72,NA
Piantadosi_Gibson_2014,86,Tsimane,72,NA
Piantadosi_Gibson_2014,87,Tsimane,60,NA
Piantadosi_Gibson_2014,88,Tsimane,48,NA
Piantadosi_Gibson_2014,89,Tsimane,72,NA
Piantadosi_Gibson_2014,90,Tsimane,72,NA
Piantadosi_Gibson_2014,91,Tsimane,72,NA
Piantadosi_Gibson_2014,92,Tsimane,72,NA
Sarnecka2007,E-102,English,36,NA
Sarnecka2007,E-114,English,38,NA
Sarnecka2007,E-117,English,35,NA
Sarnecka2007,E-129,English,38,NA
Sarnecka2007,E-101,English,35,NA
Sarnecka2007,E-103,English,35,NA
Sarnecka2007,E-105,English,34,NA
Sarnecka2007,E-108,English,35,NA
Sarnecka2007,E-110,English,36,NA
Sarnecka2007,E-116,English,37,NA
Sarnecka2007,E-121,English,37,NA
Sarnecka2007,E-122,English,35,NA
Sarnecka2007,E-123,English,34,NA
Sarnecka2007,E-124,English,36,NA
Sarnecka2007,E-125,English,36,NA
Sarnecka2007,E-126,English,37,NA
Sarnecka2007,E-138,English,36,NA
Sarnecka2007,E-149,English,35,NA
Sarnecka2007,E-150,English,34,NA
Sarnecka2007,E-151,English,35,NA
Sarnecka2007,E-152,English,35,NA
Sarnecka2007,E-207,English,40,NA
Sarnecka2007,E-208,English,41,NA
Sarnecka2007,E-209,English,40,NA
Sarnecka2007,E-223,English,40,NA
Sarnecka2007,E-224,English,40,NA
Sarnecka2007,E-235,English,41,NA
Sarnecka2007,E-404,English,40,NA
Sarnecka2007,E-418,English,39,NA
Sarnecka2007,E-419,English,39,NA
Sarnecka2007,E-106,English,35,NA
Sarnecka2007,E-112,English,36,NA
Sarnecka2007,E-113,English,36,NA
Sarnecka2007,E-118,English,36,NA
Sarnecka2007,E-119,English,37,NA
Sarnecka2007,E-131,English,34,NA
Sarnecka2007,E-216,English,41,NA
Sarnecka2007,E-217,English,40,NA
Sarnecka2007,E-220,English,41,NA
Sarnecka2007,E-401,English,38,NA
Sarnecka2007,E-402,English,38,NA
Sarnecka2007,E-403,English,38,NA
Sarnecka2007,E-408,English,38,NA
Sarnecka2007,E-111,English,37,NA
Sarnecka2007,E-115,English,37,NA
Sarnecka2007,E-120,English,35,NA
Sarnecka2007,E-127,English,36,NA
Sarnecka2007,E-134,English,35,NA
Sarnecka2007,E-140,English,38,NA
Sarnecka2007,E-202,English,41,NA
Sarnecka2007,E-205,English,41,NA
Sarnecka2007,E-210,English,40,NA
Sarnecka2007,E-218,English,40,NA
Sarnecka2007,E-219,English,40,NA
Sarnecka2007,E-234,English,42,NA
Sarnecka2007,E-405,English,40,NA
Sarnecka2007,E-406,English,38,NA
Sarnecka2007,E-407,English,39,NA
Sarnecka2007,E-409,English,39,NA
Sarnecka2007,E-410,English,39,NA
Sarnecka2007,E-413,English,40,NA
Sarnecka2007,E-415,English,39,NA
Sarnecka2007,E-135,English,37,NA
Sarnecka2007,E-222,English,40,NA
Sarnecka2007,E-104,English,37,NA
Sarnecka2007,E-204,English,42,NA
Sarnecka2007,E-421,English,39,NA
Sarnecka2007,E-139,English,37,NA
Sarnecka2007,E-109,English,37,NA
Sarnecka2007,E-107,English,35,NA
Sarnecka2007,J-104,Japanese,35,NA
Sarnecka2007,J-105,Japanese,36,NA
Sarnecka2007,J-108,Japanese,35,NA
Sarnecka2007,J-111,Japanese,35,NA
Sarnecka2007,J-112,Japanese,34,NA
Sarnecka2007,J-116,Japanese,33,NA
Sarnecka2007,J-117,Japanese,34,NA
Sarnecka2007,J-125,Japanese,42,NA
Sarnecka2007,J-126,Japanese,42,NA
Sarnecka2007,J-127,Japanese,41,NA
Sarnecka2007,J-128,Japanese,40,NA
Sarnecka2007,J-129,Japanese,40,NA
Sarnecka2007,J-133,Japanese,42,NA
Sarnecka2007,J-134,Japanese,41,NA
Sarnecka2007,J-135,Japanese,38,NA
Sarnecka2007,J-136,Japanese,40,NA
Sarnecka2007,J-139,Japanese,38,NA
Sarnecka2007,J-141,Japanese,38,NA
Sarnecka2007,J-143,Japanese,39,NA
Sarnecka2007,J-144,Japanese,39,NA
Sarnecka2007,J-145,Japanese,40,NA
Sarnecka2007,J-146,Japanese,42,NA
Sarnecka2007,J-101,Japanese,34,NA
Sarnecka2007,J-103,Japanese,35,NA
Sarnecka2007,J-107,Japanese,34,NA
Sarnecka2007,J-109,Japanese,38,NA
Sarnecka2007,J-110,Japanese,35,NA
Sarnecka2007,J-113,Japanese,34,NA
Sarnecka2007,J-114,Japanese,38,NA
Sarnecka2007,J-115,Japanese,34,NA
Sarnecka2007,J-118,Japanese,34,NA
Sarnecka2007,J-119,Japanese,38,NA
Sarnecka2007,J-121,Japanese,38,NA
Sarnecka2007,J-123,Japanese,34,NA
Sarnecka2007,J-130,Japanese,39,NA
Sarnecka2007,J-131,Japanese,39,NA
Sarnecka2007,J-138,Japanese,39,NA
Sarnecka2007,J-142,Japanese,38,NA
Sarnecka2007,J-102,Japanese,35,NA
Sarnecka2007,J-106,Japanese,34,NA
Sarnecka2007,J-122,Japanese,36,NA
Sarnecka2007,J-132,Japanese,37,NA
Sarnecka2007,J-140,Japanese,38,NA
Sarnecka2007,J-120,Japanese,38,NA
Sarnecka2007,J-124,Japanese,38,NA
Sarnecka2007,J-137,Japanese,42,NA
Sarnecka2007,J-148,Japanese,41,NA
Sarnecka2007,J-147,Japanese,42,NA
Sarnecka2007,R-141,Russian,35,NA
Sarnecka2007,R-101,Russian,36,NA
Sarnecka2007,R-104,Russian,39,NA
Sarnecka2007,R-105,Russian,41,NA
Sarnecka2007,R-107,Russian,37,NA
Sarnecka2007,R-113,Russian,40,NA
Sarnecka2007,R-116,Russian,43,NA
Sarnecka2007,R-120,Russian,40,NA
Sarnecka2007,R-121,Russian,36,NA
Sarnecka2007,R-123,Russian,35,NA
Sarnecka2007,R-126,Russian,36,NA
Sarnecka2007,R-129,Russian,36,NA
Sarnecka2007,R-130,Russian,36,NA
Sarnecka2007,R-131,Russian,36,NA
Sarnecka2007,R-135,Russian,35,NA
Sarnecka2007,R-136,Russian,35,NA
Sarnecka2007,R-138,Russian,36,NA
Sarnecka2007,R-139,Russian,34,NA
Sarnecka2007,R-142,Russian,35,NA
Sarnecka2007,R-143,Russian,34,NA
Sarnecka2007,R-144,Russian,34,NA
Sarnecka2007,R-106,Russian,41,NA
Sarnecka2007,R-108,Russian,42,NA
Sarnecka2007,R-110,Russian,42,NA
Sarnecka2007,R-112,Russian,42,NA
Sarnecka2007,R-114,Russian,40,NA
Sarnecka2007,R-115,Russian,40,NA
Sarnecka2007,R-119,Russian,41,NA
Sarnecka2007,R-122,Russian,36,NA
Sarnecka2007,R-128,Russian,36,NA
Sarnecka2007,R-133,Russian,35,NA
Sarnecka2007,R-134,Russian,35,NA
Sarnecka2007,R-102,Russian,39,NA
Sarnecka2007,R-111,Russian,43,NA
Sarnecka2007,R-125,Russian,36,NA
Sarnecka2007,R-127,Russian,36,NA
Sarnecka2007,R-132,Russian,36,NA
Sarnecka2007,R-137,Russian,35,NA
Sarnecka2007,R-140,Russian,35,NA
Sarnecka2007,R-117,Russian,40,NA
Sarnecka2007,R-103,Russian,43,NA
Sarnecka2007,R-109,Russian,33,NA
Sarnecka2007,R-118,Russian,42,NA
Sarnecka2007,R-124,Russian,36,NA
Sarnecka2007,EFU-10,English,38,NA
Sarnecka2007,EFU-11,English,45,NA
Sarnecka2007,EFU-14,English,34,NA
Sarnecka2007,EFU-17,English,33,NA
Sarnecka2007,EFU-18,English,31,NA
Sarnecka2007,EFU-19,English,33,NA
Sarnecka2007,EFU-20,English,34,NA
Sarnecka2007,EFU-21,English,34,NA
Sarnecka2007,EFU-22,English,35,NA
Sarnecka2007,EFU-23,English,33,NA
Sarnecka2007,EFU-24,English,43,NA
Sarnecka2007,EFU-25,English,35,NA
Sarnecka2007,EFU-26,English,38,NA
Sarnecka2007,EFU-27,English,38,NA
Sarnecka2007,EFU-29,English,42,NA
Sarnecka2007,EFU-30,English,42,NA
Sarnecka2007,EFU-31,English,47,NA
Sarnecka2007,EFU-4,English,42,NA
Sarnecka2007,EFU-7,English,45,NA
Sarnecka2007,EFU-8,English,33,NA
Sarnecka2007,EFU-9,English,34,NA
Sarnecka2007,RFU-101,Russian,36,NA
Sarnecka2007,RFU-102,Russian,36,NA
Sarnecka2007,RFU-103,Russian,32,NA
Sarnecka2007,RFU-104,Russian,37,NA
Sarnecka2007,RFU-106,Russian,44,NA
Sarnecka2007,RFU-107,Russian,40,NA
Sarnecka2007,RFU-109,Russian,46,NA
Sarnecka2007,RFU-110,Russian,37,NA
Sarnecka2007,RFU-111,Russian,37,NA
Sarnecka2007,RFU-112,Russian,46,NA
Sarnecka2007,RFU-113,Russian,43,NA
Sarnecka2007,RFU-114,Russian,49,NA
Sarnecka2007,RFU-115,Russian,45,NA
Sarnecka2007,RFU-116,Russian,40,NA
Sarnecka2007,RFU-117,Russian,39,NA
Sarnecka_Negen_2019,106,English,59,NA
Sarnecka_Negen_2019,106,English,60,NA
Sarnecka_Negen_2019,110,English,54,NA
Sarnecka_Negen_2019,110,English,55,NA
Sarnecka_Negen_2019,110,English,56,NA
Sarnecka_Negen_2019,110,English,57,NA
Sarnecka_Negen_2019,110,English,58,NA
Sarnecka_Negen_2019,184,English,54,NA
Sarnecka_Negen_2019,184,English,55,NA
Sarnecka_Negen_2019,184,English,56,NA
Sarnecka_Negen_2019,184,English,57,NA
Sarnecka_Negen_2019,184,English,58,NA
Sarnecka_Negen_2019,250,English,52,NA
Sarnecka_Negen_2019,250,English,53,NA
Sarnecka_Negen_2019,250,English,54,NA
Sarnecka_Negen_2019,250,English,55,NA
Sarnecka_Negen_2019,250,English,56,NA
Sarnecka_Negen_2019,251,English,54,NA
Sarnecka_Negen_2019,251,English,55,NA
Sarnecka_Negen_2019,251,English,56,NA
Sarnecka_Negen_2019,311,English,52,NA
Sarnecka_Negen_2019,311,English,53,NA
Sarnecka_Negen_2019,311,English,54,NA
Sarnecka_Negen_2019,311,English,55,NA
Sarnecka_Negen_2019,311,English,56,NA
Sarnecka_Negen_2019,330,English,51,NA
Sarnecka_Negen_2019,330,English,52,NA
Sarnecka_Negen_2019,330,English,53,NA
Sarnecka_Negen_2019,330,English,54,NA
Sarnecka_Negen_2019,330,English,55,NA
Sarnecka_Negen_2019,354,English,52,NA
Sarnecka_Negen_2019,354,English,53,NA
Sarnecka_Negen_2019,354,English,54,NA
Sarnecka_Negen_2019,354,English,55,NA
Sarnecka_Negen_2019,354,English,56,NA
Sarnecka_Negen_2019,359,English,52,NA
Sarnecka_Negen_2019,359,English,53,NA
Sarnecka_Negen_2019,359,English,54,NA
Sarnecka_Negen_2019,359,English,55,NA
Sarnecka_Negen_2019,359,English,56,NA
