,SID,Age,Sex,Knower_level,highest_count,Experiment,Language
163,060419-K1,3.315537303,F,1,15,Schneider_Barner_2021,English
164,060419-K,3.175906913,F,NA,NA,Schneider_Barner_2021,English
165,060419-JB,3.277207392,M,2,14,Schneider_Barner_2021,English
166,060419-J1,2.414784394,M,2,7,Schneider_Barner_2021,English
167,060419-IS,4.93908282,F,CP,28,Schneider_Barner_2021,English
168,060419-CS,3.02532512,M,0,12,Schneider_Barner_2021,English
169,060419-B,3.225188227,M,1,11,Schneider_Barner_2021,English
170,053119-MT,4.076659822,M,NA,NA,Schneider_Barner_2021,English
171,053119-MK,3.783709788,M,CP,39,Schneider_Barner_2021,English
172,053119-KO,3.367556468,F,2,1,Schneider_Barner_2021,English
173,053119-EM,3.518138261,F,CP,28,Schneider_Barner_2021,English
174,053119-CF,3.498973306,F,CP,15,Schneider_Barner_2021,English
175,053119-AM,3.802874743,F,2,14,Schneider_Barner_2021,English
176,053019-M,2.32991102,M,NA,NA,Schneider_Barner_2021,English
177,053019-L,1.954825462,F,2,10,Schneider_Barner_2021,English
178,052819-LC,3.780971937,F,3,10,Schneider_Barner_2021,English
179,052819-CH,2.576317591,M,3,6,Schneider_Barner_2021,English
180,052219-RB,2.737850787,M,NA,NA,Schneider_Barner_2021,English
181,052219-HF,2.239561944,F,3,2,Schneider_Barner_2021,English
182,051719-J,3.794661191,M,CP,10,Schneider_Barner_2021,English
183,051719-AM,2.674880219,M,1,11,Schneider_Barner_2021,English
184,051619-T,4.971937029,M,CP,10,Schneider_Barner_2021,English
185,051619-M,3.950718686,F,4,4,Schneider_Barner_2021,English
186,051519-R,2.099931554,F,0,4,Schneider_Barner_2021,English
187,051519-P,4.5229295,F,CP,27,Schneider_Barner_2021,English
188,051519-OB,3.159479808,M,2,13,Schneider_Barner_2021,English
189,050819-SM,4.479123888,M,5,20,Schneider_Barner_2021,English
190,050819-C,3.665982204,F,CP,14,Schneider_Barner_2021,English
191,050719-SW,4.076659822,F,CP,12,Schneider_Barner_2021,English
192,050719-PT,2.6091718,M,2,5,Schneider_Barner_2021,English
193,050719-M,2.217659138,M,NA,NA,Schneider_Barner_2021,English
194,050719-K,2.680355921,F,0,2,Schneider_Barner_2021,English
195,050719-C,2.680355921,F,0,8,Schneider_Barner_2021,English
196,050119-W,1.998631075,M,1,NA,Schneider_Barner_2021,English
197,050119-JL,4.824093087,F,CP,40,Schneider_Barner_2021,English
198,042919-MF,2.625598905,M,1,1,Schneider_Barner_2021,English
199,042919-KI,2.661190965,F,0,1,Schneider_Barner_2021,English
200,042919-CI,2.661190965,F,0,1,Schneider_Barner_2021,English
201,042919-BQ,2.776180698,F,1,9,Schneider_Barner_2021,English
202,042919-BP,3.805612594,F,CP,12,Schneider_Barner_2021,English
203,042519-MG,3.091033539,F,CP,39,Schneider_Barner_2021,English
204,042419-S,5.560574949,M,NA,NA,Schneider_Barner_2021,English
205,042419-M,2.984257358,F,2,13,Schneider_Barner_2021,English
206,042419-HW,3.72347707,M,4,8,Schneider_Barner_2021,English
207,042419-E,3.326488706,F,4,15,Schneider_Barner_2021,English
208,041819-DS,3.934291581,M,CP,12,Schneider_Barner_2021,English
209,041719-SW,3.356605065,M,2,5,Schneider_Barner_2021,English
210,041719-SK,2.967830253,F,3,8,Schneider_Barner_2021,English
211,041719-RO,3.526351814,M,CP,13,Schneider_Barner_2021,English
212,041719-NJ,3.704312115,F,1,10,Schneider_Barner_2021,English
213,041719-JA,3.997262149,F,4,10,Schneider_Barner_2021,English
214,041719-CC,4.049281314,F,2,1,Schneider_Barner_2021,English
215,041719-BD,3.939767283,M,CP,25,Schneider_Barner_2021,English
216,one-one_4,4.101300479,M,CP,12,Schneider_Barner_UnderReview,English
217,one-one_7,3.920602327,M,5,7,Schneider_Barner_UnderReview,English
218,one-one_8,3.58110883,F,4,19,Schneider_Barner_UnderReview,English
219,one-one_9,4.254620123,F,CP,28,Schneider_Barner_UnderReview,English
220,one-one_10,3.849418207,F,CP,20,Schneider_Barner_UnderReview,English
221,one-one_11,3.578370979,F,4,10,Schneider_Barner_UnderReview,English
222,one-one_12,3.255304586,M,2,14,Schneider_Barner_UnderReview,English
223,one-one_13,5.048596851,M,CP,19,Schneider_Barner_UnderReview,English
224,one-one_14,3.986310746,F,3,12,Schneider_Barner_UnderReview,English
225,one-one_15,4.013689254,F,4,14,Schneider_Barner_UnderReview,English
226,one-one_16,4.361396304,M,CP,8,Schneider_Barner_UnderReview,English
227,one-one_17,4.588637919,F,CP,18,Schneider_Barner_UnderReview,English
228,one-one_18,3.638603696,F,3,8,Schneider_Barner_UnderReview,English
229,one-one_19,3.321013005,M,4,13,Schneider_Barner_UnderReview,English
230,one-one_20,4.41889117,F,CP,14,Schneider_Barner_UnderReview,English
231,one-one_21,3.627652293,M,1,1,Schneider_Barner_UnderReview,English
232,one-one_22,3.715263518,M,CP,12,Schneider_Barner_UnderReview,English
233,one-one_26,4.531143053,M,CP,14,Schneider_Barner_UnderReview,English
234,one-one_27,4.145106092,M,CP,13,Schneider_Barner_UnderReview,English
235,one-one_28,4.670773443,M,CP,44,Schneider_Barner_UnderReview,English
236,one-one_30,4.62696783,M,CP,22,Schneider_Barner_UnderReview,English
237,one-one_31,4.944558522,M,CP,11,Schneider_Barner_UnderReview,English
238,one-one_32,3.255304586,F,3,10,Schneider_Barner_UnderReview,English
239,one-one_33,4.925393566,F,CP,NA,Schneider_Barner_UnderReview,English
240,one-one_34,3.356605065,M,CP,10,Schneider_Barner_UnderReview,English
241,one-one_35,3.624914442,M,CP,29,Schneider_Barner_UnderReview,English
242,one-one_36,3.800136893,F,CP,14,Schneider_Barner_UnderReview,English
243,one-one_37,3.950718686,M,CP,15,Schneider_Barner_UnderReview,English
244,one-one_38,4.07118412,F,CP,3,Schneider_Barner_UnderReview,English
245,one-one_39,4.073921971,F,2,10,Schneider_Barner_UnderReview,English
246,one-one_40,4.10403833,M,CP,9,Schneider_Barner_UnderReview,English
247,one-one_41,4.963723477,M,CP,13,Schneider_Barner_UnderReview,English
248,one-one_42,5.067761807,M,CP,39,Schneider_Barner_UnderReview,English
249,one-one_43,4.43,F,CP,14,Schneider_Barner_UnderReview,English
250,one-one_44,4.339493498,M,3,12,Schneider_Barner_UnderReview,English
251,one-one_45,4.235455168,M,CP,12,Schneider_Barner_UnderReview,English
252,one-one_46,3.698836413,F,CP,11,Schneider_Barner_UnderReview,English
253,one-one_49,3.917864476,M,4,15,Schneider_Barner_UnderReview,English
254,one-one_50,3.074606434,F,2,2,Schneider_Barner_UnderReview,English
255,one-one_51,4.574948665,M,CP,15,Schneider_Barner_UnderReview,English
256,one-one_52,3.490759754,M,2,15,Schneider_Barner_UnderReview,English
257,one-one_54,3.509924709,F,2,10,Schneider_Barner_UnderReview,English
258,one-one_55,3.72347707,M,1,NA,Schneider_Barner_UnderReview,English
259,one-one_56,3.728952772,M,CP,13,Schneider_Barner_UnderReview,English
260,one-one_57,4.465434634,M,4,11,Schneider_Barner_UnderReview,English
261,one-one_58,4.440793977,M,CP,49,Schneider_Barner_UnderReview,English
262,one-one_59,4.832306639,M,CP,23,Schneider_Barner_UnderReview,English
263,one-one_60,4.744695414,F,CP,28,Schneider_Barner_UnderReview,English
264,one-one_61,4.394250513,M,CP,12,Schneider_Barner_UnderReview,English
265,one-one_62,3.51266256,M,CP,NA,Schneider_Barner_UnderReview,English
266,one-one_63,3.991786448,M,CP,26,Schneider_Barner_UnderReview,English
267,one-one_64,4.804928131,M,CP,14,Schneider_Barner_UnderReview,English
268,one-one_65,4.804928131,F,CP,9,Schneider_Barner_UnderReview,English
269,one-one_66,3.986310746,M,CP,79,Schneider_Barner_UnderReview,English
270,one-one_68,4.156057495,F,1,5,Schneider_Barner_UnderReview,English
271,one-one_69,3.674195756,M,2,NA,Schneider_Barner_UnderReview,English
272,one-one_69,3.674195756,M,22,NA,Schneider_Barner_UnderReview,English
273,one-one_70,3.660506502,F,3,10,Schneider_Barner_UnderReview,English
274,one-one_71,4.41889117,F,CP,39,Schneider_Barner_UnderReview,English
275,one-one_72,3.329226557,M,4,NA,Schneider_Barner_UnderReview,English
276,one-one_73,4.596851472,M,CP,101,Schneider_Barner_UnderReview,English
277,one-one_74,3.329226557,M,5,NA,Schneider_Barner_UnderReview,English
278,one-one_75,4.216290212,M,CP,20,Schneider_Barner_UnderReview,English
279,one-one_77,3.953456537,F,1,6,Schneider_Barner_UnderReview,English
280,one-one_78,3.879534565,M,1,16,Schneider_Barner_UnderReview,English
281,one-one_79,3.890485969,M,1,6,Schneider_Barner_UnderReview,English
282,one-one_80,3.118412047,F,2,8,Schneider_Barner_UnderReview,English
283,one-one_80,3.118412047,F,22,8,Schneider_Barner_UnderReview,English
284,one-one_81,3.520876112,M,CP,NA,Schneider_Barner_UnderReview,English
285,one-one_82,3.211498973,M,CP,10,Schneider_Barner_UnderReview,English
286,one-one_83,3.879534565,M,3,4,Schneider_Barner_UnderReview,English
287,one-one_84,4.925393566,F,CP,10,Schneider_Barner_UnderReview,English
288,one-one_85,3.882272416,F,2,6,Schneider_Barner_UnderReview,English
289,one-one_87,3.493497604,F,2,12,Schneider_Barner_UnderReview,English
290,one-one_88,3.679671458,F,5,6,Schneider_Barner_UnderReview,English
291,one-one_89,4.1724846,F,CP,39,Schneider_Barner_UnderReview,English
292,one-one_90,3.748117728,M,2,10,Schneider_Barner_UnderReview,English
293,one-one_91,3.613963039,M,2,13,Schneider_Barner_UnderReview,English
294,one-one_92,3.022587269,F,1,4,Schneider_Barner_UnderReview,English
295,one-one_93,4.851471595,F,CP,9,Schneider_Barner_UnderReview,English
296,one-one_94,4.947296372,F,CP,24,Schneider_Barner_UnderReview,English
297,one-one_96,4.944558522,M,CP,29,Schneider_Barner_UnderReview,English
298,one-one_97,3.227926078,M,2,10,Schneider_Barner_UnderReview,English
299,one-one_98,4.167008898,F,CP,14,Schneider_Barner_UnderReview,English
300,one-one_99,3.641341547,F,CP,10,Schneider_Barner_UnderReview,English
301,one-one_100,3.436002738,M,2,10,Schneider_Barner_UnderReview,English
302,one-one_104,4.106776181,M,CP,29,Schneider_Barner_UnderReview,English
303,one-one_105,3.575633128,M,3,12,Schneider_Barner_UnderReview,English
304,one-one_106,3.890485969,M,3,1,Schneider_Barner_UnderReview,English
305,one-one_107,4.62696783,M,5,9,Schneider_Barner_UnderReview,English
306,one-one_108,4.429842574,F,CP,12,Schneider_Barner_UnderReview,English
307,one-one_109,4.145106092,M,CP,13,Schneider_Barner_UnderReview,English
308,one-one_110,3.455167693,F,3,13,Schneider_Barner_UnderReview,English
309,one-one_111,4.191649555,F,2,5,Schneider_Barner_UnderReview,English
310,one-one_112,3.23613963,M,2,8,Schneider_Barner_UnderReview,English
311,one-one_113,4.380561259,M,3,13,Schneider_Barner_UnderReview,English
312,one-one_113,4.380561259,M,4,13,Schneider_Barner_UnderReview,English
313,one-one_114,3.383983573,M,2,6,Schneider_Barner_UnderReview,English
314,one-one_115,4.728268309,F,CP,12,Schneider_Barner_UnderReview,English
315,one-one_116,4.224503765,M,CP,5,Schneider_Barner_UnderReview,English
316,one-one_117,3.668720055,M,2,3,Schneider_Barner_UnderReview,English
317,one-one_118,4.503764545,M,CP,13,Schneider_Barner_UnderReview,English
318,one-one_119,3.72347707,F,2,11,Schneider_Barner_UnderReview,English
319,one-one_120,3.564681725,M,2,9,Schneider_Barner_UnderReview,English
320,one-one_121,3.646817248,F,3,5,Schneider_Barner_UnderReview,English
321,one-one_122,3.170431211,F,2,10,Schneider_Barner_UnderReview,English
322,one-one_123,3.561943874,M,4,13,Schneider_Barner_UnderReview,English
323,one-one_124,3.397672827,M,2,10,Schneider_Barner_UnderReview,English
324,one-one_125,3.12936345,M,0,10,Schneider_Barner_UnderReview,English
325,one-one_126,3.58110883,F,2,6,Schneider_Barner_UnderReview,English
326,one-one_127,3.718001369,M,0,1,Schneider_Barner_UnderReview,English
327,one-one_129,3.622176591,F,CP,4,Schneider_Barner_UnderReview,English
328,one-one_130,4.517453799,F,2,12,Schneider_Barner_UnderReview,English
329,one-one_131,3.367556468,M,2,5,Schneider_Barner_UnderReview,English
330,one-one_132,3.701574264,F,CP,14,Schneider_Barner_UnderReview,English
331,one-one_133,4.273785079,F,4,104,Schneider_Barner_UnderReview,English
332,one-one_134,3.879534565,F,2,12,Schneider_Barner_UnderReview,English
333,one-one_136,3.219712526,M,2,4,Schneider_Barner_UnderReview,English
334,one-one_137,4.169746749,F,3,5,Schneider_Barner_UnderReview,English
335,one-one_138,3.871321013,M,2,9,Schneider_Barner_UnderReview,English
336,one-one_139,5.054072553,M,4,5,Schneider_Barner_UnderReview,English
337,one-one_140,3.885010267,F,3,12,Schneider_Barner_UnderReview,English
338,one-one_141,3.578370979,F,CP,14,Schneider_Barner_UnderReview,English
339,one-one_142,3.159479808,F,1,3,Schneider_Barner_UnderReview,English
340,one-one_143,3.455167693,M,CP,10,Schneider_Barner_UnderReview,English
341,one-one_144,3.89596167,F,3,10,Schneider_Barner_UnderReview,English
342,one-one_145,4.336755647,M,CP,12,Schneider_Barner_UnderReview,English
343,one-one_146,3.540041068,F,2,13,Schneider_Barner_UnderReview,English
344,one-one_147,3.255304586,F,3,13,Schneider_Barner_UnderReview,English
345,one-one_148,3.520876112,M,4,1,Schneider_Barner_UnderReview,English
346,one-one_149,4.076659822,M,3,1,Schneider_Barner_UnderReview,English
347,one-one_150,3.4770705,F,0,6,Schneider_Barner_UnderReview,English
348,one-one_151,4.355920602,F,5,29,Schneider_Barner_UnderReview,English
349,one-one_153,3.852156057,M,CP,15,Schneider_Barner_UnderReview,English
350,one-one_154,3.353867214,F,1,7,Schneider_Barner_UnderReview,English
351,one-one_155,3.345653662,M,0,10,Schneider_Barner_UnderReview,English
352,one-one_157,3.496235455,M,1,5,Schneider_Barner_UnderReview,English
353,one-one_159,3.206023272,M,CP,11,Schneider_Barner_UnderReview,English
354,one-one_160,3.008898015,F,CP,20,Schneider_Barner_UnderReview,English
355,one-one_162,4.325804244,M,CP,19,Schneider_Barner_UnderReview,English
356,one-one_164,4.413415469,F,CP,13,Schneider_Barner_UnderReview,English
357,one-one_165,3.947980835,M,CP,10,Schneider_Barner_UnderReview,English
358,one-one_166,3.696098563,M,CP,59,Schneider_Barner_UnderReview,English
359,one-one_168,4.049281314,F,CP,30,Schneider_Barner_UnderReview,English
360,one-one_169,4.692676249,F,CP,29,Schneider_Barner_UnderReview,English
361,one-one_172,3.734428474,M,CP,13,Schneider_Barner_UnderReview,English
362,one-one_173,3.427789185,M,CP,6,Schneider_Barner_UnderReview,English
363,060619-V,3.039014374,F,2,4,Schneider_Barner_UnderReview,English
364,60619-CH,3.101984942,F,1,12,Schneider_Barner_UnderReview,English
365,060419-CS,3.02532512,M,0,10,Schneider_Barner_UnderReview,English
366,060719-MV,3.110198494,F,CP,10,Schneider_Barner_UnderReview,English
367,061119-RB,3.148528405,M,2,7,Schneider_Barner_UnderReview,English
368,061119-AB,4.087611225,F,2,3,Schneider_Barner_UnderReview,English
369,061119-LB,4.087611225,M,3,5,Schneider_Barner_UnderReview,English
370,061219-WM,3.23613963,M,2,13,Schneider_Barner_UnderReview,English
371,062519-AD,3.208761123,F,2,10,Schneider_Barner_UnderReview,English
372,062419-MB,3.603011636,F,CP,14,Schneider_Barner_UnderReview,English
373,071519-MT,3.151266256,F,CP,8,Schneider_Barner_UnderReview,English
374,072319-EW,3.523613963,F,CP,15,Schneider_Barner_UnderReview,English
375,072319-EA,4.098562628,F,CP,38,Schneider_Barner_UnderReview,English
376,072919-EF,4.752908966,F,CP,40,Schneider_Barner_UnderReview,English
377,080119-VM,4.065708419,F,CP,19,Schneider_Barner_UnderReview,English
378,080119-IW,4.010951403,F,NA,NA,Schneider_Barner_UnderReview,English
379,080519-IH,4.079397673,F,CP,14,Schneider_Barner_UnderReview,English
380,080719-TJ ,3.679671458,F,0,7,Schneider_Barner_UnderReview,English
381,081419-AW,3.96440794,F,CP,14,Schneider_Barner_UnderReview,English
382,090319-E,3.315537303,F,CP,NA,Schneider_Barner_UnderReview,English
383,090319-M,4.670773443,F,CP,50,Schneider_Barner_UnderReview,English
384,090319-G,4.427104723,F,4,15,Schneider_Barner_UnderReview,English
385,090319-R,3.51266256,M,1,12,Schneider_Barner_UnderReview,English
386,090319-A,3.529089665,F,0,11,Schneider_Barner_UnderReview,English
387,090319-F,3.509924709,M,3,15,Schneider_Barner_UnderReview,English
388,090319-C,3.696098563,M,CP,13,Schneider_Barner_UnderReview,English
389,090419-CC,3.901437372,F,3,NA,Schneider_Barner_UnderReview,English
390,090419-R,3.685147159,M,2,15,Schneider_Barner_UnderReview,English
