,SID,Age,Sex,Knower_level,highest_count,Experiment,Language
1,021319-SF,2.688569473,M,0,3,Schneider_Barner_2021,English
2,021319-VA,2.488706366,F,0,3,Schneider_Barner_2021,English
3,021319-EW,2.379192334,F,1,7,Schneider_Barner_2021,English
4,021319-ZC,2.811772758,M,2,10,Schneider_Barner_2021,English
5,021919-AP,2.836413415,M,3,6,Schneider_Barner_2021,English
6,021919-MW,3.674195756,M,3,2,Schneider_Barner_2021,English
7,021919-WD,3.991786448,M,CP,29,Schneider_Barner_2021,English
8,021919-ZM,4.394250513,M,4,10,Schneider_Barner_2021,English
9,021919-AS,3.986310746,M,CP,79,Schneider_Barner_2021,English
10,021919-AY,3.660506502,F,CP,20,Schneider_Barner_2021,English
11,021919-PW,3.156741958,F,1,5,Schneider_Barner_2021,English
12,022219-JF,3.118412047,F,4,14,Schneider_Barner_2021,English
13,022219-EL,3.520876112,M,4,2,Schneider_Barner_2021,English
14,022219-AB,3.890485969,M,4,1,Schneider_Barner_2021,English
15,022219-A,3.211498973,M,CP,3,Schneider_Barner_2021,English
16,022219-BW,3.939767283,M,2,9,Schneider_Barner_2021,English
17,022219-RR,3.953456537,F,2,3,Schneider_Barner_2021,English
18,022619-ER,3.02532512,F,1,4,Schneider_Barner_2021,English
19,022619-LD,3.230663929,M,2,10,Schneider_Barner_2021,English
20,022619-LR,2.724161533,F,1,8,Schneider_Barner_2021,English
21,022619-RG,2.945927447,M,1,5,Schneider_Barner_2021,English
22,022619-RT,2.417522245,M,0,NA,Schneider_Barner_2021,English
23,022619-T,3.414099932,M,2,10,Schneider_Barner_2021,English
24,022619-D,2.650239562,F,3,12,Schneider_Barner_2021,English
25,022719-B,3.619438741,M,2,13,Schneider_Barner_2021,English
26,022719-CH,3.455167693,F,3,13,Schneider_Barner_2021,English
27,022719-CL,3.383983573,M,1,3,Schneider_Barner_2021,English
28,022719-J,3.668720055,M,3,5,Schneider_Barner_2021,English
29,022719-JM,3.23613963,M,2,6,Schneider_Barner_2021,English
30,022719-M,2.981519507,F,3,2,Schneider_Barner_2021,English
31,022719-PL,3.72347707,F,2,6,Schneider_Barner_2021,English
32,022719-SW,3.564681725,M,2,7,Schneider_Barner_2021,English
33,022819-ED,2.836413415,M,1,10,Schneider_Barner_2021,English
34,022819-AH,3.646817248,F,3,5,Schneider_Barner_2021,English
35,022819-AM,3.170431211,F,3,4,Schneider_Barner_2021,English
36,022819-AM2,3.561943874,M,CP,5,Schneider_Barner_2021,English
37,022819-BT,3.397672827,M,2,10,Schneider_Barner_2021,English
38,022819-H,3.12936345,M,1,10,Schneider_Barner_2021,English
39,022819-HP,3.58110883,F,3,4,Schneider_Barner_2021,English
40,022819-ZF,3.367556468,M,2,2,Schneider_Barner_2021,English
41,030119-AD,3.701574264,F,CP,14,Schneider_Barner_2021,English
42,030119-B,3.879534565,F,2,16,Schneider_Barner_2021,English
43,030119-H,3.197809719,M,3,4,Schneider_Barner_2021,English
44,030119-HR,3.871321013,M,2,8,Schneider_Barner_2021,English
45,030119-L,3.885010267,F,3,13,Schneider_Barner_2021,English
46,030119-S,3.526351814,F,CP,14,Schneider_Barner_2021,English
47,030119-S2,3.159479808,F,1,2,Schneider_Barner_2021,English
48,030119-SW,3.455167693,M,CP,12,Schneider_Barner_2021,English
49,030419-A,2.767967146,F,1,11,Schneider_Barner_2021,English
50,030419-C,2.611909651,F,2,1,Schneider_Barner_2021,English
51,030419-E,2.444900753,M,NA,NA,Schneider_Barner_2021,English
52,030419-F,2.726899384,F,1,12,Schneider_Barner_2021,English
53,030419-H,3.89596167,F,3,12,Schneider_Barner_2021,English
54,030419-LM,3.255304586,F,3,8,Schneider_Barner_2021,English
55,030419-LP,3.520876112,M,NA,NA,Schneider_Barner_2021,English
56,030419-OH,4.076659822,M,2,5,Schneider_Barner_2021,English
57,030519-B,4.355920602,F,4,29,Schneider_Barner_2021,English
58,030519-JH,3.852156057,M,CP,14,Schneider_Barner_2021,English
59,030519-K,3.353867214,F,1,3,Schneider_Barner_2021,English
60,030519-OB1,3.540041068,M,2,4,Schneider_Barner_2021,English
61,030519-OB2,3.496235455,M,2,2,Schneider_Barner_2021,English
62,030519-OB3,3.635865845,F,CP,14,Schneider_Barner_2021,English
63,030619-E,3.422313484,F,2,6,Schneider_Barner_2021,English
64,030619-J,4.098562628,M,1,5,Schneider_Barner_2021,English
65,030619-K,3.006160164,F,1,1,Schneider_Barner_2021,English
66,030619-L,3.624914442,M,1,12,Schneider_Barner_2021,English
67,030619-L2,3.263518138,M,1,15,Schneider_Barner_2021,English
68,030619-M,3.679671458,M,1,1,Schneider_Barner_2021,English
69,030619-M2,3.775496235,F,CP,18,Schneider_Barner_2021,English
70,030619-M3,3.419575633,F,3,5,Schneider_Barner_2021,English
71,030619-Q,3.603011636,F,CP,12,Schneider_Barner_2021,English
72,030619-S,2.220396988,F,1,3,Schneider_Barner_2021,English
73,030619-T,3.868583162,M,4,12,Schneider_Barner_2021,English
74,030719-HM,4.041067762,M,CP,6,Schneider_Barner_2021,English
75,031219-RM,3.559206023,M,CP,11,Schneider_Barner_2021,English
76,031819-MS,3.969883641,M,CP,NA,Schneider_Barner_2021,English
77,031819-IG,3.008898015,F,CP,20,Schneider_Barner_2021,English
78,031819-PM,3.206023272,M,CP,19,Schneider_Barner_2021,English
79,032019-E,4.501026694,F,CP,13,Schneider_Barner_2021,English
80,032519-T,3.734428474,M,CP,13,Schneider_Barner_2021,English
81,032519-BT,3.055441478,M,NA,NA,Schneider_Barner_2021,English
82,032519-V,3.696098563,F,CP,59,Schneider_Barner_2021,English
83,032619-D,2.986995209,M,CP,12,Schneider_Barner_2021,English
84,032619-B,3.947980835,M,CP,10,Schneider_Barner_2021,English
85,032619-E,3.728952772,M,2,5,Schneider_Barner_2021,English
86,032619-W,3.51266256,F,2,13,Schneider_Barner_2021,English
87,032619-G,3.110198494,F,1,6,Schneider_Barner_2021,English
88,032719-G,3.874058864,F,CP,7,Schneider_Barner_2021,English
89,032919-EW,3.3045859,F,0,NA,Schneider_Barner_2021,English
90,032919-C,3.23613963,M,2,13,Schneider_Barner_2021,English
91,032919-W,3.030800821,M,1,13,Schneider_Barner_2021,English
92,032919-K,3.696098563,F,2,6,Schneider_Barner_2021,English
93,040319-M,3.375770021,F,CP,16,Schneider_Barner_2021,English
94,040319-E,2.598220397,F,NA,NA,Schneider_Barner_2021,English
95,040319-A1,3.446954141,F,1,10,Schneider_Barner_2021,English
96,040319-B,3.75633128,M,1,12,Schneider_Barner_2021,English
97,040219-AC,2.970568104,F,NA,NA,Schneider_Barner_2021,English
98,040219-NS,3.655030801,F,CP,12,Schneider_Barner_2021,English
99,040219-Q,2.666666667,F,NA,NA,Schneider_Barner_2021,English
100,040219-JQ,3.545516769,M,3,14,Schneider_Barner_2021,English
101,040219-AT,3.605749487,F,4,10,Schneider_Barner_2021,English
102,040219-A,3.611225188,M,3,10,Schneider_Barner_2021,English
103,041719-MS,3.140314853,F,CP,10,Schneider_Barner_2021,English
104,041719-CR,4.027378508,M,CP,11,Schneider_Barner_2021,English
105,041719-E,3.504449008,F,CP,13,Schneider_Barner_2021,English
106,041719-LC,3.427789185,F,CP,4,Schneider_Barner_2021,English
107,071519-OL,3.227926078,F,2,5,Schneider_Barner_2021,English
108,071219-BG,2.535249829,M,2,6,Schneider_Barner_2021,English
109,071019-Z,-0.073921971,NA,NA,NA,Schneider_Barner_2021,English
110,071019-W,3.72073922,M,CP,11,Schneider_Barner_2021,English
111,071019-TR,3.890485969,F,CP,20,Schneider_Barner_2021,English
112,071019-TD,2.565366188,F,NA,NA,Schneider_Barner_2021,English
113,071019-S,3.819301848,M,2,1,Schneider_Barner_2021,English
114,071019-S2,2.669404517,F,3,10,Schneider_Barner_2021,English
115,071019-MF,3.624914442,F,CP,24,Schneider_Barner_2021,English
116,071019-K,3.58384668,F,CP,5,Schneider_Barner_2021,English
117,071019-J,2.735112936,M,NA,NA,Schneider_Barner_2021,English
118,071019-E,4.583162218,M,NA,NA,Schneider_Barner_2021,English
119,071019-E2,2.54072553,F,NA,NA,Schneider_Barner_2021,English
120,071019-C,3.446954141,F,2,1,Schneider_Barner_2021,English
121,071019-BC,3.34017796,F,NA,NA,Schneider_Barner_2021,English
122,070919-IK,2.943189596,F,1,3,Schneider_Barner_2021,English
123,070919-GR,2.967830253,M,2,10,Schneider_Barner_2021,English
124,070319-ZA,3.947980835,M,CP,79,Schneider_Barner_2021,English
125,070319-AA,3.947980835,M,CP,100,Schneider_Barner_2021,English
126,070219-SP,2.683093771,M,3,7,Schneider_Barner_2021,English
127,070119-ZC,3.189596167,M,3,19,Schneider_Barner_2021,English
128,070119-L,3.375770021,F,CP,20,Schneider_Barner_2021,English
129,070119-KT,3.939767283,F,CP,29,Schneider_Barner_2021,English
130,070119-A,2.455852156,F,NA,NA,Schneider_Barner_2021,English
131,062819-OF,3.802874743,F,2,13,Schneider_Barner_2021,English
132,062819-GS,3.115674196,F,1,3,Schneider_Barner_2021,English
133,062819-CB,3.92881588,M,CP,12,Schneider_Barner_2021,English
134,062719-GA,3.808350445,M,CP,8,Schneider_Barner_2021,English
135,062719-AL,3.926078029,F,5,15,Schneider_Barner_2021,English
136,062719-AC,3.811088296,F,CP,14,Schneider_Barner_2021,English
137,062519-AD,3.208761123,F,4,10,Schneider_Barner_2021,English
138,062419-MB,3.603011636,F,CP,14,Schneider_Barner_2021,English
139,062119-RM,2.598220397,M,1,14,Schneider_Barner_2021,English
140,062119-EG,2.381930185,F,1,3,Schneider_Barner_2021,English
141,061219-RM,3.811088296,M,CP,9,Schneider_Barner_2021,English
142,061219-OM,3.72073922,M,2,14,Schneider_Barner_2021,English
143,061219-NZ,2.453114305,F,1,3,Schneider_Barner_2021,English
144,061219-LE,2.529774127,M,2,10,Schneider_Barner_2021,English
145,061219-L,3.72073922,M,2,1,Schneider_Barner_2021,English
146,061219-KH,3.181382615,F,3,10,Schneider_Barner_2021,English
147,061219-IS,2.551676934,F,3,16,Schneider_Barner_2021,English
148,061219-G,3.748117728,F,CP,12,Schneider_Barner_2021,English
149,061219-FL,2.754277892,M,CP,12,Schneider_Barner_2021,English
150,061219-DV,3.326488706,M,1,15,Schneider_Barner_2021,English
151,061219-DC,3.972621492,M,CP,NA,Schneider_Barner_2021,English
152,061219-BH,2.453114305,M,1,15,Schneider_Barner_2021,English
153,061219-AL,2.64476386,F,3,13,Schneider_Barner_2021,English
154,061119-RB,3.148528405,M,2,7,Schneider_Barner_2021,English
155,060719-MV,3.110198494,F,CP,11,Schneider_Barner_2021,English
156,060619-V,3.039014374,F,2,4,Schneider_Barner_2021,English
157,060619-CH,3.101984942,F,1,12,Schneider_Barner_2021,English
158,060519-S,3.885010267,M,CP,8,Schneider_Barner_2021,English
159,060519-B,3.92881588,M,1,9,Schneider_Barner_2021,English
160,060419-S,2.663928816,F,NA,NA,Schneider_Barner_2021,English
161,060419-R,3.121149897,F,2,9,Schneider_Barner_2021,English
162,060419-LK,1.930184805,F,NA,NA,Schneider_Barner_2021,English
