Subject,Country,Experiment
CopyPasteMe,NA,Schneider_Barner_2021
071519-OL,United States,Schneider_Barner_2021
071219-BG,United States,Schneider_Barner_2021
071019-Z,United States,Schneider_Barner_2021
071019-W,United States,Schneider_Barner_2021
071019-TR,United States,Schneider_Barner_2021
071019-TD,United States,Schneider_Barner_2021
071019-S,United States,Schneider_Barner_2021
071019-S2,United States,Schneider_Barner_2021
071019-MF,United States,Schneider_Barner_2021
071019-K,United States,Schneider_Barner_2021
071019-J,United States,Schneider_Barner_2021
071019-E,United States,Schneider_Barner_2021
071019-E2,United States,Schneider_Barner_2021
071019-C,United States,Schneider_Barner_2021
071019-BC,United States,Schneider_Barner_2021
070919-IK,United States,Schneider_Barner_2021
070919-GR,United States,Schneider_Barner_2021
070319-ZA,United States,Schneider_Barner_2021
070319-AA,United States,Schneider_Barner_2021
070219-SP,United States,Schneider_Barner_2021
070119-ZC,United States,Schneider_Barner_2021
070119-L,United States,Schneider_Barner_2021
070119-KT,United States,Schneider_Barner_2021
070119-A,United States,Schneider_Barner_2021
062819-OF,United States,Schneider_Barner_2021
062819-GS,United States,Schneider_Barner_2021
062819-CB,United States,Schneider_Barner_2021
062719-GA,United States,Schneider_Barner_2021
062719-AL,United States,Schneider_Barner_2021
062719-AC,United States,Schneider_Barner_2021
062519-AD,United States,Schneider_Barner_2021
062419-MB,United States,Schneider_Barner_2021
062119-RM,United States,Schneider_Barner_2021
062119-EG,United States,Schneider_Barner_2021
061219-RM,United States,Schneider_Barner_2021
061219-OM,United States,Schneider_Barner_2021
061219-NZ,United States,Schneider_Barner_2021
061219-LE,United States,Schneider_Barner_2021
061219-L,United States,Schneider_Barner_2021
061219-KH,United States,Schneider_Barner_2021
061219-IS,United States,Schneider_Barner_2021
061219-G,United States,Schneider_Barner_2021
061219-FL,United States,Schneider_Barner_2021
061219-DV,United States,Schneider_Barner_2021
061219-DC,United States,Schneider_Barner_2021
061219-BH,United States,Schneider_Barner_2021
061219-AL,United States,Schneider_Barner_2021
061119-RB,United States,Schneider_Barner_2021
060719-MV,United States,Schneider_Barner_2021
060619-V,United States,Schneider_Barner_2021
060619-CH,United States,Schneider_Barner_2021
060519-S,United States,Schneider_Barner_2021
060519-B,United States,Schneider_Barner_2021
060419-S,United States,Schneider_Barner_2021
060419-R,United States,Schneider_Barner_2021
060419-LK,United States,Schneider_Barner_2021
060419-K1,United States,Schneider_Barner_2021
060419-K,United States,Schneider_Barner_2021
060419-JB,United States,Schneider_Barner_2021
060419-J1,United States,Schneider_Barner_2021
060419-IS,United States,Schneider_Barner_2021
060419-CS,United States,Schneider_Barner_2021
060419-B,United States,Schneider_Barner_2021
053119-MT,United States,Schneider_Barner_2021
053119-MK,United States,Schneider_Barner_2021
053119-KO,United States,Schneider_Barner_2021
053119-EM,United States,Schneider_Barner_2021
053119-CF,United States,Schneider_Barner_2021
053119-AM,United States,Schneider_Barner_2021
053019-M,United States,Schneider_Barner_2021
053019-L,United States,Schneider_Barner_2021
052819-LC,United States,Schneider_Barner_2021
052819-CH,United States,Schneider_Barner_2021
052219-RB,United States,Schneider_Barner_2021
052219-HF,United States,Schneider_Barner_2021
051719-J,United States,Schneider_Barner_2021
051719-AM,United States,Schneider_Barner_2021
051619-T,United States,Schneider_Barner_2021
051619-M,United States,Schneider_Barner_2021
051519-R,United States,Schneider_Barner_2021
051519-P,United States,Schneider_Barner_2021
051519-OB,United States,Schneider_Barner_2021
050819-SM,United States,Schneider_Barner_2021
050819-C,United States,Schneider_Barner_2021
050719-SW,United States,Schneider_Barner_2021
050719-PT,United States,Schneider_Barner_2021
050719-M,United States,Schneider_Barner_2021
050719-K,United States,Schneider_Barner_2021
050719-C,United States,Schneider_Barner_2021
050119-W,United States,Schneider_Barner_2021
050119-JL,United States,Schneider_Barner_2021
042919-MF,United States,Schneider_Barner_2021
042919-KI,United States,Schneider_Barner_2021
042919-CI,United States,Schneider_Barner_2021
042919-BQ,United States,Schneider_Barner_2021
042919-BP,United States,Schneider_Barner_2021
042519-MG,United States,Schneider_Barner_2021
042419-S,United States,Schneider_Barner_2021
042419-M,United States,Schneider_Barner_2021
042419-HW,United States,Schneider_Barner_2021
042419-E,United States,Schneider_Barner_2021
041819-DS,United States,Schneider_Barner_2021
041719-SW,United States,Schneider_Barner_2021
041719-SK,United States,Schneider_Barner_2021
041719-RO,United States,Schneider_Barner_2021
041719-NJ,United States,Schneider_Barner_2021
041719-JA,United States,Schneider_Barner_2021
041719-CC,United States,Schneider_Barner_2021
041719-BD,United States,Schneider_Barner_2021
021319-SF,United States,Schneider_Barner_2021
021319-VA,United States,Schneider_Barner_2021
021319-EW,United States,Schneider_Barner_2021
021319-ZC,United States,Schneider_Barner_2021
021919-AP,United States,Schneider_Barner_2021
021919-MW,United States,Schneider_Barner_2021
021919-WD,United States,Schneider_Barner_2021
021919-ZM,United States,Schneider_Barner_2021
021919-AS,United States,Schneider_Barner_2021
021919-AY,United States,Schneider_Barner_2021
021919-PW,United States,Schneider_Barner_2021
022219-JF,United States,Schneider_Barner_2021
022219-EL,United States,Schneider_Barner_2021
022219-AB,United States,Schneider_Barner_2021
022219-A,United States,Schneider_Barner_2021
022219-BW,United States,Schneider_Barner_2021
022219-RR,United States,Schneider_Barner_2021
022619-ER,Canada,Schneider_Barner_2021
022619-LD,Canada,Schneider_Barner_2021
022619-LR,Canada,Schneider_Barner_2021
022619-RG,Canada,Schneider_Barner_2021
022619-RT,Canada,Schneider_Barner_2021
022619-T,Canada,Schneider_Barner_2021
022619-D,Canada,Schneider_Barner_2021
022719-B,Canada,Schneider_Barner_2021
022719-CH,Canada,Schneider_Barner_2021
022719-CL,Canada,Schneider_Barner_2021
022719-J,Canada,Schneider_Barner_2021
022719-JM,Canada,Schneider_Barner_2021
022719-M,Canada,Schneider_Barner_2021
022719-PL,Canada,Schneider_Barner_2021
022719-SW,Canada,Schneider_Barner_2021
022819-ED,Canada,Schneider_Barner_2021
022819-AH,Canada,Schneider_Barner_2021
022819-AM,Canada,Schneider_Barner_2021
022819-AM2,Canada,Schneider_Barner_2021
022819-BT,Canada,Schneider_Barner_2021
022819-H,Canada,Schneider_Barner_2021
022819-HP,Canada,Schneider_Barner_2021
022819-ZF,Canada,Schneider_Barner_2021
030119-AD,Canada,Schneider_Barner_2021
030119-B,Canada,Schneider_Barner_2021
030119-H,Canada,Schneider_Barner_2021
030119-HR,Canada,Schneider_Barner_2021
030119-L,Canada,Schneider_Barner_2021
030119-S,Canada,Schneider_Barner_2021
030119-S2,Canada,Schneider_Barner_2021
030119-SW,Canada,Schneider_Barner_2021
030419-A,Canada,Schneider_Barner_2021
030419-C,Canada,Schneider_Barner_2021
030419-E,Canada,Schneider_Barner_2021
030419-F,Canada,Schneider_Barner_2021
030419-H,Canada,Schneider_Barner_2021
030419-LM,Canada,Schneider_Barner_2021
030419-LP,Canada,Schneider_Barner_2021
030419-OH,Canada,Schneider_Barner_2021
030519-B,Canada,Schneider_Barner_2021
030519-JH,Canada,Schneider_Barner_2021
030519-K,Canada,Schneider_Barner_2021
030519-OB1,Canada,Schneider_Barner_2021
030519-OB2,Canada,Schneider_Barner_2021
030519-OB3,Canada,Schneider_Barner_2021
030619-E,Canada,Schneider_Barner_2021
030619-J,Canada,Schneider_Barner_2021
030619-K,Canada,Schneider_Barner_2021
030619-L,Canada,Schneider_Barner_2021
030619-L2,Canada,Schneider_Barner_2021
030619-M,Canada,Schneider_Barner_2021
030619-M2,Canada,Schneider_Barner_2021
030619-M3,Canada,Schneider_Barner_2021
030619-Q,Canada,Schneider_Barner_2021
030619-S,Canada,Schneider_Barner_2021
030619-T,Canada,Schneider_Barner_2021
030719-HM,Canada,Schneider_Barner_2021
031219-RM,United States,Schneider_Barner_2021
031819-MS,United States,Schneider_Barner_2021
031819-IG,United States,Schneider_Barner_2021
031819-PM,United States,Schneider_Barner_2021
032019-E,United States,Schneider_Barner_2021
032519-T,United States,Schneider_Barner_2021
032519-BT,United States,Schneider_Barner_2021
032519-V,United States,Schneider_Barner_2021
032619-D,United States,Schneider_Barner_2021
032619-B,United States,Schneider_Barner_2021
032619-E,United States,Schneider_Barner_2021
032619-W,United States,Schneider_Barner_2021
032619-G,United States,Schneider_Barner_2021
032719-G,United States,Schneider_Barner_2021
032919-EW,United States,Schneider_Barner_2021
032919-C,United States,Schneider_Barner_2021
032919-W,United States,Schneider_Barner_2021
032919-K,United States,Schneider_Barner_2021
040319-M,United States,Schneider_Barner_2021
040319-E,United States,Schneider_Barner_2021
040319-A1,United States,Schneider_Barner_2021
040319-B,United States,Schneider_Barner_2021
040219-AC,United States,Schneider_Barner_2021
040219-NS,United States,Schneider_Barner_2021
040219-Q,United States,Schneider_Barner_2021
040219-JQ,United States,Schneider_Barner_2021
040219-AT,United States,Schneider_Barner_2021
040219-A,United States,Schneider_Barner_2021
041719-MS,United States,Schneider_Barner_2021
041719-CR,United States,Schneider_Barner_2021
041719-E,United States,Schneider_Barner_2021
041719-LC,United States,Schneider_Barner_2021
