Subject,Location Code,Education,Age,Gender,method,cite,OrderedGiveN1,OrderedGiveN2,OrderedGiveN3,OrderedGiveN4,OrderedGiveN5,OrderedGiveN6,OrderedGiveN7,OrderedGiveN8,GiveNRandom1,GiveNRandom2,GiveNRandom3,GiveNRandom4,GiveNRandom5,GiveNRandom6,GiveNRandom7,GiveNRandom8,GiveNRandomB1,GiveNRandomB2,GiveNRandomB3,GiveNRandomB4,GiveNRandomB5,GiveNRandomB6,GiveNRandomB7,GiveNRandomB8
1,1,3,9,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,4_4,5_5,2_2,8_7,1_1,6_6,3_3,7_7,4_4,5_5,3_3,6_6,2_2,8_8,7_7,1_1
2,1,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1_,2_2,3_3,4_4,5_6,6_4,7_5,8_4,5_3,4_5,6_7,2_3,8_4,1_1,7_4,3_6,3_6,4_8,8_6,7_8,5_5,1_1,6_6,2_2
3,1,0,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_5,4_7,5_7,6_7,7_10,8_10,1_1,7_NA,2_4,4_5,6_4,8_7,3_4,5_5,2_4,7_7,4_4,1_1,6_3,3_5,5_2,8_3
4,1,3,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,6_6,1_1,7_7,3_3,5_4,8_6,4_4,2_2,6_7,1_1,7_5,3_3,5_5,8_8,4_4,2_2
5,1,0,5,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_2,4_3,5_2,6_10,7_2,8_4,3_2,5_2,2_2,6_3,7_3,1_1,8_7,4_3,6_3,5_10,4_5,1_1,3_4,8_7,7_4,2_3
8,1,0,4,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_10,4_5,5_6,6_10,7_6,8_6,6_7,1_1,5_5,8_8,3_4,2_2,4_4,7_9,2_2,4_6,7_9,5_8,3_4,6_7,1_1,8_10
9,1,0,4,F,non-titrated,Boni et al. (unpublished data),1_2,2_1,3_4,4_2,5_2,6_3,7_10,8_2,4_2,1_1,8_2,3_1,2_2,6_2,7_2,5_3,5_7,6_10,4_7,3_4,2_3,8_8,1_6,7_10
10,2,1,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_6,6_7,7_8,8_10,3_3,1_1,8_10,5_5,6_9,2_2,4_4,7_9,2_2,5_5,1_1,4_4,8_8,7_6,3_3,6_9
11,2,0.5,7,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_4,5_5,6_6,7_7,8_8,1_1,5_4,6_5,7_6,4_4,3_3,2_2,8_5,3_3,1_1,7_4,5_4,6_5,4_4,2_2,8_5
12,2,0.5,8,F,non-titrated,Boni et al. (unpublished data),1_2,2_3,3_6,4_6,5_5,6_7,7_6,8_7,5_6,8_6,2_2,6_6,4_6,1_1,7_7,3_4,2_2,8_6,5_6,3_3,1_1,7_7,4_5,6_7
13,3,0.5,6,M,non-titrated,Boni et al. (unpublished data),1_1,2_2,3_3,4_3,5_5,6_4,7_5,8_8,2_3,8_5,5_4,4_6,1_1,6_5,3_4,7_5,8_6,6_5,3_4,4_5,1_1,5_6,7_6,2_2
