Part.Num,SubID,DOT,DOB,Age.Mo,Age.Yr,Gender,L1,Add language,Location,Nationality,Experimenter,Group,QNI_cond,QNI_order,Order_un,QNI_term,QNI_type,QNI_setsize,QNI_score,QNI_precision,GN_order,GN_request,GN_ans,GN_score,GN_KL,HighCount,Exclusion,Comment
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,pretest,pretest,tous,1,,2,1,1,1,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,pretest,pretest,3,"1,0",,2,3,2,0,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,pretest,pretest,tous,1,,2,4,2,0,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,pretest,pretest,3,0,,2,6,2,0,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,tous,tous,tous,1,,2,2,2,1,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,des,pluriel,1,1,,2,6,3,0,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,tous,tous,3,0,,2,3,2,0,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,1,un,singulier,2,0,,2,2,3,0,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,1,un,singulier,1,1,,2,4,2,0,1K,2,no,
1,081018-AS,8/10/18,2/8/14,54,4.5,F,Français,none,Petits Adultes,Quebec,EM,Morpho,B,2,,des,pluriel,2,1,,2,1,1,1,1K,2,no,
