SubjID,Age,Gender,Titrated_request,titrated_answer,titrated_KL,nontitrated_order,nontitrated_request,nontitrated_answer,nontitrated_KL
112119-S,3.63,M,1,1,2k,2,1,1,3k
112119-S,3.63,M,2,2,2k,2,6,6,3k
112119-S,3.63,M,3,2,2k,2,4,4,3k
112119-S,3.63,M,2,2,2k,2,2,2,3k
112119-S,3.63,M,3,4,2k,2,3,4,3k
112119-S,3.63,M,2,2,2k,2,1,1,3k
112119-S,3.63,M,3,3,2k,2,3,3,3k
112119-S,3.63,M,4,5,2k,2,4,4,3k
112119-S,3.63,M,3,3,2k,2,6,6,3k
112119-S,3.63,M,4,4,2k,2,2,2,3k
112119-S,3.63,M,5,10,2k,2,6,4,3k
112119-S,3.63,M,4,10,2k,2,3,3,3k
112119-S,3.63,M,,,,2,2,2,3k
112119-S,3.63,M,,,,2,4,4,3k
112119-S,3.63,M,,,,2,1,1,3k
112119-B,2.9,M,1,1,4K,2,1,1,1K
112119-B,2.9,M,2,2,4K,2,6,4,1K
112119-B,2.9,M,3,2,4K,2,4,10,1K
112119-B,2.9,M,2,2,4K,2,2,2,1K
112119-B,2.9,M,3,3,4K,2,3,5,1K
112119-B,2.9,M,4,4,4K,2,1,1,1K
112119-B,2.9,M,5,3,4K,2,3,5,1K
112119-B,2.9,M,4,4,4K,2,4,5,1K
112119-B,2.9,M,5,10,4K,2,6,10,1K
112119-B,2.9,M,4,4,4K,2,2,3,1K
112119-B,2.9,M,,,,2,6,3,1K
112119-B,2.9,M,,,,2,3,3,1K
112119-B,2.9,M,,,,2,2,5,1K
112119-B,2.9,M,,,,,4,3,1K
112119-B,2.9,M,,,,,1,1,1K
112219-IS,3,F,1,1,3K,1,6,5,3K
112219-IS,3,F,2,2,3K,1,3,3,3K
112219-IS,3,F,3,3,3K,1,2,5,3K
112219-IS,3,F,4,4,3K,1,4,10,3K
112219-IS,3,F,5,7,3K,1,1,1,3K
112219-IS,3,F,4,3,3K,1,1,1,3K
112219-IS,3,F,3,5,3K,1,6,5,3K
112219-IS,3,F,4,7,3K,1,4,5,3K
112219-IS,3,F,3,5,3K,1,2,2,3K
112219-IS,3,F,,,,1,3,3,3K
112219-IS,3,F,,,,1,1,1,3K
112219-IS,3,F,,,,1,3,3,3K
112219-IS,3,F,,,,1,4,4,3K
112219-IS,3,F,,,,1,6,6,3K
112219-IS,3,F,,,,1,2,2,3K
112219-ZM,3.31,F,1,1,CP,2,1,1,CP
112219-ZM,3.31,F,2,2,CP,2,6,6,CP
112219-ZM,3.31,F,3,3,CP,2,4,4,CP
112219-ZM,3.31,F,4,4,CP,2,2,2,CP
112219-ZM,3.31,F,5,5,CP,2,3,3,CP
112219-ZM,3.31,F,6,6,CP,2,1,1,CP
112219-ZM,3.31,F,,,,2,3,3,CP
112219-ZM,3.31,F,,,,2,4,4,CP
