SubjID,Age,Gender,Titrated_request,titrated_answer,titrated_KL,nontitrated_order,nontitrated_request,nontitrated_answer,nontitrated_KL
112219-ZM,3.31,F,,,,2,6,6,CP
112219-ZM,3.31,F,,,,2,2,2,CP
112219-ZM,3.31,F,,,,2,6,6,CP
112219-ZM,3.31,F,,,,2,3,3,CP
112219-ZM,3.31,F,,,,2,2,2,CP
112219-ZM,3.31,F,,,,2,4,4,CP
112219-ZM,3.31,F,,,,2,1,1,CP
112119-SG,2.61,F,1,1,0K,2,1,1,1K
112119-SG,2.61,F,2,4,0K,2,6,2,1K
112119-SG,2.61,F,1,all,0K,2,4,3,1K
112119-SG,2.61,F,2,1,0K,2,2,2,1K
112119-SG,2.61,F,1,1,0K,2,3,3,1K
112119-SG,2.61,F,,,,2,1,1,1K
112119-SG,2.61,F,,,,2,3,4,1K
112119-SG,2.61,F,,,,2,4,4,1K
112119-SG,2.61,F,,,,2,6,3,1K
112119-SG,2.61,F,,,,2,2,2,1K
112119-SG,2.61,F,,,,2,6,3,1K
112119-SG,2.61,F,,,,2,3,10,1K
112119-SG,2.61,F,,,,2,2,2,1K
112119-SG,2.61,F,,,,2,4,2,1K
112119-SG,2.61,F,,,,2,1,5,1K
112119-AR,2.13,F,1,1,1K,1,6,5,1K
112119-AR,2.13,F,2,2,1K,1,3,2,1K
112119-AR,2.13,F,3,2,1K,1,2,2,1K
112119-AR,2.13,F,2,2,1K,1,4,2,1K
112119-AR,2.13,F,3,3,1K,1,1,1,1K
112119-AR,2.13,F,4,4,1K,1,1,1,1K
112119-AR,2.13,F,5,3,1K,1,6,2,1K
112119-AR,2.13,F,4,6,1K,1,4,2,1K
112119-AR,2.13,F,3,2,1K,1,2,2,1K
112119-AR,2.13,F,2,2,1K,1,3,3,1K
112119-AR,2.13,F,1,1,1K,1,1,1,1K
112119-AR,2.13,F,,,,1,3,2,1K
112119-AR,2.13,F,,,,1,4,2,1K
112119-AR,2.13,F,,,,1,6,2,1K
112119-AR,2.13,F,,,,1,2,2,1K
112119-AG,2.72,F,1,1,1K,2,1,1,1K
112119-AG,2.72,F,2,2,1K,2,6,2,1K
112119-AG,2.72,F,3,2,1K,2,4,2,1K
112119-AG,2.72,F,2,2,1K,2,2,2,1K
112119-AG,2.72,F,3,2,1K,2,3,3,1K
112119-AG,2.72,F,2,2,1K,2,1,1,1K
112119-AG,2.72,F,3,2,1K,2,3,2,1K
112119-AG,2.72,F,2,2,1K,2,4,2,1K
112119-AG,2.72,F,1,1,1K,2,6,2,1K
112119-AG,2.72,F,,,,2,2,2,1K
112119-AG,2.72,F,,,,2,6,2,1K
112119-AG,2.72,F,,,,2,3,2,1K
112119-AG,2.72,F,,,,2,2,2,1K
112119-AG,2.72,F,,,,2,4,2,1K
112119-AG,2.72,F,,,,2,1,1,1K
112119-NGP,2.42,M,1,1,1K,1,6,2,1K
112119-NGP,2.42,M,2,3,1K,1,3,2,1K
112119-NGP,2.42,M,1,1,1K,1,2,2,1K
112119-NGP,2.42,M,2,3,1K,1,4,2,1K
112119-NGP,2.42,M,1,1,1K,1,1,1,1K
112119-NGP,2.42,M,,,1K,1,1,1,1K
112119-NGP,2.42,M,,,1K,1,6,2,1K
112119-NGP,2.42,M,,,1K,1,4,2,1K
112119-NGP,2.42,M,,,1K,1,2,2,1K
112119-NGP,2.42,M,,,1K,1,3,2,1K
112119-NGP,2.42,M,,,1K,1,1,1,1K
112119-NGP,2.42,M,,,1K,1,3,2,1K
112119-NGP,2.42,M,,,1K,1,4,2,1K
112119-NGP,2.42,M,,,1K,1,6,2,1K
112119-NGP,2.42,M,,,1K,1,2,3,1K
112119-RH,3.05,M,1,1,2K,1,6,3,1K
112119-RH,3.05,M,2,2,2K,1,3,6,1K
112119-RH,3.05,M,3,5,2K,1,2,all,1K
112119-RH,3.05,M,2,2,2K,1,4,all,1K
112119-RH,3.05,M,3,4,2K,1,1,1,1K
112119-RH,3.05,M,,,2K,1,1,3,1K
112119-RH,3.05,M,,,2K,1,6,4,1K
112119-RH,3.05,M,,,2K,1,4,all,1K
112119-RH,3.05,M,,,2K,1,2,all,1K
112119-RH,3.05,M,,,2K,1,3,all,1K
112119-RH,3.05,M,,,2K,1,1,1,1K
112119-RH,3.05,M,,,2K,1,3,2,1K
112119-RH,3.05,M,,,2K,1,4,all,1K
112119-RH,3.05,M,,,2K,1,6,all,1K
112119-RH,3.05,M,,,2K,1,2,all,1K
112119-RM,2.8,M,1,1,1K,1,6,10,1K
112119-RM,2.8,M,2,2,1K,1,3,3,1K
112119-RM,2.8,M,3,2,1K,1,2,4,1K
112119-RM,2.8,M,2,2,1K,1,4,5,1K
112119-RM,2.8,M,3,2,1K,1,1,1,1K
112119-RM,2.8,M,2,2,1K,1,1,1,1K
112119-RM,2.8,M,1,1,1K,1,6,2,1K
112119-RM,2.8,M,,,1K,1,4,2,1K
112119-RM,2.8,M,,,1K,1,2,2,1K
112119-RM,2.8,M,,,1K,1,3,2,1K
112119-RM,2.8,M,,,1K,1,1,1,1K
112119-RM,2.8,M,,,1K,1,3,2,1K
112119-RM,2.8,M,,,1K,1,4,2,1K
112119-RM,2.8,M,,,1K,1,6,2,1K
112119-RM,2.8,M,,,1K,1,2,2,1K
112519-B,2.3,M,1,all,0K,2,1,1,0K
112519-B,2.3,M,2,all,0K,2,6,1,0K
112519-B,2.3,M,1,all,0K,2,4,10,0K
112519-B,2.3,M,,,0K,2,2,2,0K
112519-B,2.3,M,,,0K,2,3,10,0K
112519-B,2.3,M,,,0K,2,1,10,0K
112519-B,2.3,M,,,0K,2,3,10,0K
112519-B,2.3,M,,,0K,2,4,10,0K
112519-B,2.3,M,,,0K,2,6,10,0K
112519-B,2.3,M,,,0K,2,2,10,0K
112519-B,2.3,M,,,0K,2,6,10,0K
112519-B,2.3,M,,,0K,2,3,10,0K
112519-B,2.3,M,,,0K,2,2,10,0K
112519-B,2.3,M,,,0K,2,4,10,0K
112519-B,2.3,M,,,0K,2,1,10,0K
112519-AL,2.71,F,1,1,1K,1,6,8,1K
112519-AL,2.71,F,2,all,1K,1,3,6,1K
112519-AL,2.71,F,1,1,1K,1,2,8,1K
112519-AL,2.71,F,2,all,1K,1,4,6,1K
112519-AL,2.71,F,,,1K,1,1,1,1K
112519-AL,2.71,F,,,1K,1,1,1,1K
112519-AL,2.71,F,,,1K,1,6,6,1K
112519-AL,2.71,F,,,1K,1,4,5,1K
112519-AL,2.71,F,,,1K,1,2,8,1K
112519-AL,2.71,F,,,1K,1,3,9,1K
112519-AL,2.71,F,,,1K,1,1,1,1K
112519-AL,2.71,F,,,1K,1,3,10,1K
112519-AL,2.71,F,,,1K,1,4,8,1K
112519-AL,2.71,F,,,1K,1,6,6,1K
112519-AL,2.71,F,,,1K,1,2,5,1K
112619-SB,3.2,F,1,1,2K,2,1,1,2K
112619-SB,3.2,F,2,2,2K,2,6,4,2K
112619-SB,3.2,F,3,4,2K,2,4,4,2K
112619-SB,3.2,F,2,2,2K,2,2,2,2K
112619-SB,3.2,F,3,3,2K,2,3,5,2K
112619-SB,3.2,F,4,4,2K,2,1,1,2K
112619-SB,3.2,F,5,4,2K,2,3,5,2K
112619-SB,3.2,F,4,5,2K,2,4,5,2K
112619-SB,3.2,F,3,6,2K,2,6,3,2K
112619-SB,3.2,F,,,2K,2,2,2,2K
112619-SB,3.2,F,,,2K,2,6,6,2K
112619-SB,3.2,F,,,2K,2,3,3,2K
112619-SB,3.2,F,,,2K,2,2,2,2K
112619-SB,3.2,F,,,2K,2,4,4,2K
112619-SB,3.2,F,,,2K,2,1,1,2K
112619-EB,3.2,M,1,1,3K,1,6,8,3K
112619-EB,3.2,M,2,2,3K,1,3,3,3K
112619-EB,3.2,M,3,3,3K,1,2,2,3K
112619-EB,3.2,M,4,8,3K,1,4,7,3K
112619-EB,3.2,M,3,3,3K,1,1,1,3K
112619-EB,3.2,M,4,8,3K,1,1,1,3K
112619-EB,3.2,M,,,3K,1,6,7,3K
112619-EB,3.2,M,,,3K,1,4,4,3K
112619-EB,3.2,M,,,3K,1,2,2,3K
112619-EB,3.2,M,,,3K,1,3,3,3K
112619-EB,3.2,M,,,3K,1,1,1,3K
112619-EB,3.2,M,,,3K,1,3,3,3K
112619-EB,3.2,M,,,3K,1,4,10,3K
112619-EB,3.2,M,,,3K,1,6,6,3K
112619-EB,3.2,M,,,3K,1,2,2,3K
112619-AR,2.21,M,1,1,0K,2,1,1,0K
112619-AR,2.21,M,2,1,0K,2,6,2,0K
112619-AR,2.21,M,1,1,0K,2,4,1,0K
112619-AR,2.21,M,2,3,0K,2,2,1,0K
112619-AR,2.21,M,1,1,0K,2,3,1,0K
112619-AR,2.21,M,2,2,0K,2,1,1,0K
112619-AR,2.21,M,3,5,0K,2,3,1,0K
112619-AR,2.21,M,2,1,0K,2,4,1,0K
112619-AR,2.21,M,,,0K,2,6,1,0K
112619-AR,2.21,M,,,0K,2,2,2,0K
112619-AR,2.21,M,,,0K,2,6,3,0K
112619-AR,2.21,M,,,0K,2,3,3,0K
112619-AR,2.21,M,,,0K,2,2,2,0K
112619-AR,2.21,M,,,0K,2,4,3,0K
112619-AR,2.21,M,,,0K,2,1,3,0K
112619-EM,3.82,M,1,1,CP,1,6,6,CP
112619-EM,3.82,M,2,2,CP,1,3,3,CP
112619-EM,3.82,M,3,3,CP,1,2,2,CP
112619-EM,3.82,M,4,4,CP,1,4,4,CP
112619-EM,3.82,M,5,5,CP,1,1,1,CP
112619-EM,3.82,M,6,5,CP,1,1,1,CP
112619-EM,3.82,M,6,6,CP,1,6,6,CP
112619-EM,3.82,M,6,6,CP,1,4,4,CP
112619-EM,3.82,M,,,CP,1,2,2,CP
112619-EM,3.82,M,,,CP,1,3,3,CP
112619-EM,3.82,M,,,CP,1,1,1,CP
112619-EM,3.82,M,,,CP,1,3,3,CP
112619-EM,3.82,M,,,CP,1,4,4,CP
112619-EM,3.82,M,,,CP,1,6,6,CP
112619-EM,3.82,M,,,CP,1,2,2,CP
112519-MS,3.2,F,1,1,1K,2,1,1,3K
112519-MS,3.2,F,2,2,1K,2,6,3,3K
112519-MS,3.2,F,3,2,1K,2,4,4,3K
112519-MS,3.2,F,2,2,1K,2,2,2,3K
112519-MS,3.2,F,3,3,1K,2,3,3,3K
112519-MS,3.2,F,2,2,1K,2,1,1,3K
112519-MS,3.2,F,3,2,1K,2,3,3,3K
112519-MS,3.2,F,1,1,1K,2,4,4,3K
112519-MS,3.2,F,,,1K,2,6,4,3K
112519-MS,3.2,F,,,1K,2,2,2,3K
112519-MS,3.2,F,,,1K,2,6,4,3K
112519-MS,3.2,F,,,1K,2,3,3,3K
112519-MS,3.2,F,,,1K,2,2,2,3K
112519-MS,3.2,F,,,1K,2,4,4,3K
112519-MS,3.2,F,,,1K,2,1,1,3K
112519-CS,2.5,M,1,1,1K,1,6,all,1K
112519-CS,2.5,M,2,all,1K,1,3,all,1K
112519-CS,2.5,M,1,1,1K,1,2,all,1K
112519-CS,2.5,M,2,4,1K,1,4,all,1K
112519-CS,2.5,M,,,1K,1,1,all,1K
112519-CS,2.5,M,,,1K,1,1,1,1K
112519-CS,2.5,M,,,1K,1,6,all,1K
112519-CS,2.5,M,,,1K,1,4,3,1K
112519-CS,2.5,M,,,1K,1,2,1,1K
112519-CS,2.5,M,,,1K,1,3,all,1K
112519-CS,2.5,M,,,1K,1,1,1,1K
112519-CS,2.5,M,,,1K,1,3,2,1K
112519-CS,2.5,M,,,1K,1,4,1,1K
112519-CS,2.5,M,,,1K,1,6,all,1K
112519-CS,2.5,M,,,1K,1,2,2,1K
112519-AI,2.75,M,1,2,1K,2,1,1,1K
112519-AI,2.75,M,2,all,1K,2,6,all,1K
112519-AI,2.75,M,1,1,1K,2,4,2,1K
112519-AI,2.75,M,2,2,1K,2,2,all,1K
112519-AI,2.75,M,3,2,1K,2,3,2,1K
112519-AI,2.75,M,2,2,1K,2,1,1,1K
112519-AI,2.75,M,3,2,1K,2,3,all,1K
112519-AI,2.75,M,,,1K,2,4,2,1K
112519-AI,2.75,M,,,1K,2,6,2,1K
112519-AI,2.75,M,,,1K,2,2,2,1K
112519-AI,2.75,M,,,1K,2,6,2,1K
112519-AI,2.75,M,,,1K,2,3,all,1K
112519-AI,2.75,M,,,1K,2,2,2,1K
112519-AI,2.75,M,,,1K,2,4,2,1K
112519-AI,2.75,M,,,1K,2,1,1,1K
112519-CK,3.24,M,1,1,2K,1,6,6,2K
112519-CK,3.24,M,2,2,2K,1,3,7,2K
112519-CK,3.24,M,3,3,2K,1,2,3,2K
112519-CK,3.24,M,4,7,2K,1,4,4,2K
112519-CK,3.24,M,3,7,2K,1,1,1,2K
112519-CK,3.24,M,2,2,2K,1,1,1,2K
112519-CK,3.24,M,3,10,2K,1,6,4,2K
112519-CK,3.24,M,2,2,2K,1,4,3,2K
112519-CK,3.24,M,,,2K,1,2,2,2K
112519-CK,3.24,M,,,2K,1,3,3,2K
112519-CK,3.24,M,,,2K,1,1,1,2K
112519-CK,3.24,M,,,2K,1,3,3,2K
112519-CK,3.24,M,,,2K,1,4,6,2K
112519-CK,3.24,M,,,2K,1,6,6,2K
112519-CK,3.24,M,,,2K,1,2,2,2K
112519-DV,3.78,M,1,1,3K,1,6,5,1K
112519-DV,3.78,M,2,2,3K,1,3,5,1K
112519-DV,3.78,M,3,3,3K,1,2,2,1K
112519-DV,3.78,M,4,5,3K,1,4,3,1K
112519-DV,3.78,M,3,3,3K,1,1,1,1K
112519-DV,3.78,M,4,4,3K,1,1,1,1K
112519-DV,3.78,M,5,6,3K,1,6,2,1K
112519-DV,3.78,M,4,6,3K,1,4,2,1K
112519-DV,3.78,M,3,5,3K,1,2,2,1K
112519-DV,3.78,M,2,2,3K,1,3,3,1K
112519-DV,3.78,M,NA,NA,3K,1,1,1,1K
112519-DV,3.78,M,NA,NA,3K,1,3,3,1K
112519-DV,3.78,M,NA,NA,3K,1,4,2,1K
112519-DV,3.78,M,NA,NA,3K,1,6,2,1K
112519-DV,3.78,M,NA,NA,3K,1,2,2,1K
112519-NZ,2.91,F,1,1,2K,2,1,1,1K
112519-NZ,2.91,F,2,3,2K,2,6,3,1K
112519-NZ,2.91,F,1,1,2K,2,4,3,1K
112519-NZ,2.91,F,2,2,2K,2,2,2,1K
112519-NZ,2.91,F,3,3,2K,2,3,3,1K
112519-NZ,2.91,F,4,3,2K,2,1,1,1K
112519-NZ,2.91,F,3,4,2K,2,3,2,1K
112519-NZ,2.91,F,2,2,2K,2,4,3,1K
112519-NZ,2.91,F,NA,NA,NA,2,6,2,1K
112519-NZ,2.91,F,NA,NA,NA,2,2,2,1K
112519-NZ,2.91,F,NA,NA,NA,2,6,3,1K
112519-NZ,2.91,F,NA,NA,NA,2,3,4,1K
112519-NZ,2.91,F,NA,NA,NA,2,2,2,1K
112519-NZ,2.91,F,NA,NA,NA,2,4,3,1K
112519-NZ,2.91,F,NA,NA,NA,2,1,1,1K
120519-IG,3.73,F,1,1,CP,1,6,10,2K
120519-IG,3.73,F,2,2,CP,1,3,10,2K
120519-IG,3.73,F,3,3,CP,1,2,2,2K
120519-IG,3.73,F,4,4,CP,1,4,10,2K
120519-IG,3.73,F,5,5,CP,1,1,1,2K
120519-IG,3.73,F,6,6,CP,1,1,1,2K
120519-IG,3.73,F,6,6,CP,1,6,10,2K
120519-IG,3.73,F,6,6,CP,1,4,10,2K
120519-IG,3.73,F,NA,NA,CP,1,2,2,2K
120519-IG,3.73,F,NA,NA,CP,1,3,10,2K
120519-IG,3.73,F,NA,NA,CP,1,1,1,2K
120519-IG,3.73,F,NA,NA,CP,1,3,10,2K
120519-IG,3.73,F,NA,NA,CP,1,4,10,2K
120519-IG,3.73,F,NA,NA,CP,1,6,6,2K
120519-IG,3.73,F,NA,NA,CP,1,2,2,2K
120519-GG,3.73,F,1,1,3K,1,6,7,2K
120519-GG,3.73,F,2,2,3K,1,3,5,2K
120519-GG,3.73,F,3,3,3K,1,2,2,2K
120519-GG,3.73,F,4,4,3K,1,4,4,2K
120519-GG,3.73,F,5,4,3K,1,1,1,2K
120519-GG,3.73,F,4,4,3K,1,1,1,2K
120519-GG,3.73,F,5,4,3K,1,6,6,2K
120519-GG,3.73,F,4,4,3K,1,4,5,2K
120519-GG,3.73,F,5,4,3K,1,2,2,2K
120519-GG,3.73,F,3,3,3K,1,3,4,2K
120519-GG,3.73,F,3,4,3K,1,1,1,2K
120519-GG,3.73,F,NA,NA,3K,1,3,7,2K
120519-GG,3.73,F,NA,NA,3K,1,4,5,2K
120519-GG,3.73,F,NA,NA,3K,1,6,4,2K
120519-GG,3.73,F,NA,NA,3K,1,2,2,2K
120519-AP,3.63,M,1,1,CP,2,1,1,CP
120519-AP,3.63,M,2,2,CP,2,6,6,CP
120519-AP,3.63,M,3,3,CP,2,4,4,CP
120519-AP,3.63,M,4,5,CP,2,2,2,CP
120519-AP,3.63,M,3,3,CP,2,3,3,CP
120519-AP,3.63,M,4,4,CP,2,1,1,CP
120519-AP,3.63,M,5,5,CP,2,3,3,CP
120519-AP,3.63,M,6,7,CP,2,4,4,CP
120519-AP,3.63,M,5,5,CP,2,6,6,CP
120519-AP,3.63,M,6,6,CP,2,2,2,CP
120519-AP,3.63,M,6,6,CP,2,6,6,CP
120519-AP,3.63,M,,,CP,2,3,3,CP
120519-AP,3.63,M,,,CP,2,2,2,CP
120519-AP,3.63,M,,,CP,2,4,4,CP
120519-AP,3.63,M,,,CP,2,1,1,CP
120519-MJ,2.95,F,1,1,1K,1,6,10,1K
120519-MJ,2.95,F,2,2,1K,1,3,3,1K
120519-MJ,2.95,F,3,2,1K,1,2,2,1K
120519-MJ,2.95,F,2,2,1K,1,4,5,1K
120519-MJ,2.95,F,3,2,1K,1,1,1,1K
120519-MJ,2.95,F,2,2,1K,1,1,1,1K
120519-MJ,2.95,F,,,1K,1,6,3,1K
120519-MJ,2.95,F,,,1K,1,4,3,1K
120519-MJ,2.95,F,,,1K,1,2,7,1K
120519-MJ,2.95,F,,,1K,1,3,2,1K
120519-MJ,2.95,F,,,1K,1,1,1,1K
120519-MJ,2.95,F,,,1K,1,3,2,1K
120519-MJ,2.95,F,,,1K,1,4,3,1K
120519-MJ,2.95,F,,,1K,1,6,5,1K
120519-MJ,2.95,F,,,1K,1,2,4,1K
120719-34,2.73,F,1,1,1K,2,1,1,1K
120719-34,2.73,F,2,3,1K,2,6,2,1K
120719-34,2.73,F,1,1,1K,2,4,3,1K
120719-34,2.73,F,2,4,1K,2,2,2,1K
120719-34,2.73,F,1,1,1K,2,3,2,1K
120719-34,2.73,F,,,1K,2,1,1,1K
120719-34,2.73,F,,,1K,2,3,2,1K
120719-34,2.73,F,,,1K,2,4,2,1K
120719-34,2.73,F,,,1K,2,6,2,1K
120719-34,2.73,F,,,1K,2,2,2,1K
120719-34,2.73,F,,,1K,2,6,4,1K
120719-34,2.73,F,,,1K,2,3,5,1K
120719-34,2.73,F,,,1K,2,2,7,1K
120719-34,2.73,F,,,1K,2,4,4,1K
120719-34,2.73,F,,,1K,2,1,1,1K
120519-PM,3.42,F,1,1,3K,2,1,1,3K
120519-PM,3.42,F,2,2,3K,2,6,4,3K
120519-PM,3.42,F,3,3,3K,2,4,8,3K
120519-PM,3.42,F,4,4,3K,2,2,2,3K
120519-PM,3.42,F,5,5,3K,2,3,3,3K
120519-PM,3.42,F,6,5,3K,2,1,1,3K
120519-PM,3.42,F,5,6,3K,2,3,3,3K
120519-PM,3.42,F,4,6,3K,2,4,8,3K
120519-PM,3.42,F,3,3,3K,2,6,4,3K
120519-PM,3.42,F,4,6,3K,2,2,2,3K
120519-PM,3.42,F,3,3,3K,2,6,4,3K
120519-PM,3.42,F,NA,NA,3K,2,3,3,3K
120519-PM,3.42,F,NA,NA,3K,2,2,2,3K
120519-PM,3.42,F,NA,NA,3K,2,4,4,3K
120519-PM,3.42,F,NA,NA,3K,2,1,1,3K
112519-K,3.64,F,1,1,5K,1,6,6,CP
112519-K,3.64,F,2,2,5K,1,3,3,CP
112519-K,3.64,F,3,3,5K,1,2,2,CP
112519-K,3.64,F,4,4,5K,1,4,4,CP
112519-K,3.64,F,5,5,5K,1,1,1,CP
112519-K,3.64,F,6,8,5K,1,1,1,CP
112519-K,3.64,F,5,5,5K,1,6,6,CP
112519-K,3.64,F,6,8,5K,1,4,4,CP
112519-K,3.64,F,,,5K,1,2,2,CP
112519-K,3.64,F,,,5K,1,3,3,CP
112519-K,3.64,F,,,5K,1,1,1,CP
112519-K,3.64,F,,,5K,1,3,3,CP
112519-K,3.64,F,,,5K,1,4,6,CP
112519-AF,3.75,F,1,1,CP,2,1,1,CP
112519-AF,3.75,F,2,2,CP,2,6,6,CP
112519-AF,3.75,F,3,3,CP,2,4,4,CP
112519-AF,3.75,F,4,4,CP,2,2,2,CP
112519-AF,3.75,F,5,5,CP,2,3,3,CP
112519-AF,3.75,F,6,6,CP,2,1,1,CP
112519-AF,3.75,F,NA,NA,CP,2,3,3,CP
112519-AF,3.75,F,NA,NA,CP,2,4,4,CP
112519-AF,3.75,F,NA,NA,CP,2,6,6,CP
112519-AF,3.75,F,NA,NA,CP,2,2,2,CP
112519-AF,3.75,F,NA,NA,CP,2,6,6,CP
112519-AF,3.75,F,NA,NA,CP,2,3,3,CP
112519-AF,3.75,F,NA,NA,CP,2,2,2,CP
112519-AF,3.75,F,NA,NA,CP,2,4,4,CP
112519-AF,3.75,F,NA,NA,CP,2,1,1,CP
120519-J,2.83,M,1,1,2K,1,6,5,2K
120519-J,2.83,M,2,2,2K,1,3,4,2K
120519-J,2.83,M,3,7,2K,1,2,2,2K
120519-J,2.83,M,2,2,2K,1,4,4,2K
120519-J,2.83,M,3,5,2K,1,1,1,2K
120519-J,2.83,M,2,2,2K,1,1,1,2K
120519-J,2.83,M,NA,NA,2K,1,6,6,2K
120519-J,2.83,M,NA,NA,2K,1,4,3,2K
120519-J,2.83,M,NA,NA,2K,1,2,2,2K
120519-J,2.83,M,NA,NA,2K,1,3,4,2K
120519-J,2.83,M,NA,NA,2K,1,1,1,2K
120519-J,2.83,M,NA,NA,2K,1,3,3,2K
120519-J,2.83,M,NA,NA,2K,1,4,4,2K
120519-J,2.83,M,NA,NA,2K,1,6,8,2K
120519-J,2.83,M,NA,NA,2K,1,2,2,2K
121319-M,2.49,F,1,1,1K,1,6,2,0K
121319-M,2.49,F,2,2,1K,1,3,3,0K
121319-M,2.49,F,3,2,1K,1,2,5,0K
121319-M,2.49,F,2,2,1K,1,4,2,0K
121319-M,2.49,F,3,2,1K,1,1,1,0K
121319-M,2.49,F,2,2,1K,1,1,1,0K
121319-M,2.49,F,1,1,1K,1,6,2,0K
121319-M,2.49,F,1,1,1K,1,4,2,0K
121319-M,2.49,F,NA,NA,1K,1,2,1,0K
121319-M,2.49,F,NA,NA,1K,1,3,1,0K
121319-M,2.49,F,NA,NA,1K,1,1,1,0K
121319-M,2.49,F,NA,NA,1K,1,3,2,0K
121319-M,2.49,F,NA,NA,1K,1,4,1,0K
121319-M,2.49,F,NA,NA,1K,1,6,2,0K
121319-M,2.49,F,NA,NA,1K,1,2,1,0K
121119-F,2.39,F,1,1,1K,2,1,1,1K
121119-F,2.39,F,2,3,1K,2,6,6,1K
121119-F,2.39,F,1,1,1K,2,4,4,1K
121119-F,2.39,F,2,10,1K,2,2,10,1K
121119-F,2.39,F,1,1,1K,2,3,4,1K
121119-F,2.39,F,NA,NA,1K,2,1,1,1K
121119-F,2.39,F,NA,NA,1K,2,3,2,1K
121119-F,2.39,F,NA,NA,1K,2,4,7,1K
121119-F,2.39,F,NA,NA,1K,2,6,8,1K
121119-F,2.39,F,NA,NA,1K,2,2,8,1K
121119-F,2.39,F,NA,NA,1K,2,6,8,1K
121119-F,2.39,F,NA,NA,1K,2,3,4,1K
121119-F,2.39,F,NA,NA,1K,2,2,8,1K
121119-F,2.39,F,NA,NA,1K,2,4,6,1K
121119-F,2.39,F,NA,NA,1K,2,1,2,1K
121319-J,3.36,M,1,1,5K,2,1,1,4K
121319-J,3.36,M,2,2,5K,2,6,10,4K
121319-J,3.36,M,3,3,5K,2,4,5,4K
121319-J,3.36,M,4,5,5K,2,2,2,4K
121319-J,3.36,M,3,3,5K,2,3,3,4K
121319-J,3.36,M,4,4,5K,2,1,1,4K
121319-J,3.36,M,5,5,5K,2,3,3,4K
121319-J,3.36,M,6,6,5K,2,4,4,4K
121319-J,3.36,M,5,5,5K,2,6,9,4K
121319-J,3.36,M,6,8,5K,2,2,2,4K
121319-J,3.36,M,5,5,5K,2,6,10,4K
121319-J,3.36,M,6,10,5K,2,3,3,4K
121319-J,3.36,M,NA,NA,5K,2,2,2,4K
121319-J,3.36,M,NA,NA,5K,2,4,4,4K
121319-J,3.36,M,NA,NA,5K,2,1,1,4K
121619-R,2.52,M,1,1,4K,1,6,5,2K
121619-R,2.52,M,2,2,4K,1,3,3,2K
