Experiment,Subject,Language,Age,Sex,Query,Response
SchneiderEtAl_2020,AM-24,English (India),4.88706366,M,7,7
SchneiderEtAl_2020,AM-24,English (India),4.88706366,M,5,5
SchneiderEtAl_2020,AM-25,English (India),5.73305955,F,6,6
SchneiderEtAl_2020,AM-25,English (India),5.73305955,F,9,9
SchneiderEtAl_2020,AM-25,English (India),5.73305955,F,7,7
SchneiderEtAl_2020,AM-25,English (India),5.73305955,F,5,5
SchneiderEtAl_2020,AM-26,English (India),5.34702259,M,6,2
SchneiderEtAl_2020,AM-26,English (India),5.34702259,M,9,NA
SchneiderEtAl_2020,AM-26,English (India),5.34702259,M,7,NA
SchneiderEtAl_2020,AM-26,English (India),5.34702259,M,5,2
SchneiderEtAl_2020,AM-27,English (India),6.16290212,F,6,6
SchneiderEtAl_2020,AM-27,English (India),6.16290212,F,9,9
SchneiderEtAl_2020,AM-27,English (India),6.16290212,F,7,7
SchneiderEtAl_2020,AM-27,English (India),6.16290212,F,5,5
SchneiderEtAl_2020,AM-29,English (India),4.76386037,NA,6,3
SchneiderEtAl_2020,AM-29,English (India),4.76386037,NA,9,NA
SchneiderEtAl_2020,AM-29,English (India),4.76386037,NA,7,NA
SchneiderEtAl_2020,AM-29,English (India),4.76386037,NA,5,4
SchneiderEtAl_2020,AM-3,English (India),4.56399726,F,6,10
SchneiderEtAl_2020,AM-3,English (India),4.56399726,F,9,NA
SchneiderEtAl_2020,AM-3,English (India),4.56399726,F,7,NA
SchneiderEtAl_2020,AM-3,English (India),4.56399726,F,5,10
SchneiderEtAl_2020,AM-30,English (India),5.11704312,M,6,6
SchneiderEtAl_2020,AM-30,English (India),5.11704312,M,9,9
SchneiderEtAl_2020,AM-30,English (India),5.11704312,M,7,7
SchneiderEtAl_2020,AM-30,English (India),5.11704312,M,5,5
SchneiderEtAl_2020,AM-31,English (India),6.17659138,M,6,6
SchneiderEtAl_2020,AM-31,English (India),6.17659138,M,9,9
SchneiderEtAl_2020,AM-31,English (India),6.17659138,M,7,7
SchneiderEtAl_2020,AM-31,English (India),6.17659138,M,5,5
SchneiderEtAl_2020,AM-32,English (India),6.10540726,M,6,6
SchneiderEtAl_2020,AM-32,English (India),6.10540726,M,9,9
SchneiderEtAl_2020,AM-32,English (India),6.10540726,M,7,7
SchneiderEtAl_2020,AM-32,English (India),6.10540726,M,5,5
SchneiderEtAl_2020,AM-33,English (India),6.09445585,F,6,6
SchneiderEtAl_2020,AM-33,English (India),6.09445585,F,9,9
SchneiderEtAl_2020,AM-33,English (India),6.09445585,F,7,7
SchneiderEtAl_2020,AM-33,English (India),6.09445585,F,5,5
SchneiderEtAl_2020,AM-34,English (India),6.04243669,M,6,6
SchneiderEtAl_2020,AM-34,English (India),6.04243669,M,9,9
SchneiderEtAl_2020,AM-34,English (India),6.04243669,M,7,7
SchneiderEtAl_2020,AM-34,English (India),6.04243669,M,5,5
SchneiderEtAl_2020,AM-35,English (India),5.46475017,M,6,6
SchneiderEtAl_2020,AM-35,English (India),5.46475017,M,9,9
SchneiderEtAl_2020,AM-35,English (India),5.46475017,M,7,7
SchneiderEtAl_2020,AM-35,English (India),5.46475017,M,5,5
SchneiderEtAl_2020,AM-36,English (India),5.12251882,F,6,6
SchneiderEtAl_2020,AM-36,English (India),5.12251882,F,9,9
SchneiderEtAl_2020,AM-36,English (India),5.12251882,F,7,7
SchneiderEtAl_2020,AM-36,English (India),5.12251882,F,5,5
SchneiderEtAl_2020,AM-38,English (India),6.08350445,F,6,6
SchneiderEtAl_2020,AM-38,English (India),6.08350445,F,9,9
SchneiderEtAl_2020,AM-38,English (India),6.08350445,F,7,7
SchneiderEtAl_2020,AM-38,English (India),6.08350445,F,5,5
SchneiderEtAl_2020,AM-39,English (India),5.78234086,M,6,6
SchneiderEtAl_2020,AM-39,English (India),5.78234086,M,9,9
SchneiderEtAl_2020,AM-39,English (India),5.78234086,M,7,7
SchneiderEtAl_2020,AM-39,English (India),5.78234086,M,5,5
SchneiderEtAl_2020,AM-4,English (India),4.15605749,F,6,4
SchneiderEtAl_2020,AM-4,English (India),4.15605749,F,9,7
SchneiderEtAl_2020,AM-4,English (India),4.15605749,F,7,NA
SchneiderEtAl_2020,AM-4,English (India),4.15605749,F,5,6
SchneiderEtAl_2020,AM-40,English (India),5.48391513,F,6,6
SchneiderEtAl_2020,AM-40,English (India),5.48391513,F,9,9
SchneiderEtAl_2020,AM-40,English (India),5.48391513,F,7,7
SchneiderEtAl_2020,AM-40,English (India),5.48391513,F,5,5
SchneiderEtAl_2020,AM-41,English (India),5.35523614,F,6,6
SchneiderEtAl_2020,AM-41,English (India),5.35523614,F,9,9
SchneiderEtAl_2020,AM-41,English (India),5.35523614,F,7,7
SchneiderEtAl_2020,AM-41,English (India),5.35523614,F,5,5
SchneiderEtAl_2020,AM-42,English (India),6.091718,M,6,6
SchneiderEtAl_2020,AM-42,English (India),6.091718,M,9,9
SchneiderEtAl_2020,AM-42,English (India),6.091718,M,7,7
SchneiderEtAl_2020,AM-42,English (India),6.091718,M,5,5
SchneiderEtAl_2020,AM-43,English (India),5.33880903,M,6,6
SchneiderEtAl_2020,AM-43,English (India),5.33880903,M,9,9
SchneiderEtAl_2020,AM-43,English (India),5.33880903,M,7,7
SchneiderEtAl_2020,AM-43,English (India),5.33880903,M,5,5
SchneiderEtAl_2020,AM-44,English (India),4.92539357,F,6,6
SchneiderEtAl_2020,AM-44,English (India),4.92539357,F,9,9
SchneiderEtAl_2020,AM-44,English (India),4.92539357,F,7,7
SchneiderEtAl_2020,AM-44,English (India),4.92539357,F,5,5
SchneiderEtAl_2020,AM-45,English (India),5.45653662,M,6,6
SchneiderEtAl_2020,AM-45,English (India),5.45653662,M,9,9
SchneiderEtAl_2020,AM-45,English (India),5.45653662,M,7,7
SchneiderEtAl_2020,AM-45,English (India),5.45653662,M,5,5
SchneiderEtAl_2020,AM-46,English (India),6.00684463,M,6,6
SchneiderEtAl_2020,AM-46,English (India),6.00684463,M,9,9
SchneiderEtAl_2020,AM-46,English (India),6.00684463,M,7,7
SchneiderEtAl_2020,AM-46,English (India),6.00684463,M,5,5
SchneiderEtAl_2020,AM-47,English (India),5.48117728,F,6,6
SchneiderEtAl_2020,AM-47,English (India),5.48117728,F,9,9
SchneiderEtAl_2020,AM-47,English (India),5.48117728,F,7,7
SchneiderEtAl_2020,AM-47,English (India),5.48117728,F,5,5
SchneiderEtAl_2020,AM-48,English (India),4.66255989,F,6,6
SchneiderEtAl_2020,AM-48,English (India),4.66255989,F,9,9
SchneiderEtAl_2020,AM-48,English (India),4.66255989,F,7,7
SchneiderEtAl_2020,AM-48,English (India),4.66255989,F,5,5
SchneiderEtAl_2020,AM-49,English (India),5.4017796,M,6,10
SchneiderEtAl_2020,AM-49,English (India),5.4017796,M,9,NA
SchneiderEtAl_2020,AM-49,English (India),5.4017796,M,7,NA
SchneiderEtAl_2020,AM-49,English (India),5.4017796,M,5,10
SchneiderEtAl_2020,AM-5,English (India),5.06228611,NA,6,6
SchneiderEtAl_2020,AM-5,English (India),5.06228611,NA,9,9
SchneiderEtAl_2020,AM-5,English (India),5.06228611,NA,7,7
SchneiderEtAl_2020,AM-5,English (India),5.06228611,NA,5,5
SchneiderEtAl_2020,AM-51,English (India),5.07049966,M,6,6
SchneiderEtAl_2020,AM-51,English (India),5.07049966,M,9,9
SchneiderEtAl_2020,AM-51,English (India),5.07049966,M,7,7
SchneiderEtAl_2020,AM-51,English (India),5.07049966,M,5,5
SchneiderEtAl_2020,AM-52,English (India),5.08145106,M,6,6
SchneiderEtAl_2020,AM-52,English (India),5.08145106,M,9,9
SchneiderEtAl_2020,AM-52,English (India),5.08145106,M,7,7
SchneiderEtAl_2020,AM-52,English (India),5.08145106,M,5,5
SchneiderEtAl_2020,AM-53,English (India),4.85420945,F,6,6
SchneiderEtAl_2020,AM-53,English (India),4.85420945,F,9,9
SchneiderEtAl_2020,AM-53,English (India),4.85420945,F,7,7
SchneiderEtAl_2020,AM-53,English (India),4.85420945,F,5,5
SchneiderEtAl_2020,AM-54,English (India),4.38877481,F,6,6
SchneiderEtAl_2020,AM-54,English (India),4.38877481,F,9,9
SchneiderEtAl_2020,AM-54,English (India),4.38877481,F,7,7
SchneiderEtAl_2020,AM-54,English (India),4.38877481,F,5,5
SchneiderEtAl_2020,AM-57,English (India),4.67351129,M,6,6
SchneiderEtAl_2020,AM-57,English (India),4.67351129,M,9,6
SchneiderEtAl_2020,AM-57,English (India),4.67351129,M,7,5
SchneiderEtAl_2020,AM-57,English (India),4.67351129,M,5,5
SchneiderEtAl_2020,AM-6,English (India),3.77275838,F,6,NA
SchneiderEtAl_2020,AM-6,English (India),3.77275838,F,9,NA
SchneiderEtAl_2020,AM-6,English (India),3.77275838,F,7,NA
SchneiderEtAl_2020,AM-6,English (India),3.77275838,F,5,NA
SchneiderEtAl_2020,AM-65,English (India),5.045859,F,6,6
SchneiderEtAl_2020,AM-65,English (India),5.045859,F,9,9
SchneiderEtAl_2020,AM-65,English (India),5.045859,F,7,7
SchneiderEtAl_2020,AM-65,English (India),5.045859,F,5,5
SchneiderEtAl_2020,AM-67,English (India),5.73853525,F,6,6
SchneiderEtAl_2020,AM-67,English (India),5.73853525,F,9,9
SchneiderEtAl_2020,AM-67,English (India),5.73853525,F,7,7
SchneiderEtAl_2020,AM-67,English (India),5.73853525,F,5,5
SchneiderEtAl_2020,AM-7,English (India),3.90417522,M,6,6
SchneiderEtAl_2020,AM-7,English (India),3.90417522,M,9,7
SchneiderEtAl_2020,AM-7,English (India),3.90417522,M,7,9
SchneiderEtAl_2020,AM-7,English (India),3.90417522,M,5,5
SchneiderEtAl_2020,AM-73,English (India),6.65297741,F,6,6
SchneiderEtAl_2020,AM-73,English (India),6.65297741,F,9,9
SchneiderEtAl_2020,AM-73,English (India),6.65297741,F,7,7
SchneiderEtAl_2020,AM-73,English (India),6.65297741,F,5,5
SchneiderEtAl_2020,AM-74,English (India),6.11088296,M,6,6
SchneiderEtAl_2020,AM-74,English (India),6.11088296,M,9,9
SchneiderEtAl_2020,AM-74,English (India),6.11088296,M,7,7
SchneiderEtAl_2020,AM-74,English (India),6.11088296,M,5,5
SchneiderEtAl_2020,AM-75,English (India),5.63175907,F,6,6
SchneiderEtAl_2020,AM-75,English (India),5.63175907,F,9,9
SchneiderEtAl_2020,AM-75,English (India),5.63175907,F,7,7
SchneiderEtAl_2020,AM-75,English (India),5.63175907,F,5,5
SchneiderEtAl_2020,AM-76,English (India),5.80150582,M,6,6
SchneiderEtAl_2020,AM-76,English (India),5.80150582,M,9,9
SchneiderEtAl_2020,AM-76,English (India),5.80150582,M,7,7
SchneiderEtAl_2020,AM-76,English (India),5.80150582,M,5,5
SchneiderEtAl_2020,AM-8,English (India),4.06570842,F,6,10
SchneiderEtAl_2020,AM-8,English (India),4.06570842,F,9,7
SchneiderEtAl_2020,AM-8,English (India),4.06570842,F,7,7
SchneiderEtAl_2020,AM-8,English (India),4.06570842,F,5,7
SchneiderEtAl_2020,CH-AP-3,Gujarati,5.84257358,F,6,6
SchneiderEtAl_2020,CH-AP-3,Gujarati,5.84257358,F,9,9
SchneiderEtAl_2020,CH-AP-3,Gujarati,5.84257358,F,7,7
SchneiderEtAl_2020,CH-AP-3,Gujarati,5.84257358,F,5,5
SchneiderEtAl_2020,CH-AR-15,Gujarati,5.54962355,F,6,6
SchneiderEtAl_2020,CH-AR-15,Gujarati,5.54962355,F,9,9
SchneiderEtAl_2020,CH-AR-15,Gujarati,5.54962355,F,7,7
SchneiderEtAl_2020,CH-AR-15,Gujarati,5.54962355,F,5,5
SchneiderEtAl_2020,CH-AS-67,Gujarati,4.93634497,F,6,10
SchneiderEtAl_2020,CH-AS-67,Gujarati,4.93634497,F,9,NA
SchneiderEtAl_2020,CH-AS-67,Gujarati,4.93634497,F,7,NA
SchneiderEtAl_2020,CH-AS-67,Gujarati,4.93634497,F,5,10
SchneiderEtAl_2020,CH-BG-27,Gujarati,5.57700205,F,6,3
SchneiderEtAl_2020,CH-BG-27,Gujarati,5.57700205,F,9,2
SchneiderEtAl_2020,CH-BG-27,Gujarati,5.57700205,F,7,2
SchneiderEtAl_2020,CH-BG-27,Gujarati,5.57700205,F,5,3
SchneiderEtAl_2020,CH-BP-5,Gujarati,5.26214921,F,6,6
SchneiderEtAl_2020,CH-BP-5,Gujarati,5.26214921,F,9,9
SchneiderEtAl_2020,CH-BP-5,Gujarati,5.26214921,F,7,7
SchneiderEtAl_2020,CH-BP-5,Gujarati,5.26214921,F,5,5
SchneiderEtAl_2020,CH-BS-35,Gujarati,5.80424367,M,6,6
SchneiderEtAl_2020,CH-BS-35,Gujarati,5.80424367,M,9,9
SchneiderEtAl_2020,CH-BS-35,Gujarati,5.80424367,M,7,7
SchneiderEtAl_2020,CH-BS-35,Gujarati,5.80424367,M,5,5
SchneiderEtAl_2020,CH-DB-44,Gujarati,5.79329227,M,6,6
SchneiderEtAl_2020,CH-DB-44,Gujarati,5.79329227,M,9,9
SchneiderEtAl_2020,CH-DB-44,Gujarati,5.79329227,M,7,7
SchneiderEtAl_2020,CH-DB-44,Gujarati,5.79329227,M,5,5
SchneiderEtAl_2020,CH-DM-19,Gujarati,5.62902122,F,6,6
SchneiderEtAl_2020,CH-DM-19,Gujarati,5.62902122,F,9,9
SchneiderEtAl_2020,CH-DM-19,Gujarati,5.62902122,F,7,7
SchneiderEtAl_2020,CH-DM-19,Gujarati,5.62902122,F,5,5
SchneiderEtAl_2020,CH-DP-25,Gujarati,5.57700205,M,6,10
SchneiderEtAl_2020,CH-DP-25,Gujarati,5.57700205,M,9,9
SchneiderEtAl_2020,CH-DP-25,Gujarati,5.57700205,M,7,7
SchneiderEtAl_2020,CH-DP-25,Gujarati,5.57700205,M,5,9
SchneiderEtAl_2020,CH-DP-45,Gujarati,5.87816564,M,6,6
SchneiderEtAl_2020,CH-DP-45,Gujarati,5.87816564,M,9,9
SchneiderEtAl_2020,CH-DP-45,Gujarati,5.87816564,M,7,7
SchneiderEtAl_2020,CH-DP-45,Gujarati,5.87816564,M,5,5
SchneiderEtAl_2020,CH-DR-57,Gujarati,5.20465435,F,6,6
SchneiderEtAl_2020,CH-DR-57,Gujarati,5.20465435,F,9,9
SchneiderEtAl_2020,CH-DR-57,Gujarati,5.20465435,F,7,7
SchneiderEtAl_2020,CH-DR-57,Gujarati,5.20465435,F,5,5
SchneiderEtAl_2020,CH-DS-48,Gujarati,6.15742642,NA,6,4
SchneiderEtAl_2020,CH-DS-48,Gujarati,6.15742642,NA,9,5
SchneiderEtAl_2020,CH-DS-48,Gujarati,6.15742642,NA,7,5
SchneiderEtAl_2020,CH-DS-48,Gujarati,6.15742642,NA,5,6
SchneiderEtAl_2020,CH-DV-11,Gujarati,6.22861054,NA,6,6
SchneiderEtAl_2020,CH-DV-11,Gujarati,6.22861054,NA,9,9
SchneiderEtAl_2020,CH-DV-11,Gujarati,6.22861054,NA,7,4
SchneiderEtAl_2020,CH-DV-11,Gujarati,6.22861054,NA,5,5
SchneiderEtAl_2020,CH-HC-43,Gujarati,5.33607118,M,6,6
SchneiderEtAl_2020,CH-HC-43,Gujarati,5.33607118,M,9,9
SchneiderEtAl_2020,CH-HC-43,Gujarati,5.33607118,M,7,7
SchneiderEtAl_2020,CH-HC-43,Gujarati,5.33607118,M,5,5
SchneiderEtAl_2020,CH-HJ-37,Gujarati,5.45653662,M,6,6
SchneiderEtAl_2020,CH-HJ-37,Gujarati,5.45653662,M,9,9
SchneiderEtAl_2020,CH-HJ-37,Gujarati,5.45653662,M,7,7
SchneiderEtAl_2020,CH-HJ-37,Gujarati,5.45653662,M,5,5
SchneiderEtAl_2020,CH-HR-12,Gujarati,5.9028063,F,6,6
SchneiderEtAl_2020,CH-HR-12,Gujarati,5.9028063,F,9,9
SchneiderEtAl_2020,CH-HR-12,Gujarati,5.9028063,F,7,7
SchneiderEtAl_2020,CH-HR-12,Gujarati,5.9028063,F,5,NA
SchneiderEtAl_2020,CH-JP-10,Gujarati,5.93839836,NA,6,6
SchneiderEtAl_2020,CH-JP-10,Gujarati,5.93839836,NA,9,9
SchneiderEtAl_2020,CH-JP-10,Gujarati,5.93839836,NA,7,7
SchneiderEtAl_2020,CH-JP-10,Gujarati,5.93839836,NA,5,5
SchneiderEtAl_2020,CH-KB-42,Gujarati,6.07255305,M,6,6
SchneiderEtAl_2020,CH-KB-42,Gujarati,6.07255305,M,9,5
SchneiderEtAl_2020,CH-KB-42,Gujarati,6.07255305,M,7,5
SchneiderEtAl_2020,CH-KB-42,Gujarati,6.07255305,M,5,8
SchneiderEtAl_2020,CH-KB-58,Gujarati,4.89801506,F,6,10
SchneiderEtAl_2020,CH-KB-58,Gujarati,4.89801506,F,9,NA
SchneiderEtAl_2020,CH-KB-58,Gujarati,4.89801506,F,7,NA
SchneiderEtAl_2020,CH-KB-58,Gujarati,4.89801506,F,5,10
SchneiderEtAl_2020,CH-KC-17,Gujarati,5.46201232,F,6,6
SchneiderEtAl_2020,CH-KC-17,Gujarati,5.46201232,F,9,2
SchneiderEtAl_2020,CH-KC-17,Gujarati,5.46201232,F,7,7
SchneiderEtAl_2020,CH-KC-17,Gujarati,5.46201232,F,5,5
SchneiderEtAl_2020,CH-KP-65,Gujarati,4.95277207,F,6,10
SchneiderEtAl_2020,CH-KP-65,Gujarati,4.95277207,F,9,NA
SchneiderEtAl_2020,CH-KP-65,Gujarati,4.95277207,F,7,NA
SchneiderEtAl_2020,CH-KP-65,Gujarati,4.95277207,F,5,7
SchneiderEtAl_2020,CH-KT-38,Gujarati,5.27310062,M,6,NA
SchneiderEtAl_2020,CH-KT-38,Gujarati,5.27310062,M,9,NA
SchneiderEtAl_2020,CH-KT-38,Gujarati,5.27310062,M,7,NA
SchneiderEtAl_2020,CH-KT-38,Gujarati,5.27310062,M,5,NA
SchneiderEtAl_2020,CH-KU-13,Gujarati,5.45927447,F,6,6
SchneiderEtAl_2020,CH-KU-13,Gujarati,5.45927447,F,9,9
SchneiderEtAl_2020,CH-KU-13,Gujarati,5.45927447,F,7,7
SchneiderEtAl_2020,CH-KU-13,Gujarati,5.45927447,F,5,NA
SchneiderEtAl_2020,CH-KV-4,Gujarati,5.52772074,NA,6,10
SchneiderEtAl_2020,CH-KV-4,Gujarati,5.52772074,NA,9,NA
SchneiderEtAl_2020,CH-KV-4,Gujarati,5.52772074,NA,7,NA
SchneiderEtAl_2020,CH-KV-4,Gujarati,5.52772074,NA,5,8
SchneiderEtAl_2020,CH-KV-8,Gujarati,6.28062971,F,6,6
SchneiderEtAl_2020,CH-KV-8,Gujarati,6.28062971,F,9,9
SchneiderEtAl_2020,CH-KV-8,Gujarati,6.28062971,F,7,7
SchneiderEtAl_2020,CH-KV-8,Gujarati,6.28062971,F,5,5
SchneiderEtAl_2020,CH-MJ-6,Gujarati,6.10814511,F,6,6
SchneiderEtAl_2020,CH-MJ-6,Gujarati,6.10814511,F,9,9
SchneiderEtAl_2020,CH-MJ-6,Gujarati,6.10814511,F,7,7
SchneiderEtAl_2020,CH-MJ-6,Gujarati,6.10814511,F,5,5
SchneiderEtAl_2020,CH-MV-14,Gujarati,5.62628337,NA,6,6
SchneiderEtAl_2020,CH-MV-14,Gujarati,5.62628337,NA,9,9
SchneiderEtAl_2020,CH-MV-14,Gujarati,5.62628337,NA,7,7
SchneiderEtAl_2020,CH-MV-14,Gujarati,5.62628337,NA,5,5
SchneiderEtAl_2020,CH-NC-9,Gujarati,5.27583847,NA,6,6
SchneiderEtAl_2020,CH-NC-9,Gujarati,5.27583847,NA,9,9
SchneiderEtAl_2020,CH-NC-9,Gujarati,5.27583847,NA,7,7
SchneiderEtAl_2020,CH-NC-9,Gujarati,5.27583847,NA,5,5
SchneiderEtAl_2020,CH-NJ-20,Gujarati,5.72758385,F,6,10
SchneiderEtAl_2020,CH-NJ-20,Gujarati,5.72758385,F,9,9
SchneiderEtAl_2020,CH-NJ-20,Gujarati,5.72758385,F,7,7
SchneiderEtAl_2020,CH-NJ-20,Gujarati,5.72758385,F,5,5
SchneiderEtAl_2020,CH-NM-16,Gujarati,5.98767967,F,6,6
SchneiderEtAl_2020,CH-NM-16,Gujarati,5.98767967,F,9,9
SchneiderEtAl_2020,CH-NM-16,Gujarati,5.98767967,F,7,7
SchneiderEtAl_2020,CH-NM-16,Gujarati,5.98767967,F,5,5
SchneiderEtAl_2020,CH-NP-68,Gujarati,5.19644079,M,6,6
SchneiderEtAl_2020,CH-NP-68,Gujarati,5.19644079,M,9,9
SchneiderEtAl_2020,CH-NP-68,Gujarati,5.19644079,M,7,10
SchneiderEtAl_2020,CH-NP-68,Gujarati,5.19644079,M,5,5
SchneiderEtAl_2020,CH-PS-22,Gujarati,5.81519507,F,6,6
SchneiderEtAl_2020,CH-PS-22,Gujarati,5.81519507,F,9,9
SchneiderEtAl_2020,CH-PS-22,Gujarati,5.81519507,F,7,7
SchneiderEtAl_2020,CH-PS-22,Gujarati,5.81519507,F,5,5
SchneiderEtAl_2020,CH-PS-23,Gujarati,5.81519507,M,6,6
SchneiderEtAl_2020,CH-PS-23,Gujarati,5.81519507,M,9,6
SchneiderEtAl_2020,CH-PS-23,Gujarati,5.81519507,M,7,6
SchneiderEtAl_2020,CH-PS-23,Gujarati,5.81519507,M,5,4
SchneiderEtAl_2020,CH-PS-41,Gujarati,5.67008898,M,6,5
SchneiderEtAl_2020,CH-PS-41,Gujarati,5.67008898,M,9,9
SchneiderEtAl_2020,CH-PS-41,Gujarati,5.67008898,M,7,6
SchneiderEtAl_2020,CH-PS-41,Gujarati,5.67008898,M,5,5
SchneiderEtAl_2020,CH-PV-36,Gujarati,5.29500342,M,6,6
SchneiderEtAl_2020,CH-PV-36,Gujarati,5.29500342,M,9,9
SchneiderEtAl_2020,CH-PV-36,Gujarati,5.29500342,M,7,8
SchneiderEtAl_2020,CH-PV-36,Gujarati,5.29500342,M,5,5
SchneiderEtAl_2020,CH-PY-18,Gujarati,6.03696099,F,6,6
SchneiderEtAl_2020,CH-PY-18,Gujarati,6.03696099,F,9,9
SchneiderEtAl_2020,CH-PY-18,Gujarati,6.03696099,F,7,7
SchneiderEtAl_2020,CH-PY-18,Gujarati,6.03696099,F,5,5
SchneiderEtAl_2020,CH-RD-53,Gujarati,5.24845996,M,6,6
SchneiderEtAl_2020,CH-RD-53,Gujarati,5.24845996,M,9,9
SchneiderEtAl_2020,CH-RD-53,Gujarati,5.24845996,M,7,7
SchneiderEtAl_2020,CH-RD-53,Gujarati,5.24845996,M,5,5
SchneiderEtAl_2020,CH-RH-31,Gujarati,6.51608487,F,6,10
SchneiderEtAl_2020,CH-RH-31,Gujarati,6.51608487,F,9,10
SchneiderEtAl_2020,CH-RH-31,Gujarati,6.51608487,F,7,8
SchneiderEtAl_2020,CH-RH-31,Gujarati,6.51608487,F,5,9
SchneiderEtAl_2020,CH-RM-7,Gujarati,5.93292266,F,6,6
SchneiderEtAl_2020,CH-RM-7,Gujarati,5.93292266,F,9,9
SchneiderEtAl_2020,CH-RM-7,Gujarati,5.93292266,F,7,7
SchneiderEtAl_2020,CH-RM-7,Gujarati,5.93292266,F,5,5
SchneiderEtAl_2020,CH-RP-39,Gujarati,6.13826146,M,6,6
SchneiderEtAl_2020,CH-RP-39,Gujarati,6.13826146,M,9,9
SchneiderEtAl_2020,CH-RP-39,Gujarati,6.13826146,M,7,7
SchneiderEtAl_2020,CH-RP-39,Gujarati,6.13826146,M,5,5
SchneiderEtAl_2020,CH-RS-52,Gujarati,5.81793292,F,6,6
SchneiderEtAl_2020,CH-RS-52,Gujarati,5.81793292,F,9,9
SchneiderEtAl_2020,CH-RS-52,Gujarati,5.81793292,F,7,7
