Experiment,Subject,Language,Age,Sex,Query,Response
SchneiderEtAl_2020,AM-10,English (India),3.81382615,M,6,4
SchneiderEtAl_2020,AM-10,English (India),3.81382615,M,9,7
SchneiderEtAl_2020,AM-10,English (India),3.81382615,M,7,4
SchneiderEtAl_2020,AM-10,English (India),3.81382615,M,5,5
SchneiderEtAl_2020,AM-11,English (India),3.60027379,M,6,1
SchneiderEtAl_2020,AM-11,English (India),3.60027379,M,9,NA
SchneiderEtAl_2020,AM-11,English (India),3.60027379,M,7,1
SchneiderEtAl_2020,AM-11,English (India),3.60027379,M,5,1
SchneiderEtAl_2020,AM-12,English (India),4.72826831,M,6,6
SchneiderEtAl_2020,AM-12,English (India),4.72826831,M,9,9
SchneiderEtAl_2020,AM-12,English (India),4.72826831,M,7,7
SchneiderEtAl_2020,AM-12,English (India),4.72826831,M,5,5
SchneiderEtAl_2020,AM-13,English (India),4.75290897,M,6,10
SchneiderEtAl_2020,AM-13,English (India),4.75290897,M,9,9
SchneiderEtAl_2020,AM-13,English (India),4.75290897,M,7,9
SchneiderEtAl_2020,AM-13,English (India),4.75290897,M,5,9
SchneiderEtAl_2020,AM-13-RS,English (India),3.90965092,M,6,7
SchneiderEtAl_2020,AM-13-RS,English (India),3.90965092,M,9,NA
SchneiderEtAl_2020,AM-13-RS,English (India),3.90965092,M,7,NA
SchneiderEtAl_2020,AM-13-RS,English (India),3.90965092,M,5,4
SchneiderEtAl_2020,AM-14,English (India),4.64613279,M,6,6
SchneiderEtAl_2020,AM-14,English (India),4.64613279,M,9,10
SchneiderEtAl_2020,AM-14,English (India),4.64613279,M,7,10
SchneiderEtAl_2020,AM-14,English (India),4.64613279,M,5,5
SchneiderEtAl_2020,AM-15,English (India),4.13963039,M,6,6
SchneiderEtAl_2020,AM-15,English (India),4.13963039,M,9,9
SchneiderEtAl_2020,AM-15,English (India),4.13963039,M,7,7
SchneiderEtAl_2020,AM-15,English (India),4.13963039,M,5,5
SchneiderEtAl_2020,AM-16,English (India),5.76317591,M,6,6
SchneiderEtAl_2020,AM-16,English (India),5.76317591,M,9,9
SchneiderEtAl_2020,AM-16,English (India),5.76317591,M,7,7
SchneiderEtAl_2020,AM-16,English (India),5.76317591,M,5,5
SchneiderEtAl_2020,AM-17,English (India),4.58590007,F,6,6
SchneiderEtAl_2020,AM-17,English (India),4.58590007,F,9,9
SchneiderEtAl_2020,AM-17,English (India),4.58590007,F,7,7
SchneiderEtAl_2020,AM-17,English (India),4.58590007,F,5,5
SchneiderEtAl_2020,AM-18,English (India),4.38056126,F,6,6
SchneiderEtAl_2020,AM-18,English (India),4.38056126,F,9,9
SchneiderEtAl_2020,AM-18,English (India),4.38056126,F,7,7
SchneiderEtAl_2020,AM-18,English (India),4.38056126,F,5,5
SchneiderEtAl_2020,AM-2,English (India),4.37782341,F,6,6
SchneiderEtAl_2020,AM-2,English (India),4.37782341,F,9,9
SchneiderEtAl_2020,AM-2,English (India),4.37782341,F,7,7
SchneiderEtAl_2020,AM-2,English (India),4.37782341,F,5,5
SchneiderEtAl_2020,AM-21,English (India),5.82067077,F,6,6
SchneiderEtAl_2020,AM-21,English (India),5.82067077,F,9,9
SchneiderEtAl_2020,AM-21,English (India),5.82067077,F,7,7
SchneiderEtAl_2020,AM-21,English (India),5.82067077,F,5,5
SchneiderEtAl_2020,AM-22,English (India),5.98220397,F,6,6
SchneiderEtAl_2020,AM-22,English (India),5.98220397,F,9,9
SchneiderEtAl_2020,AM-22,English (India),5.98220397,F,7,7
SchneiderEtAl_2020,AM-22,English (India),5.98220397,F,5,5
SchneiderEtAl_2020,AM-23,English (India),5.37166324,M,6,6
SchneiderEtAl_2020,AM-23,English (India),5.37166324,M,9,9
SchneiderEtAl_2020,AM-23,English (India),5.37166324,M,7,7
SchneiderEtAl_2020,AM-23,English (India),5.37166324,M,5,5
SchneiderEtAl_2020,AM-24,English (India),4.88706366,M,6,6
SchneiderEtAl_2020,AM-24,English (India),4.88706366,M,9,9
