Experiment,Language,Subject,KL,Age,method,cite
Almoammer2013,English,110612-DR,0,26.18421053,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-CM,1,32.56578947,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-JB,0,28.98026316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-ML,1,32.73026316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,111412-KP,0,32.03947368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-CJ,2,33.55263158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-DF,0,28.19078947,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-SB,1,31.44736842,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112712-IM,0,28.09210526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100210-C1,2,37.63157895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100212-AR,5,46.18421053,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-LM,5,47.82894737,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-PH,3,45.85526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-RW,2,45.55921053,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100512-JC,2,47.00657895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100912-AB,5,38.15789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-AW,5,44.50657895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-GS,2,44.40789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-LO,0,46.34868421,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-SK,0,37.79605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-AA,2,42.79605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-AC,5,44.67105263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-CW,5,47.89473684,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101212-HS,2,38.58552632,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101812-BB,1,39.17763158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102512-JG,5,43.15789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102512-MH,4,42.92763158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110612-BP,5,40.65789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-CN,4,39.01315789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110712-MS,3,36.90789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110812-PF,5,40.36184211,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110812-SM,5,42.10526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110912-AC,5,46.84210526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110912-OV,5,47.17105263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,111512-JS,3,46.25,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-KJ,4,45.29605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-YM,5,47.63157895,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112712-DA,5,41.74342105,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,120312-GB,0,32.13815789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100212-LM,0,49.53947368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-CA,5,56.67763158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-EL,5,54.63815789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-GS,5,50.69078947,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-HG,5,53.84868421,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-MK,5,59.40789474,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-OF,2,49.67105263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100312-QH,5,50.29605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,100812-WA,5,51.11842105,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-AC,5,59.04605263,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-AD,5,55.85526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101012-NS,5,52.10526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-B,5,49.80263158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-GA,5,56.875,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-KW,5,54.63815789,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101112-XD,5,54.80263158,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101212-RB,5,57.10526316,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101612-SD,5,54.90131579,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,101612-TK,2,51.21710526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102612-LD,5,50.16447368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,102612-MN,5,48.91447368,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,110512-JF,5,50.59210526,non-titrated,AlmoammerEtAl_2013
Almoammer2013,English,112612-JG,5,49.14473684,non-titrated,AlmoammerEtAl_2013
