"","Subject","Age","Sex","Language","KL","Experiment","lab","cite","method"
"1","081018-AS",54,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"2","081018-LV",45,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"3","081018-IL",38,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"4","081018-RG",50,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"5","081018-ME",37,"F","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"6","081018-MA",53,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"7","081018-KP",38,"M","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"8","080818-NP",44,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"9","080818-KB",55,"M","Français","CP","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"10","080818-SI",41,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"11","080918-JT",34,"M","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"12","080818-AH",41,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"13","080918-ET",36,"M","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"14","080918-HP",32,"M","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"15","080918-SN",28,"F","Français","0","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"16","081018-LN",42,"F","Français","3","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"17","080618-LG",27,"F","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"18","080618-MV",34,"M","Français","1","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
"19","080618-IM",34,"F","Français","2","Marchand2019","Barner","Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society.","titrated"
