Subject,Age,Sex,Language,Knower_level,cite,method,Experiment,lab
one-one_4,49.215605748,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_7,47.047227924,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_8,42.97330596,F,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_9,51.055441476,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_10,46.193018484,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_11,42.940451748,F,English,5,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_12,39.063655032,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_13,60.583162212000005,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_14,47.835728952,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_15,48.164271048,F,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_16,52.33675564800001,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_17,55.063655028,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_18,43.663244352,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_19,39.85215606,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_20,53.02669404,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_21,43.531827516,M,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_22,44.583162216,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_26,54.373716636,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_27,49.741273104,M,English/Portugese,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_28,56.049281316,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_30,55.52361396,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_31,59.334702264,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_32,39.063655032,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_33,59.104722792000004,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_34,40.27926078,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_35,43.498973304,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_36,45.601642716,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_37,47.408624232,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_38,48.85420944,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_39,48.887063651999995,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_40,49.24845996,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_41,59.564681724,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_42,60.813141684,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_43,53.16,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_44,52.07392197600001,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_45,50.825462015999996,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_46,44.386036956,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_49,47.014373712,M,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_50,36.895277208,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_51,54.899383979999996,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_52,41.889117048,M,English/Spanish,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_54,42.119096508,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_55,44.68172484,M,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_56,44.747433264,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_57,53.585215608,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_58,53.289527724,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_59,57.987679668,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_60,56.936344968,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
