Subject,Age,Sex,Language,Knower_level,cite,method,Experiment,lab
one-one_61,52.73100615600001,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_62,42.15195072,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_63,47.901437376000004,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_64,57.65913757199999,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_65,57.65913757199999,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_66,47.835728952,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_68,49.87268994,F,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_69,44.090349072,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_70,43.926078024,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_71,53.02669404,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_72,39.950718684,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_73,55.162217663999996,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_74,39.950718684,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_75,50.59548254399999,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_77,47.441478444,F,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_78,46.55441478,M,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_79,46.685831628,M,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_80,37.420944564,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_81,42.250513344,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_82,38.537987676,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_83,46.55441478,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_84,59.104722792000004,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_85,46.587268992000006,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_87,41.921971248,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_88,44.156057496,F,English,5,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_89,50.069815199999994,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_90,44.977412736,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_91,43.367556468000004,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_92,36.271047228,F,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_93,58.217659139999995,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_94,59.367556464,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_96,59.334702264,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_97,38.735112936,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_98,50.004106776,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_99,43.696098564,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_100,41.232032856000004,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_104,49.281314171999995,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_105,42.907597536000004,M,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_106,46.685831628,M,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_107,55.52361396,M,English,5,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_108,53.158110888,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_109,49.741273104,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_110,41.462012316,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_111,50.299794659999996,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_112,38.833675559999996,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_113,52.566735108,M,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_114,40.607802876,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_115,56.73921970799999,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_116,50.694045179999996,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_117,44.02464066,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_118,54.045174540000005,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_119,44.68172484,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_120,42.7761807,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_121,43.761806976,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_122,38.045174532,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_123,42.743326487999994,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_124,40.772073924,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_125,37.5523614,M,English,0,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_126,42.97330596,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_127,44.616016428,M,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_129,43.466119092,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_130,54.209445588,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_131,40.410677616,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_132,44.418891168,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_133,51.285420947999995,F,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_134,46.55441478,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_136,38.636550312,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_137,50.036960988,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_138,46.455852156000006,M,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_139,60.648870636,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_140,46.620123204,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_141,42.940451748,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_142,37.913757696,F,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_143,41.462012316,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_144,46.75154004,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_145,52.041067764000005,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_146,42.480492815999995,F,English,2,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_147,39.063655032,F,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_148,42.250513344,M,English,4,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_149,48.919917864,M,English,3,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_150,41.724846,F,English,0,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_151,52.271047224,F,English,5,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_153,46.225872684,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_154,40.246406568,F,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_155,40.147843944,M,English,0,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_157,41.954825459999995,M,English,1,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_159,38.472279264,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_160,36.106776180000004,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_162,51.909650928000005,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_164,52.960985628,F,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_165,47.375770020000004,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
one-one_166,44.353182756,M,English,CP,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality. ",titrated,Schneider_Barner_UnderReview,Barner
