Subject ID,Age,Gender,order,pretest_stickers_shared,pretest_child_counted_stickers,pre_test_who_got_more,give_n_score,condition,correct_test_trials,counted_test_trials,post_test_4_stickers_shared,post_test_4_who_got_more,post_test_8_stickers_shared,post_test_8_who_got_more,words_span_highest_number,words_span_correct_trials,stroop_score
1,5.594284736,Female,1,3,0,,6,Counting,3,0,1,self,4,self,4,6,16
2,4.237850787,Female,2,1,0,,6,Counting,,3,0,self,1,self,3,4,15
3,3.291067762,Male,3,4,0,same,6,Counting,3,2,2,same,4,other,3,4,11
4,3.933093771,Male,4,3,0,same,4,Counting,3,0,2,same,4,same,3,4,9
5,3.065708419,Female,5,6,0,same,3,Control ,1,0,3,same,3,same,,,15
7,3.079397673,Female,7,1,0,same,6,Control,3,0,2,other,1,same,3,4,0
8,4.382614648,Male,8,3,0,same,6,Control,3,0,2,other,4,same,3,5,15
9,4.116187543,Female,9,5,0,other,3,Counting,2,0,1,self,4,same,3,4,8
10,4.78559206,Female,10,3,0,same,6,Counting,3,1,2,same,4,same,5,8,16
11,4.860711841,Female,11,6,0,other,6,Counting,3,0,4,other,8,other,4,5,3
12,4.8908282,Female,12,1,0,same,6,Counting,3,3,3,other,6,other,4,5,16
13,4.916666667,Male,13,3,0,same,5,Control,3,0,2,same,4,same,3,4,3
14,4.646303901,Male,14,3,0,same,6,Control,2,0,2,same,3,self,2,2,0
15,4.416666667,Female,15,4,0,other,6,Control,3,0,2,same,4,same,4,5,16
16,4.157255305,Male,16,3,0,same,6,Control,3,1,2,same,4,same,3,4,16
17,3.252737851,Male,1,4,0,same,4,Counting,2,0,3,same,4,same,3,4,7
18,5.260951403,Female,2,3,0,same,6,Counting,2,0,2,same,4,same,5,6,16
19,4.707734428,Female,3,0,0,self,5,Counting,2,1,2,same,3,same,4,5,1
20,5.143566051,Female,4,2,0,self,6,Counting,3,2,1,self,4,same,3,4,0
21,3.683093771,Male,5,3,0,,6,Control,2,0,2,other,4,other,,,
22,3.680355921,Male,6,3,0,same,3,Control,1,0,2,same,3,same,2,2,0
