Subject ID,Condition,Age,Gender,Trial,RealResponse,RT,Little_Lot,Four_Point_Scale,GiveNCorrectTrials,HighestNumberCorrect,GiveN_TotalCounting
35,partial_counting,5.050182482,F,Baseline,Poorer,733,1,4,5,10,3
35,partial_counting,5.050182482,F,Conflict,Richer,666,1,1,5,10,3
35,partial_counting,5.050182482,F,ProportionallyEqual,Richer,1016,NA,NA,5,10,3
36,full_counting,4.869525547,F,AbsolutelyEqual,Richer,1500,0,2,5,10,0
36,full_counting,4.869525547,F,Baseline,Poorer,6350,1,4,5,10,0
36,full_counting,4.869525547,F,ProportionallyEqual,Richer,1050,1,1,5,10,0
36,full_counting,4.869525547,F,Conflict,Richer,1200,1,1,5,10,0
37,no_counting,5.431364881,M,Baseline,Richer,1933,1,1,3,6,0
37,no_counting,5.431364881,M,ProportionallyEqual,Richer,1233,1,1,3,6,0
37,no_counting,5.431364881,M,AbsolutelyEqual,Richer,1033,1,1,3,6,0
37,no_counting,5.431364881,M,Conflict,Richer,1650,1,1,3,6,0
38,partial_counting,5.138443488,F,ProportionallyEqual,Poorer,1283,1,4,4,10,3
38,partial_counting,5.138443488,F,AbsolutelyEqual,Poorer,1283,1,4,4,10,3
38,partial_counting,5.138443488,F,Conflict,Poorer,1683,1,4,4,10,3
38,partial_counting,5.138443488,F,Baseline,Poorer,2116,NA,NA,4,10,3
39,full_counting,5.223308565,F,Baseline,Poorer,3383,1,4,3,6,3
39,full_counting,5.223308565,F,AbsolutelyEqual,Poorer,2416,1,4,3,6,3
39,full_counting,5.223308565,F,ProportionallyEqual,Richer,2283,1,1,3,6,3
39,full_counting,5.223308565,F,Conflict,Richer,2866,1,1,3,6,3
40,no_counting,5.431364881,M,Baseline,Poorer,1733,NA,NA,5,10,NA
40,no_counting,5.431364881,M,Conflict,Poorer,1233,NA,NA,5,10,NA
40,no_counting,5.431364881,M,ProportionallyEqual,Richer,5550,NA,NA,5,10,NA
40,no_counting,5.431364881,M,AbsolutelyEqual,Richer,3616,NA,NA,5,10,NA
41,partial_counting,5.074817518,F,Baseline,Poorer,466,1,4,5,10,4
41,partial_counting,5.074817518,F,ProportionallyEqual,Richer,933,1,1,5,10,4
41,partial_counting,5.074817518,F,AbsolutelyEqual,Richer,5950,1,1,5,10,4
41,partial_counting,5.074817518,F,Conflict,Richer,1350,1,1,5,10,4
42,full_counting,5.017335766,M,Baseline,Poorer,NA,1,4,4,10,3
42,full_counting,5.017335766,M,ProportionallyEqual,Richer,283,1,1,4,10,3
42,full_counting,5.017335766,M,AbsolutelyEqual,Richer,8750,1,1,4,10,3
42,full_counting,5.017335766,M,Conflict,Richer,1350,1,1,4,10,3
43,no_counting,5.055656934,M,Baseline,Poorer,2800,1,4,3,6,0
43,no_counting,5.055656934,M,AbsolutelyEqual,Poorer,2750,1,4,3,6,0
43,no_counting,5.055656934,M,ProportionallyEqual,Richer,866,1,1,3,6,0
43,no_counting,5.055656934,M,Conflict,Richer,1066,1,1,3,6,0
44,partial_counting,3.765060241,F,AbsolutelyEqual,Poorer,2533,0,3,3,6,2
44,partial_counting,3.765060241,F,Conflict,Poorer,2150,0,3,3,6,2
44,partial_counting,3.765060241,F,ProportionallyEqual,Poorer,2016,1,4,3,6,2
44,partial_counting,3.765060241,F,Baseline,Richer,3883,1,1,3,6,2
45,full_counting,4.283759124,M,ProportionallyEqual,Poorer,1516,1,4,5,10,3
45,full_counting,4.283759124,M,AbsolutelyEqual,Poorer,2166,1,4,5,10,3
45,full_counting,4.283759124,M,Conflict,Poorer,2116,1,4,5,10,3
45,full_counting,4.283759124,M,Baseline,Richer,12783,1,1,5,10,3
46,no_counting,3.874589266,M,Baseline,Poorer,1650,0,3,3,6,3
46,no_counting,3.874589266,M,AbsolutelyEqual,Poorer,4766,0,3,3,6,3
46,no_counting,3.874589266,M,ProportionallyEqual,Richer,2750,1,1,3,6,3
46,no_counting,3.874589266,M,Conflict,Richer,1383,1,1,3,6,3
47,partial_counting,3.992332968,M,Baseline,Poorer,7200,NA,NA,3,6,0
47,partial_counting,3.992332968,M,ProportionallyEqual,Poorer,5966,NA,NA,3,6,0
47,partial_counting,3.992332968,M,AbsolutelyEqual,Poorer,550,NA,NA,3,6,0
47,partial_counting,3.992332968,M,Conflict,Poorer,7250,NA,NA,3,6,0
48,full_counting,5.124087591,M,Baseline,Richer,10483,0,2,5,10,0
48,full_counting,5.124087591,M,ProportionallyEqual,Richer,866,0,2,5,10,0
48,full_counting,5.124087591,M,Conflict,Richer,1100,0,2,5,10,0
48,full_counting,5.124087591,M,AbsolutelyEqual,Poorer,1250,1,4,5,10,0
49,no_counting,4.781934307,M,Baseline,Poorer,NA,0,3,4,10,1
49,no_counting,4.781934307,M,Conflict,Poorer,3233,0,3,4,10,1
49,no_counting,4.781934307,M,AbsolutelyEqual,Poorer,1500,1,4,4,10,1
49,no_counting,4.781934307,M,ProportionallyEqual,Richer,583,1,1,4,10,1
50,partial_counting,4.12924425,F,ProportionallyEqual,Poorer,1683,0,3,5,10,2
50,partial_counting,4.12924425,F,AbsolutelyEqual,Richer,4083,1,1,5,10,2
50,partial_counting,4.12924425,F,Conflict,Poorer,3383,NA,NA,5,10,2
50,partial_counting,4.12924425,F,Baseline,Richer,5300,NA,NA,5,10,2
51,full_counting,5.077554745,M,AbsolutelyEqual,Poorer,1183,1,4,5,10,3
51,full_counting,5.077554745,M,Conflict,Poorer,1200,1,4,5,10,3
51,full_counting,5.077554745,M,Baseline,Richer,1683,1,1,5,10,3
51,full_counting,5.077554745,M,ProportionallyEqual,Richer,933,1,1,5,10,3
52,no_counting,6.052796246,M,Baseline,Poorer,3233,0,3,5,10,3
52,no_counting,6.052796246,M,Conflict,Richer,1633,0,2,5,10,3
52,no_counting,6.052796246,M,AbsolutelyEqual,Poorer,8716,1,4,5,10,3
52,no_counting,6.052796246,M,ProportionallyEqual,Richer,516,1,1,5,10,3
53,partial_counting,4.650547445,F,ProportionallyEqual,Poorer,616,1,4,5,10,3
53,partial_counting,4.650547445,F,Conflict,Poorer,1550,1,4,5,10,3
53,partial_counting,4.650547445,F,Baseline,Richer,10433,1,1,5,10,3
53,partial_counting,4.650547445,F,AbsolutelyEqual,Richer,1433,1,1,5,10,3
54,no_counting,5.409464216,F,Baseline,Poorer,5150,1,4,5,10,4
54,no_counting,5.409464216,F,AbsolutelyEqual,Poorer,9666,1,4,5,10,4
54,no_counting,5.409464216,F,ProportionallyEqual,Richer,1266,1,1,5,10,4
54,no_counting,5.409464216,F,Conflict,Richer,1516,1,1,5,10,4
55,no_counting,4.250912409,F,AbsolutelyEqual,Poorer,5300,1,4,2,3,0
55,no_counting,4.250912409,F,Conflict,Poorer,4900,1,4,2,3,0
55,no_counting,4.250912409,F,Baseline,Richer,6983,1,1,2,3,0
55,no_counting,4.250912409,F,ProportionallyEqual,Richer,4066,1,1,2,3,0
56,partial_counting,4.423357664,M,Baseline,Poorer,4450,1,4,3,10,2
56,partial_counting,4.423357664,M,ProportionallyEqual,Richer,1116,1,1,3,10,2
56,partial_counting,4.423357664,M,AbsolutelyEqual,Richer,1066,1,1,3,10,2
56,partial_counting,4.423357664,M,Conflict,Richer,1833,1,1,3,10,2
57,full_counting,4.115553122,F,ProportionallyEqual,Poorer,1266,0,3,5,10,3
57,full_counting,4.115553122,F,Conflict,Poorer,1250,0,3,5,10,3
57,full_counting,4.115553122,F,Baseline,Richer,1800,0,2,5,10,3
57,full_counting,4.115553122,F,AbsolutelyEqual,Poorer,1250,NA,NA,5,10,3
58,no_counting,5.033759124,M,ProportionallyEqual,Richer,883,0,2,5,10,3
58,no_counting,5.033759124,M,Conflict,Richer,1566,0,2,5,10,3
58,no_counting,5.033759124,M,Baseline,Poorer,1616,1,4,5,10,3
58,no_counting,5.033759124,M,AbsolutelyEqual,Poorer,183,1,4,5,10,3
59,partial_counting,4.259124088,F,Baseline,Poorer,816,1,4,3,8,0
59,partial_counting,4.259124088,F,ProportionallyEqual,Richer,1466,1,1,3,8,0
59,partial_counting,4.259124088,F,AbsolutelyEqual,Richer,1100,1,1,3,8,0
59,partial_counting,4.259124088,F,Conflict,Richer,1400,1,1,3,8,0
60,full_counting,4.341240876,F,ProportionallyEqual,Poorer,1300,0,3,5,10,3
60,full_counting,4.341240876,F,Conflict,Poorer,2966,1,4,5,10,3
60,full_counting,4.341240876,F,Baseline,Richer,4583,1,1,5,10,3
60,full_counting,4.341240876,F,AbsolutelyEqual,Richer,1616,1,1,5,10,3
61,no_counting,5.401251467,M,AbsolutelyEqual,Poorer,2333,1,4,5,10,1
61,no_counting,5.401251467,M,ProportionallyEqual,Richer,4950,1,1,5,10,1
61,no_counting,5.401251467,M,Conflict,Richer,50,1,1,5,10,1
61,no_counting,5.401251467,M,Baseline,Poorer,2733,NA,NA,5,10,1
62,partial_counting,5.189781022,M,Baseline,Poorer,1083,1,4,5,10,3
62,partial_counting,5.189781022,M,Conflict,Poorer,883,1,4,5,10,3
62,partial_counting,5.189781022,M,ProportionallyEqual,Richer,1850,1,1,5,10,3
62,partial_counting,5.189781022,M,AbsolutelyEqual,Richer,2050,1,1,5,10,3
63,full_counting,4.869525547,F,ProportionallyEqual,Poorer,5133,NA,NA,5,10,3
63,full_counting,4.869525547,F,AbsolutelyEqual,Poorer,933,NA,NA,5,10,3
63,full_counting,4.869525547,F,Baseline,Richer,6500,NA,NA,5,10,3
63,full_counting,4.869525547,F,Conflict,Richer,1100,NA,NA,5,10,3
64,no_counting,5.151459854,M,AbsolutelyEqual,Poorer,3866,NA,NA,5,10,3
64,no_counting,5.151459854,M,Conflict,Poorer,933,NA,NA,5,10,3
64,no_counting,5.151459854,M,Baseline,Richer,1616,NA,NA,5,10,3
64,no_counting,5.151459854,M,ProportionallyEqual,Richer,1150,NA,NA,5,10,3
65,full_counting,5.477903794,M,AbsolutelyEqual,Poorer,1166,0,3,5,10,4
65,full_counting,5.477903794,M,Baseline,Poorer,1200,1,4,5,10,4
65,full_counting,5.477903794,M,ProportionallyEqual,Poorer,1316,1,4,5,10,4
65,full_counting,5.477903794,M,Conflict,Richer,1466,1,1,5,10,4
66,full_counting,4.082694414,F,AbsolutelyEqual,Richer,5250,0,2,4,8,3
66,full_counting,4.082694414,F,Baseline,Poorer,2400,1,4,4,8,3
66,full_counting,4.082694414,F,Conflict,Richer,1000,1,1,4,8,3
66,full_counting,4.082694414,F,ProportionallyEqual,Richer,2300,NA,NA,4,8,3
67,partial_counting,4.664233577,M,ProportionallyEqual,Richer,3983,0,2,4,10,2
67,partial_counting,4.664233577,M,Baseline,Richer,1366,1,1,4,10,2
67,partial_counting,4.664233577,M,AbsolutelyEqual,Richer,1400,1,1,4,10,2
67,partial_counting,4.664233577,M,Conflict,Richer,1516,NA,NA,4,10,2
68,partial_counting,4.434306569,M,Baseline,Poorer,2266,1,4,4,8,2
68,partial_counting,4.434306569,M,ProportionallyEqual,Richer,1233,1,1,4,8,2
68,partial_counting,4.434306569,M,AbsolutelyEqual,Richer,2566,1,1,4,8,2
68,partial_counting,4.434306569,M,Conflict,Richer,1766,1,1,4,8,2
69,full_counting,4.261861314,F,Baseline,Poorer,1516,1,4,2,3,2
69,full_counting,4.261861314,F,ProportionallyEqual,Richer,933,1,1,2,3,2
69,full_counting,4.261861314,F,AbsolutelyEqual,Richer,1250,1,1,2,3,2
69,full_counting,4.261861314,F,Conflict,Richer,1000,1,1,2,3,2
71,partial_counting,4.801094891,F,Baseline,Poorer,3916,1,4,5,10,0
71,partial_counting,4.801094891,F,AbsolutelyEqual,Poorer,2450,1,4,5,10,0
71,partial_counting,4.801094891,F,ProportionallyEqual,Richer,1366,1,1,5,10,0
71,partial_counting,4.801094891,F,Conflict,Richer,1800,1,1,5,10,0
72,full_counting,5.570981619,F,AbsolutelyEqual,Poorer,1083,0,3,5,10,3
72,full_counting,5.570981619,F,Conflict,Poorer,2650,0,3,5,10,3
72,full_counting,5.570981619,F,Baseline,Richer,1850,1,1,5,10,3
72,full_counting,5.570981619,F,ProportionallyEqual,Richer,1450,1,1,5,10,3
74,partial_counting,5.718811107,F,Baseline,Poorer,7666,1,4,4,10,1
74,partial_counting,5.718811107,F,ProportionallyEqual,Richer,1283,1,1,4,10,1
74,partial_counting,5.718811107,F,AbsolutelyEqual,Richer,1716,1,1,4,10,1
74,partial_counting,5.718811107,F,Conflict,Richer,2416,1,1,4,10,1
75,full_counting,5.121350365,F,ProportionallyEqual,Richer,1283,0,2,NA,NA,0
75,full_counting,5.121350365,F,AbsolutelyEqual,Richer,5750,0,2,NA,NA,0
75,full_counting,5.121350365,F,Conflict,Richer,1716,0,2,NA,NA,0
75,full_counting,5.121350365,F,Baseline,Poorer,2116,1,4,NA,NA,0
76,no_counting,5.658584278,M,AbsolutelyEqual,Poorer,8283,1,4,NA,NA,2
76,no_counting,5.658584278,M,Baseline,Richer,15233,1,1,NA,NA,2
76,no_counting,5.658584278,M,ProportionallyEqual,Richer,7216,1,1,NA,NA,2
76,no_counting,5.658584278,M,Conflict,Richer,6450,1,1,NA,NA,2
77,partial_counting,5.8009386,F,ProportionallyEqual,Richer,1016,0,2,5,10,NA
77,partial_counting,5.8009386,F,AbsolutelyEqual,Richer,1700,0,2,5,10,NA
77,partial_counting,5.8009386,F,Conflict,Richer,1016,0,2,5,10,NA
77,partial_counting,5.8009386,F,Baseline,Poorer,1200,1,4,5,10,NA
78,no_counting,4.749087591,F,Baseline,Poorer,1783,1,4,5,10,4
78,no_counting,4.749087591,F,ProportionallyEqual,Richer,1583,1,1,5,10,4
78,no_counting,4.749087591,F,Conflict,Richer,1516,1,1,5,10,4
78,no_counting,4.749087591,F,AbsolutelyEqual,Poorer,4866,NA,NA,5,10,4
79,no_counting,4.784671533,M,Baseline,Poorer,1000,0,3,5,10,2
79,no_counting,4.784671533,M,AbsolutelyEqual,Poorer,22116,0,3,5,10,2
79,no_counting,4.784671533,M,ProportionallyEqual,Richer,216,0,2,5,10,2
79,no_counting,4.784671533,M,Conflict,Richer,3550,0,2,5,10,2
80,no_counting,4.025191676,M,ProportionallyEqual,Richer,1000,0,2,3,6,3
80,no_counting,4.025191676,M,Conflict,Richer,1650,0,2,3,6,3
80,no_counting,4.025191676,M,AbsolutelyEqual,Richer,11233,1,1,3,6,3
80,no_counting,4.025191676,M,Baseline,Poorer,1616,NA,NA,3,6,3
81,full_counting,5.546343371,M,Baseline,Poorer,5050,1,4,3,6,0
81,full_counting,5.546343371,M,ProportionallyEqual,Poorer,533,1,4,3,6,0
81,full_counting,5.546343371,M,AbsolutelyEqual,Richer,866,1,1,3,6,0
81,full_counting,5.546343371,M,Conflict,Richer,633,1,1,3,6,0
82,partial_counting,5.612045366,M,Baseline,Richer,916,0,2,4,8,0
82,partial_counting,5.612045366,M,ProportionallyEqual,Richer,800,1,1,4,8,0
82,partial_counting,5.612045366,M,AbsolutelyEqual,Richer,783,1,1,4,8,0
82,partial_counting,5.612045366,M,Conflict,Richer,933,1,1,4,8,0
83,no_counting,4.300182482,F,AbsolutelyEqual,Poorer,1066,NA,NA,2,3,0
83,no_counting,4.300182482,F,Baseline,Richer,6566,NA,NA,2,3,0
83,no_counting,4.300182482,F,ProportionallyEqual,Richer,200,NA,NA,2,3,0
83,no_counting,4.300182482,F,Conflict,Richer,650,NA,NA,2,3,0
84,no_counting,4.527372263,M,Baseline,Poorer,8750,1,4,4,8,3
84,no_counting,4.527372263,M,ProportionallyEqual,Richer,1566,1,1,4,8,3
84,no_counting,4.527372263,M,AbsolutelyEqual,Richer,13166,1,1,4,8,3
84,no_counting,4.527372263,M,Conflict,Richer,2000,1,1,4,8,3
85,full_counting,4.924270073,F,AbsolutelyEqual,Poorer,2383,0,3,5,10,4
85,full_counting,4.924270073,F,ProportionallyEqual,Richer,1933,0,2,5,10,4
85,full_counting,4.924270073,F,Conflict,Poorer,2450,1,4,5,10,4
85,full_counting,4.924270073,F,Baseline,Richer,1833,1,1,5,10,4
86,partial_counting,4.576642336,M,ProportionallyEqual,Poorer,1500,0,3,5,10,2
86,partial_counting,4.576642336,M,Baseline,Poorer,7450,1,4,5,10,2
86,partial_counting,4.576642336,M,AbsolutelyEqual,Poorer,1533,1,4,5,10,2
86,partial_counting,4.576642336,M,Conflict,Richer,1450,1,1,5,10,2
87,full_counting,5.028284672,F,Baseline,Poorer,5150,1,4,5,10,1
87,full_counting,5.028284672,F,ProportionallyEqual,Richer,1383,1,1,5,10,1
87,full_counting,5.028284672,F,AbsolutelyEqual,Richer,916,1,1,5,10,1
87,full_counting,5.028284672,F,Conflict,Richer,816,1,1,5,10,1
88,partial_counting,5.508017208,F,Conflict,Poorer,2283,0,3,3,6,2
88,partial_counting,5.508017208,F,AbsolutelyEqual,Richer,3633,0,2,3,6,2
88,partial_counting,5.508017208,F,Baseline,Richer,2000,1,1,3,6,2
88,partial_counting,5.508017208,F,ProportionallyEqual,Richer,1650,1,1,3,6,2
89,full_counting,4.899635036,M,Conflict,Richer,1200,0,2,5,10,NA
89,full_counting,4.899635036,M,Baseline,Poorer,1750,1,4,5,10,NA
89,full_counting,4.899635036,M,AbsolutelyEqual,Poorer,1483,1,4,5,10,NA
89,full_counting,4.899635036,M,ProportionallyEqual,Richer,1816,1,1,5,10,NA
90,no_counting,5.729761439,M,Conflict,Richer,750,0,2,5,10,NA
90,no_counting,5.729761439,M,Baseline,Poorer,1250,1,4,5,10,NA
90,no_counting,5.729761439,M,AbsolutelyEqual,Poorer,4700,1,4,5,10,NA
90,no_counting,5.729761439,M,ProportionallyEqual,Richer,1383,1,1,5,10,NA
91,partial_counting,4.467153285,F,AbsolutelyEqual,Poorer,8083,1,4,5,10,4
91,partial_counting,4.467153285,F,Conflict,Poorer,1333,1,4,5,10,4
91,partial_counting,4.467153285,F,Baseline,Richer,5266,1,1,5,10,4
