Subject ID,Condition,Age,Gender,Trial,RealResponse,RT,Little_Lot,Four_Point_Scale,GiveNCorrectTrials,HighestNumberCorrect,GiveN_TotalCounting
1,partial_counting,4.601277372,M,AbsolutelyEqual,Richer,2183,1,1,5,10,2
1,partial_counting,4.601277372,M,Baseline,Poorer,1783,NA,NA,5,10,2
1,partial_counting,4.601277372,M,ProportionallyEqual,Richer,1433,NA,NA,5,10,2
1,partial_counting,4.601277372,M,Conflict,Richer,1800,NA,NA,5,10,2
3,no_counting,4.593065693,M,Baseline,Poorer,4383,1,4,NA,NA,NA
3,no_counting,4.593065693,M,AbsolutelyEqual,Poorer,1166,1,4,NA,NA,NA
3,no_counting,4.593065693,M,ProportionallyEqual,Richer,100,1,1,NA,NA,NA
3,no_counting,4.593065693,M,Conflict,Richer,900,1,1,NA,NA,NA
4,partial_counting,4.705291971,F,Baseline,Poorer,950,1,4,5,10,4
4,partial_counting,4.705291971,F,ProportionallyEqual,Richer,1100,1,1,5,10,4
4,partial_counting,4.705291971,F,AbsolutelyEqual,Richer,2150,1,1,5,10,4
4,partial_counting,4.705291971,F,Conflict,Richer,1933,1,1,5,10,4
5,full_counting,4.483576642,M,Baseline,Poorer,3383,1,4,5,10,4
5,full_counting,4.483576642,M,ProportionallyEqual,Poorer,883,1,4,5,10,4
5,full_counting,4.483576642,M,AbsolutelyEqual,Poorer,1483,1,4,5,10,4
5,full_counting,4.483576642,M,Conflict,Poorer,1450,1,4,5,10,4
6,no_counting,4.530109489,F,Baseline,Poorer,3283,1,4,4,10,0
6,no_counting,4.530109489,F,ProportionallyEqual,Richer,866,1,1,4,10,0
6,no_counting,4.530109489,F,AbsolutelyEqual,Richer,2583,1,1,4,10,0
6,no_counting,4.530109489,F,Conflict,Richer,1750,1,1,4,10,0
7,partial_counting,4.998175182,F,AbsolutelyEqual,Poorer,1200,1,4,1,1,0
7,partial_counting,4.998175182,F,ProportionallyEqual,Richer,1133,1,1,1,1,0
7,partial_counting,4.998175182,F,Baseline,Poorer,1550,NA,NA,1,1,0
7,partial_counting,4.998175182,F,Conflict,Richer,1116,NA,NA,1,1,0
8,full_counting,5.102854908,F,AbsolutelyEqual,Poorer,3800,0,3,3,6,3
8,full_counting,5.102854908,F,Baseline,Poorer,1150,1,4,3,6,3
8,full_counting,5.102854908,F,ProportionallyEqual,Poorer,816,1,4,3,6,3
8,full_counting,5.102854908,F,Conflict,Poorer,2616,1,4,3,6,3
9,no_counting,5.206883066,M,Baseline,Richer,1583,1,1,5,10,0
9,no_counting,5.206883066,M,ProportionallyEqual,Richer,916,1,1,5,10,0
9,no_counting,5.206883066,M,AbsolutelyEqual,Richer,1216,1,1,5,10,0
9,no_counting,5.206883066,M,Conflict,Richer,983,1,1,5,10,0
10,partial_counting,4.729927007,F,Baseline,Poorer,4583,0,3,4,10,0
10,partial_counting,4.729927007,F,ProportionallyEqual,Poorer,2116,0,3,4,10,0
10,partial_counting,4.729927007,F,AbsolutelyEqual,Richer,14800,0,2,4,10,0
10,partial_counting,4.729927007,F,Conflict,Richer,1300,0,2,4,10,0
11,full_counting,4.226277372,F,Baseline,Poorer,9833,0,3,3,6,4
11,full_counting,4.226277372,F,ProportionallyEqual,Richer,2716,0,2,3,6,4
11,full_counting,4.226277372,F,AbsolutelyEqual,Richer,2666,0,2,3,6,4
11,full_counting,4.226277372,F,Conflict,Richer,1783,0,2,3,6,4
12,no_counting,5.217833399,F,ProportionallyEqual,Richer,1633,0,2,5,10,0
12,no_counting,5.217833399,F,AbsolutelyEqual,Richer,2733,0,2,5,10,0
12,no_counting,5.217833399,F,Conflict,Richer,2316,0,2,5,10,0
12,no_counting,5.217833399,F,Baseline,Poorer,883,1,4,5,10,0
13,partial_counting,4.885948905,M,Baseline,Poorer,1100,1,4,5,10,4
13,partial_counting,4.885948905,M,AbsolutelyEqual,Poorer,183,1,4,5,10,4
13,partial_counting,4.885948905,M,Conflict,Poorer,1183,1,4,5,10,4
13,partial_counting,4.885948905,M,ProportionallyEqual,Richer,250,1,1,5,10,4
14,full_counting,4.26459854,M,Baseline,Poorer,21850,1,4,3,6,NA
14,full_counting,4.26459854,M,ProportionallyEqual,Poorer,916,1,4,3,6,NA
14,full_counting,4.26459854,M,AbsolutelyEqual,Richer,1633,1,1,3,6,NA
14,full_counting,4.26459854,M,Conflict,Richer,933,1,1,3,6,NA
15,no_counting,4.888686131,F,Baseline,Richer,3016,0,2,5,10,3
15,no_counting,4.888686131,F,ProportionallyEqual,Richer,1683,1,1,5,10,3
15,no_counting,4.888686131,F,AbsolutelyEqual,Richer,2266,1,1,5,10,3
15,no_counting,4.888686131,F,Conflict,Richer,1183,1,1,5,10,3
16,partial_counting,4.740875912,M,AbsolutelyEqual,Poorer,3016,0,3,5,10,4
16,partial_counting,4.740875912,M,Baseline,Richer,4733,0,2,5,10,4
16,partial_counting,4.740875912,M,ProportionallyEqual,Richer,2600,0,2,5,10,4
16,partial_counting,4.740875912,M,Conflict,Richer,1433,0,2,5,10,4
17,full_counting,4.776459854,F,AbsolutelyEqual,Richer,1166,0,2,4,8,2
17,full_counting,4.776459854,F,Baseline,Poorer,1216,1,4,4,8,2
17,full_counting,4.776459854,F,ProportionallyEqual,Richer,733,1,1,4,8,2
17,full_counting,4.776459854,F,Conflict,Richer,750,1,1,4,8,2
18,no_counting,5.679598357,M,Baseline,Richer,966,0,2,NA,NA,NA
18,no_counting,5.679598357,M,Conflict,Richer,1500,0,2,NA,NA,NA
18,no_counting,5.679598357,M,ProportionallyEqual,Richer,450,1,1,NA,NA,NA
18,no_counting,5.679598357,M,AbsolutelyEqual,Richer,816,1,1,NA,NA,NA
19,partial_counting,5.025547445,M,Baseline,Poorer,1183,1,4,5,10,0
19,partial_counting,5.025547445,M,AbsolutelyEqual,Poorer,1150,1,4,5,10,0
19,partial_counting,5.025547445,M,ProportionallyEqual,Richer,1383,1,1,5,10,0
19,partial_counting,5.025547445,M,Conflict,Richer,1633,1,1,5,10,0
20,full_counting,4.395985401,M,Baseline,Poorer,3183,1,4,NA,NA,2
20,full_counting,4.395985401,M,ProportionallyEqual,Poorer,2466,1,4,NA,NA,2
20,full_counting,4.395985401,M,AbsolutelyEqual,Poorer,7583,1,4,NA,NA,2
20,full_counting,4.395985401,M,Conflict,Richer,1416,1,1,NA,NA,2
21,no_counting,4.052573932,F,Baseline,Poorer,1716,1,4,2,3,0
21,no_counting,4.052573932,F,ProportionallyEqual,Richer,1100,1,1,2,3,0
21,no_counting,4.052573932,F,AbsolutelyEqual,Richer,1216,1,1,2,3,0
21,no_counting,4.052573932,F,Conflict,Richer,1366,1,1,2,3,0
22,partial_counting,4.99270073,M,Baseline,Poorer,1900,0,3,2,3,3
22,partial_counting,4.99270073,M,ProportionallyEqual,Richer,5533,1,1,2,3,3
22,partial_counting,4.99270073,M,AbsolutelyEqual,Richer,800,1,1,2,3,3
22,partial_counting,4.99270073,M,Conflict,Richer,466,1,1,2,3,3
23,full_counting,4.902372263,F,AbsolutelyEqual,Poorer,2183,1,4,2,3,0
23,full_counting,4.902372263,F,Baseline,Richer,6716,1,1,2,3,0
23,full_counting,4.902372263,F,ProportionallyEqual,Richer,1233,1,1,2,3,0
23,full_counting,4.902372263,F,Conflict,Richer,783,1,1,2,3,0
24,no_counting,4.179744526,F,AbsolutelyEqual,Richer,1916,0,2,5,10,0
24,no_counting,4.179744526,F,Conflict,Richer,4000,0,2,5,10,0
24,no_counting,4.179744526,F,ProportionallyEqual,Richer,500,1,1,5,10,0
24,no_counting,4.179744526,F,Baseline,Poorer,150,NA,NA,5,10,0
25,partial_counting,4.472627737,M,AbsolutelyEqual,Richer,3550,0,2,5,10,0
25,partial_counting,4.472627737,M,Baseline,Poorer,4183,1,4,5,10,0
25,partial_counting,4.472627737,M,ProportionallyEqual,Richer,1850,1,1,5,10,0
25,partial_counting,4.472627737,M,Conflict,Richer,1683,1,1,5,10,0
26,full_counting,5.168556903,F,Baseline,Poorer,NA,NA,NA,5,10,3
26,full_counting,5.168556903,F,ProportionallyEqual,Richer,1283,NA,NA,5,10,3
26,full_counting,5.168556903,F,AbsolutelyEqual,Richer,9066,NA,NA,5,10,3
26,full_counting,5.168556903,F,Conflict,Richer,1600,NA,NA,5,10,3
27,no_counting,5.168556903,F,Baseline,Poorer,1816,1,4,3,6,0
27,no_counting,5.168556903,F,ProportionallyEqual,Richer,2000,1,1,3,6,0
27,no_counting,5.168556903,F,Conflict,Richer,1550,1,1,3,6,0
27,no_counting,5.168556903,F,AbsolutelyEqual,Poorer,2416,NA,NA,3,6,0
29,partial_counting,5.55455612,M,AbsolutelyEqual,Poorer,9966,0,3,5,10,3
29,partial_counting,5.55455612,M,ProportionallyEqual,Richer,1550,1,1,5,10,3
29,partial_counting,5.55455612,M,Conflict,Richer,1116,1,1,5,10,3
29,partial_counting,5.55455612,M,Baseline,Poorer,3333,NA,NA,5,10,3
31,no_counting,4.784671533,M,Conflict,Poorer,1566,1,4,2,3,0
31,no_counting,4.784671533,M,Baseline,Richer,1750,1,1,2,3,0
31,no_counting,4.784671533,M,ProportionallyEqual,Richer,1883,1,1,2,3,0
31,no_counting,4.784671533,M,AbsolutelyEqual,Richer,833,1,1,2,3,0
33,full_counting,4.921532847,M,Baseline,Poorer,1116,1,4,5,10,0
33,full_counting,4.921532847,M,Conflict,Poorer,1150,1,4,5,10,0
33,full_counting,4.921532847,M,ProportionallyEqual,Poorer,1550,NA,NA,5,10,0
33,full_counting,4.921532847,M,AbsolutelyEqual,Poorer,866,NA,NA,5,10,0
34,no_counting,4.305656934,M,Baseline,Poorer,1483,1,4,3,6,3
34,no_counting,4.305656934,M,ProportionallyEqual,Richer,1583,1,1,3,6,3
34,no_counting,4.305656934,M,AbsolutelyEqual,Richer,733,1,1,3,6,3
34,no_counting,4.305656934,M,Conflict,Richer,600,1,1,3,6,3
35,partial_counting,5.050182482,F,AbsolutelyEqual,Richer,7316,0,2,5,10,3
