Subject ID,Age,gender,order,give_n_score,stroop_score,pretest_stickers_shared,pre_test_who_got_more,condition,correct_test_trials,counted_test_trials,post_test_6_stickers_shared,post_test_6_who_got_more,post_test_8_stickers_shared,post_test_8_who_got_more,counting.test
1,3.460472279,female,1,6,16,3,,Counting,3,3,5,other,8,other,1
2,3.271902806,male,2,3,,3,other,Counting,1,0,3,other,4,other,1
3,3.669404517,female,3,3,1,6,other,Control,2,0,6,,8,other,1
4,5.166666667,male,4,6,,2,self,Control,2,0,1,self,4,same,1
5,3.680355921,female,5,6,12,4,other,Counting,3,3,3,other,2,same,1
6,4.721423682,female,6,6,16,4,,Counting,3,0,3,self,4,same,1
7,4.166666667,female,7,6,2,3,same,Control,2,0,3,self,4,,1
8,4.073921971,female,8,6,7,3,same,Control,,,3,same,4,same,1
9,4.094284736,male,1,6,9,3,same,Counting,2,0,3,same,4,same,1
10,3.32118412,female,2,3,16,3,other,Counting,2,0,2,self,,,1
13,4.899041752,female,5,6,11,3,same,Counting,,1,3,same,4,same,1
16,3.746064339,female,8,6,1,3,same,Control,1,0,3,same,4,same,1
17,3.982375086,male,1,6,5,4,same,Counting,3,3,1,self,4,self,1
18,5.226899384,female,2,0,3,6,same,Counting,1,3,6,same,8,same,1
20,2.807494867,male,4,2,13,5,same,Control,2,0,3,same,8,,1
21,3.083333333,female,5,1,3,2,,Counting,2,0,3,other,2,other,1
22,4.799281314,female,6,6,9,3,same,Counting,3,1,3,same,4,same,1
23,4.896303901,male,7,6,13,2,self,Control,3,0,2,self,3,self,1
24,3.960472279,female,8,6,11,3,same,Control,3,0,3,same,5,other,1
25,3.774640657,female,1,4,6,3,same,Counting,3,0,2,same,4,same,1
26,3.610711841,female,2,5,10,5,same,Counting,1,0,3,same,4,same,1
27,3.102498289,female,3,3,0,6,same,Control,1,0,3,same,5,same,1
28,3.382614648,male,4,4,0,2,same,Control,2,3,4,same,5,other,1
29,3.218685832,male,5,3,14,4,same,Counting,3,3,3,same,4,same,1
30,3.332135524,male,6,6,2,2,same,Counting,2,3,6,same,0,,1
31,4.946783025,female,7,6,6,3,same,Control,3,1,3,same,4,self,1
32,4.659993155,male,8,5,7,3,same,Control,3,0,3,same,4,same,1
33,3.010951403,female,1,6,7,3,same,Counting,2,0,3,same,4,same,1
34,4.632614648,male,2,6,8,3,same,Counting,3,0,3,same,3,self,1
35,4.010951403,male,3,3,12,3,same,Control,2,0,3,same,5,other,1
36,3.521902806,male,4,4,6,3,,Control,3,0,1,,4,,1
38,3.802019165,male,6,6,13,3,,Counting,3,2,3,other,5,other,1
39,3.573921971,female,7,6,14,3,self,Control,3,0,2,self,2,self,1
41,3.629876797,male,1,2,1,0,same,Counting,1,0,0,self,3,self,1
43,4.052019165,female,2,4,13,3,same,Control,3,0,3,same,4,same,1
44,4.530116359,male,3,6,15,3,same,Control,1,0,3,same,4,self,1
45,4.847022587,female,4,6,11,3,same,Counting,0,2,3,same,5,other,1
46,5,male,5,6,9,3,same,Counting,3,3,3,same,4,same,1
47,4.629876797,male,6,6,16,3,same,Control,3,0,3,same,4,same,1
48,5.422142368,male,7,6,15,3,other,Control,3,0,3,same,4,same,1
49,4.282854209,female,8,6,9,6,same,Counting,2,3,6,same,8,same,1
50,5.430355921,female,1,6,11,3,same,Counting,3,0,3,other,4,same,1
51,4.952258727,female,2,6,16,3,same,Control,3,1,3,same,4,same,1
52,5.307494867,male,4,6,16,3,other,Control,3,0,3,same,4,same,1
53,5.054757016,male,3,6,7,3,other,Control,3,0,3,self,4,same,1
54,4.366187543,female,5,6,11,3,same,Counting,3,0,3,self,4,other,1
55,3.407255305,male,7,3,15,3,same,Control,2,0,3,same,3,same,1
58,5.280116359,female,2,6,,3,same,Counting,3,0,3,same,4,same,1
59,5.280116359,male,3,6,10,5,same,Control,3,2,3,same,4,same,1
60,4.116187543,female,4,6,15,3,same,Control,3,0,3,other,5,same,1
63,3.782854209,female,7,6,11,3,same,Control,3,3,3,same,4,same,1
64,4.946783025,female,8,5,6,3,other,Control,2,0,4,same,4,same,1
67,3.03559206,female,3,2,0,1,,Control,3,0,3,,7,,1
68,3.643566051,female,4,6,5,3,same,Control,1,0,3,same,4,same,1
70,5.019164956,female,6,6,8,3,,Counting,3,3,3,,4,,1
71,5.299281314,female,7,6,9,3,same,Control,3,0,3,same,4,same,1
73,3.35523614,female,1,2,6,6,same,Counting,1,0,3,same,4,same,1
74,5.124401095,male,2,6,16,3,self,Counting,3,0,3,same,4,same,1
75,4.366187543,female,3,5,12,3,same,Control,1,0,3,same,4,same,1
76,4.021902806,female,4,6,14,3,same,Control,2,0,4,other,3,self,1
77,3.60797399,female,5,6,14,4,same,Counting,1,0,4,same,4,same,1
79,4.336071184,male,7,6,6,5,same,Control,2,0,3,same,5,same,1
80,4.204996578,female,8,6,15,3,other,Control,3,0,3,self,4,self,1
81,3.672142368,male ,1,2,4,0,other,Counting ,2,0,4,self,3,self,1
82,4.704996578,male ,2,6,13,3,self,Counting,3,0,2,self,3,same,1
83,5.138090349,female,3,6,12,3,other,Control,,,,,,,1
84,4.666666667,male,4,6,15,4,other,Control,3,0,2,self,4,other ,1
85,5.505475702,male,5,6,12,3,same,Counting,3,0,4,same,7,other,1
86,4.07118412,male,6,5,11,3,same,Counting,1,0,2,same,5,same,1
88,5.557494867,female,1,6,12,3,same,Counting,3,0,3,same,5,other,1
89,5.226899384,female,2,5,15,3,same,Counting,2,0,3,same,5,other,1
90,4.691307324,male,3,6,14,3,same,Control,3,2,3,same,4,same,1
91,5.21321013,female,4,6,16,2,self,Control,3,0,4,other,3,same,1
92,3.465947981,female,5,5,14,3,same,Counting,1,0,2,same,3,self,1
93,4.665468857,male,6,4,8,3,same,Counting,2,3,3,same,4,same,1
95,5.326659822,male,1,6,12,3,other,Counting,3,3,3,same,4,other,1
96,5.49880219,female,2,6,12,3,same,Counting,3,2,3,same,4,same,1
97,4.82118412,male ,3,6,16,3,same,Control,3,2,2,self,4,same,1
98,4.530116359,female,4,6,11,4,other,Control,3,0,5,other,5,other,1
99,5.246064339,male,5,6,13,4,other,Counting ,3,0,3,same,4,same,1
100,3.685831622,female,6,5,12,3,other,Counting,3,0,4,self,6,self,1
102,4.065708419,male,1,1,7,3,self,Control,2,0,3,same,4,same,1
103,2.847022587,female,2,0,0,4,other,Counting,0,1,4,,4,,1
105,4.269164956,female,4,6,16,3,same,Control,3,0,3,same,4,same,1
106,3.368925394,female,5,4,7,1,same,Counting,2,0,0,same,5,same,1
107,3.766427105,female,6,2,3,3,same,Counting,0,0,4,same,5,same,1
108,2.740588638,female,7,3,,5,other,Control,1,1,3,same,8,same,1
109,3.35523614,female,1,6,12,3,self,Counting,3,0,3,self,4,same,1
110,3.793805613,male ,2,6,,2,self,Counting,3,3,2,self,2,self,1
111,3.860711841,female ,3,4,13,4,same,Control,3,0,2,same,4,same,1
112,3.82118412,male ,4,6,0,1,same,Control,2,0,6,same,8,same,1
113,3.721423682,female ,6,4,12,2,same,Counting,3,3,4,other,7,other,1
