Subject,Age,Sex,Language,Knower_level,cite,method,Experiment,lab
022619-ER,36.303901440000004,F,English,1,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022619-LD,38.767967148,M,English,2,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022619-LR,32.689938396,F,English,1,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022619-RG,35.351129364,M,English,1,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022619-T,40.969199184000004,M,English,2,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022619-D,31.802874744,F,English,1,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022619-D,31.802874744,F,English,3,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022719-B,43.433264892000004,M,English,2,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022719-CH,41.462012316,F,English,3,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022719-CL,40.607802876,M,English,1,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022719-J,44.02464066,M,English,3,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022719-JM,38.833675559999996,M,English,2,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
022719-M,35.778234084,F,English,3,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091.",titrated,Schneider_Barner_2021,Barner
