Subject,Age,Sex,Language,Knower_level,cite,method,Experiment,lab
120519-WD,57.39630389999999,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120519-MN,56.180698152,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120519-AY,53.42094456,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120519-AS,57.330595488,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120519-BR,55.950718679999994,M,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120519-N,62.751540035999994,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120519-IP,63.080082132,M,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120719-125,49.839835728,ChangeMe,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120719-63,44.517453804,ChangeMe,English,1,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120719-110,72.50924024400001,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120719-116,68.23819302,ChangeMe,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120719-12,47.342915808,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
120719-62,58.48049281200001,NA,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
121619-OP,69.946611912,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010720-S2,42.611909651999994,M,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010720-M,53.256673512000006,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010720-C,65.67556467600001,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010620-S,52.40246406,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010620-C,58.710472284000005,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010620-C2,70.899383988,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010620-E,55.195071864,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010620-J,61.371663240000004,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
