Subject,Age,Sex,Language,Knower_level,cite,method,Experiment,lab
011620-EP,45.535934292,F,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-OC,47.408624232,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-BT,58.841889120000005,F,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-TR,40.936344972,M,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-CF,49.544147843999994,F,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-AA,60.386036964,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-EM,50.694045179999996,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-EC,52.533880908,F,English,5,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-EB,50.496919919999996,M,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-AM,53.190965088,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-AH,50.891170427999995,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-CH,38.965092408,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011620-BA,45.535934292,M,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
011820-EL,66.529774128,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
010620-A,58.579055436000004,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-DL,47.441478444,M,English,0,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-JB,50.299794659999996,M,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-FRJ,49.379876796,F,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-EMH,48.328542096,F,English,1,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-MK,54.505133472,F,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-AS,61.831622171999996,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-ZL,59.991786444,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-EC,56.246406576,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-EM,44.418891168,M,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-AH,47.014373712,F,English,1,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-DE,45.667351128,M,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-NN,47.704312116,M,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020420-AM,44.517453804,F,English,0,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-SP,63.6386037,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-CVC,65.41273100400001,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-ES,55.753593432,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-PT,55.655030796,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-AO,64.82135523599999,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-DH,49.379876796,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-TS,47.408624232,F,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-TC,53.2238193,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-LH,57.16632444,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-SJ,52.139630388,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-KH,60.94455852,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-CD,51.416837783999995,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-LM,48.755646815999995,M,English,5,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020620-JFM,51.909650928000005,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020720-J,46.587268992000006,M,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020720-AM,47.474332644,F,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020720-M,66.529774128,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
020720-Q,59.07186858,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
022920-LW,46.850102664000005,M,English,1,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030120-LA,47.310061596,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030120-BC,36.106776180000004,M,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030120-KK,47.638603692000004,F,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030120-TM,45.765913751999996,M,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030120-CW,38.80082136,F,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030320-AS,47.737166328,M,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030320-CR,44.45174538,F,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030320-HK,46.915811088,F,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030320-HO,43.696098564,M,English,CP,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030720-MK,40.27926078,F,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
030720-M,41.889117048,M,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
031020-O,40.837782336000004,F,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
031020-D,44.813141688,M,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
031020-H,39.45790554,F,English,3,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
031020-BN,54.275154,M,English,4,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
031020-AH,39.359342915999996,F,English,2,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset).",titrated,Schneider_Barner_Unpublished,Barner
