"","Subject","Age","Sex","Language","method","KL","Experiment","lab","cite"
"1","010620-A",36,"F","English","nontitrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"2","010620-A",36,"F","English","titrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"3","010620-F",36,"F","English","nontitrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"4","010620-F",36,"F","English","titrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"5","010620-J2",28,"F","English","nontitrated",NA,"MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"6","010620-J2",28,"F","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"7","010620-M2",42,"F","English","nontitrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"8","010620-M2",42,"F","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"9","010620-M3",36,"M","English","nontitrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"10","010620-M3",36,"M","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"11","010620-S",38,"F","English","nontitrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"12","010620-S",38,"F","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"13","010720-H",43,"F","English","nontitrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"14","010720-H",43,"F","English","titrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"15","010720-M",30,"F","English","nontitrated",NA,"MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"16","010720-M",30,"F","English","titrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"17","010720-W",42,"M","English","nontitrated","4","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"18","010720-W",42,"M","English","titrated","4","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"19","011120-A",24,"F","English","nontitrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"20","011120-A",24,"F","English","titrated",NA,"MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"21","011120-H",31,"M","English","nontitrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"22","011120-H",31,"M","English","titrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"23","011120-K",25,"F","English","nontitrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"24","011120-K",25,"F","English","titrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"25","011120-R",47,"M","English","nontitrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"26","011120-R",47,"M","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"27","011120-V",30,"F","English","nontitrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"28","011120-V",30,"F","English","titrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"29","011120-V2",45,"F","English","nontitrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"30","011120-V2",45,"F","English","titrated","3","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"31","011120-W",31,"M","English","nontitrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"32","011120-W",31,"M","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"33","011220-A",27,"F","English","nontitrated",NA,"MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"34","011220-A",27,"F","English","titrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"35","011220-B",25,"M","English","nontitrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"36","011220-B",25,"M","English","titrated",NA,"MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"37","011220-D",45,"M","English","nontitrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"38","011220-D",45,"M","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"39","011220-L",31,"M","Armenian","nontitrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"40","011220-L",31,"M","Armenian","titrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"41","011220-L2",44,"F","English","nontitrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"42","011220-L2",44,"F","English","titrated","5","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"43","011220-LP",34,"F","English","nontitrated",NA,"MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"44","011220-LP",34,"F","English","titrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"45","011620-B",45,"M","English","nontitrated","2","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"46","011620-B",45,"M","English","titrated","1","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"47","011620-CH",38,"F","English","nontitrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"48","011620-CH",38,"F","English","titrated","CP","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
"49","011620-CT",35,"M","English","nontitrated","0","MarchandUnderRev","Barner","Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
