Experiment,Language,Subject,KL,Age,method,cite,lab
BarnerChowYoungE1,English,4,2,35.7,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,5,2,34.8,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,6,2,33.2,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,7,0,35.3,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,8,0,33.1,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,9,3,33.1,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,10,2,34.1,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,10,2,30.3,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,11,2,35.4,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,12,2,39.8,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,13,2,37.6,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,14,2,33.9,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,15*,0,31.1,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,19,1,34,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,20,3,34.4,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,21,CP,36.9,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,22,1,36.6,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,23,CP,33.8,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
BarnerChowYoungE1,English,26,1,28.3,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219.",Barner
