"","Experiment","Subject","Language","Age","Sex","Query","Response"
"1","Almoammer2013","100212-LM","English",49.54,"F",1,10
"2","Almoammer2013","100212-LM","English",49.54,"F",2,10
"3","Almoammer2013","100212-LM","English",49.54,"F",4,10
"4","Almoammer2013","100212-LM","English",49.54,"F",8,10
"5","Almoammer2013","100212-LM","English",49.54,"F",5,10
"6","Almoammer2013","100212-LM","English",49.54,"F",3,10
"7","Almoammer2013","100212-LM","English",49.54,"F",10,10
"8","Almoammer2013","100212-LM","English",49.54,"F",3,NA
"9","Almoammer2013","100212-LM","English",49.54,"F",10,NA
"10","Almoammer2013","100212-LM","English",49.54,"F",4,NA
"11","Almoammer2013","100212-LM","English",49.54,"F",1,NA
"12","Almoammer2013","100212-LM","English",49.54,"F",5,NA
"13","Almoammer2013","100212-LM","English",49.54,"F",2,NA
"14","Almoammer2013","100212-LM","English",49.54,"F",8,NA
"15","Almoammer2013","100212-LM","English",49.54,"F",10,NA
"16","Almoammer2013","100212-LM","English",49.54,"F",2,NA
"17","Almoammer2013","100212-LM","English",49.54,"F",1,NA
"18","Almoammer2013","100212-LM","English",49.54,"F",5,NA
"19","Almoammer2013","100212-LM","English",49.54,"F",4,NA
"20","Almoammer2013","100212-LM","English",49.54,"F",8,NA
"21","Almoammer2013","100212-LM","English",49.54,"F",3,NA
"22","Almoammer2013","100212-AR","English",46.18,"F",1,1
"23","Almoammer2013","100212-AR","English",46.18,"F",2,2
"24","Almoammer2013","100212-AR","English",46.18,"F",4,4
"25","Almoammer2013","100212-AR","English",46.18,"F",8,7
"26","Almoammer2013","100212-AR","English",46.18,"F",5,5
"27","Almoammer2013","100212-AR","English",46.18,"F",3,3
"28","Almoammer2013","100212-AR","English",46.18,"F",10,10
"29","Almoammer2013","100212-AR","English",46.18,"F",3,3
"30","Almoammer2013","100212-AR","English",46.18,"F",10,10
"31","Almoammer2013","100212-AR","English",46.18,"F",4,4
"32","Almoammer2013","100212-AR","English",46.18,"F",1,1
"33","Almoammer2013","100212-AR","English",46.18,"F",5,5
"34","Almoammer2013","100212-AR","English",46.18,"F",2,2
"35","Almoammer2013","100212-AR","English",46.18,"F",8,7
"36","Almoammer2013","100212-AR","English",46.18,"F",10,8
"37","Almoammer2013","100212-AR","English",46.18,"F",2,2
"38","Almoammer2013","100212-AR","English",46.18,"F",1,1
"39","Almoammer2013","100212-AR","English",46.18,"F",5,5
"40","Almoammer2013","100212-AR","English",46.18,"F",4,4
"41","Almoammer2013","100212-AR","English",46.18,"F",8,8
"42","Almoammer2013","100212-AR","English",46.18,"F",3,3
"43","Almoammer2013","100212-BL","English",26.91,"F",1,10
"44","Almoammer2013","100212-BL","English",26.91,"F",2,10
"45","Almoammer2013","100212-BL","English",26.91,"F",4,10
"46","Almoammer2013","100212-BL","English",26.91,"F",8,10
"47","Almoammer2013","100212-BL","English",26.91,"F",5,10
"48","Almoammer2013","100212-BL","English",26.91,"F",3,NA
"49","Almoammer2013","100212-BL","English",26.91,"F",10,NA
"50","Almoammer2013","100212-BL","English",26.91,"F",3,NA
"51","Almoammer2013","100212-BL","English",26.91,"F",10,NA
"52","Almoammer2013","100212-BL","English",26.91,"F",4,NA
"53","Almoammer2013","100212-BL","English",26.91,"F",1,NA
"54","Almoammer2013","100212-BL","English",26.91,"F",5,NA
"55","Almoammer2013","100212-BL","English",26.91,"F",2,NA
"56","Almoammer2013","100212-BL","English",26.91,"F",8,NA
"57","Almoammer2013","100212-BL","English",26.91,"F",10,NA
"58","Almoammer2013","100212-BL","English",26.91,"F",2,NA
"59","Almoammer2013","100212-BL","English",26.91,"F",1,NA
"60","Almoammer2013","100212-BL","English",26.91,"F",5,NA
"61","Almoammer2013","100212-BL","English",26.91,"F",4,NA
"62","Almoammer2013","100212-BL","English",26.91,"F",8,NA
"63","Almoammer2013","100212-BL","English",26.91,"F",3,NA
"64","Almoammer2013","100210-C1","English",37.63,"M",1,1
"65","Almoammer2013","100210-C1","English",37.63,"M",2,2
"66","Almoammer2013","100210-C1","English",37.63,"M",4,5
"67","Almoammer2013","100210-C1","English",37.63,"M",8,6
"68","Almoammer2013","100210-C1","English",37.63,"M",5,6
"69","Almoammer2013","100210-C1","English",37.63,"M",3,7
"70","Almoammer2013","100210-C1","English",37.63,"M",10,7
"71","Almoammer2013","100210-C1","English",37.63,"M",3,7
