"","Experiment","Subject","Language","Age","Sex","Query","Response"
"72","Almoammer2013","100210-C1","English",37.63,"M",10,10
"73","Almoammer2013","100210-C1","English",37.63,"M",4,10
"74","Almoammer2013","100210-C1","English",37.63,"M",1,NA
"75","Almoammer2013","100210-C1","English",37.63,"M",5,NA
"76","Almoammer2013","100210-C1","English",37.63,"M",2,NA
"77","Almoammer2013","100210-C1","English",37.63,"M",8,NA
"78","Almoammer2013","100210-C1","English",37.63,"M",10,NA
"79","Almoammer2013","100210-C1","English",37.63,"M",2,NA
"80","Almoammer2013","100210-C1","English",37.63,"M",1,NA
"81","Almoammer2013","100210-C1","English",37.63,"M",5,NA
"82","Almoammer2013","100210-C1","English",37.63,"M",4,NA
"83","Almoammer2013","100210-C1","English",37.63,"M",8,NA
"84","Almoammer2013","100210-C1","English",37.63,"M",3,NA
"85","Almoammer2013","100212-AA","English",24.97,"F",1,1
"86","Almoammer2013","100212-AA","English",24.97,"F",2,2
"87","Almoammer2013","100212-AA","English",24.97,"F",4,2
"88","Almoammer2013","100212-AA","English",24.97,"F",8,1
"89","Almoammer2013","100212-AA","English",24.97,"F",5,2
"90","Almoammer2013","100212-AA","English",24.97,"F",3,2
"91","Almoammer2013","100212-AA","English",24.97,"F",10,8
"92","Almoammer2013","100212-AA","English",24.97,"F",3,NA
"93","Almoammer2013","100212-AA","English",24.97,"F",10,NA
"94","Almoammer2013","100212-AA","English",24.97,"F",4,NA
"95","Almoammer2013","100212-AA","English",24.97,"F",1,NA
"96","Almoammer2013","100212-AA","English",24.97,"F",5,NA
"97","Almoammer2013","100212-AA","English",24.97,"F",2,NA
"98","Almoammer2013","100212-AA","English",24.97,"F",8,NA
"99","Almoammer2013","100212-AA","English",24.97,"F",10,NA
"100","Almoammer2013","100212-AA","English",24.97,"F",2,NA
"101","Almoammer2013","100212-AA","English",24.97,"F",1,NA
"102","Almoammer2013","100212-AA","English",24.97,"F",5,NA
"103","Almoammer2013","100212-AA","English",24.97,"F",4,NA
"104","Almoammer2013","100212-AA","English",24.97,"F",8,NA
"105","Almoammer2013","100212-AA","English",24.97,"F",3,NA
"106","Almoammer2013","100212-A1","English",33.72,"F",1,3
"107","Almoammer2013","100212-A1","English",33.72,"F",2,5
"108","Almoammer2013","100212-A1","English",33.72,"F",4,10
"109","Almoammer2013","100212-A1","English",33.72,"F",8,8
"110","Almoammer2013","100212-A1","English",33.72,"F",5,10
"111","Almoammer2013","100212-A1","English",33.72,"F",3,2
"112","Almoammer2013","100212-A1","English",33.72,"F",10,3
"113","Almoammer2013","100212-A1","English",33.72,"F",3,NA
"114","Almoammer2013","100212-A1","English",33.72,"F",10,NA
"115","Almoammer2013","100212-A1","English",33.72,"F",4,NA
"116","Almoammer2013","100212-A1","English",33.72,"F",1,NA
"117","Almoammer2013","100212-A1","English",33.72,"F",5,NA
"118","Almoammer2013","100212-A1","English",33.72,"F",2,NA
"119","Almoammer2013","100212-A1","English",33.72,"F",8,NA
"120","Almoammer2013","100212-A1","English",33.72,"F",10,NA
"121","Almoammer2013","100212-A1","English",33.72,"F",2,NA
"122","Almoammer2013","100212-A1","English",33.72,"F",1,NA
"123","Almoammer2013","100212-A1","English",33.72,"F",5,NA
"124","Almoammer2013","100212-A1","English",33.72,"F",4,NA
"125","Almoammer2013","100212-A1","English",33.72,"F",8,NA
"126","Almoammer2013","100212-A1","English",33.72,"F",3,NA
"127","Almoammer2013","100212-A2","English",NA,"M",1,1
"128","Almoammer2013","100212-A2","English",NA,"M",2,2
"129","Almoammer2013","100212-A2","English",NA,"M",4,4
"130","Almoammer2013","100212-A2","English",NA,"M",8,8
"131","Almoammer2013","100212-A2","English",NA,"M",5,5
"132","Almoammer2013","100212-A2","English",NA,"M",3,3
"133","Almoammer2013","100212-A2","English",NA,"M",10,10
"134","Almoammer2013","100212-A2","English",NA,"M",3,3
"135","Almoammer2013","100212-A2","English",NA,"M",10,10
"136","Almoammer2013","100212-A2","English",NA,"M",4,4
"137","Almoammer2013","100212-A2","English",NA,"M",1,1
"138","Almoammer2013","100212-A2","English",NA,"M",5,5
"139","Almoammer2013","100212-A2","English",NA,"M",2,2
"140","Almoammer2013","100212-A2","English",NA,"M",8,8
"141","Almoammer2013","100212-A2","English",NA,"M",10,10
"142","Almoammer2013","100212-A2","English",NA,"M",2,2
"143","Almoammer2013","100212-A2","English",NA,"M",1,1
"144","Almoammer2013","100212-A2","English",NA,"M",5,5
"145","Almoammer2013","100212-A2","English",NA,"M",4,4
"146","Almoammer2013","100212-A2","English",NA,"M",8,8
"147","Almoammer2013","100212-A2","English",NA,"M",3,3
"148","Almoammer2013","100212-E","English",NA,"F",1,10
"149","Almoammer2013","100212-E","English",NA,"F",2,10
"150","Almoammer2013","100212-E","English",NA,"F",4,2
"151","Almoammer2013","100212-E","English",NA,"F",8,10
"152","Almoammer2013","100212-E","English",NA,"F",5,NA
"153","Almoammer2013","100212-E","English",NA,"F",3,NA
"154","Almoammer2013","100212-E","English",NA,"F",10,NA
"155","Almoammer2013","100212-E","English",NA,"F",3,NA
"156","Almoammer2013","100212-E","English",NA,"F",10,NA
"157","Almoammer2013","100212-E","English",NA,"F",4,NA
"158","Almoammer2013","100212-E","English",NA,"F",1,NA
"159","Almoammer2013","100212-E","English",NA,"F",5,NA
"160","Almoammer2013","100212-E","English",NA,"F",2,NA
"161","Almoammer2013","100212-E","English",NA,"F",8,NA
"162","Almoammer2013","100212-E","English",NA,"F",10,NA
"163","Almoammer2013","100212-E","English",NA,"F",2,NA
"164","Almoammer2013","100212-E","English",NA,"F",1,NA
"165","Almoammer2013","100212-E","English",NA,"F",5,NA
"166","Almoammer2013","100212-E","English",NA,"F",4,NA
"167","Almoammer2013","100212-E","English",NA,"F",8,NA
"168","Almoammer2013","100212-E","English",NA,"F",3,NA
"169","Almoammer2013","100312-LM","English",47.83,"M",1,1
"170","Almoammer2013","100312-LM","English",47.83,"M",2,2
"171","Almoammer2013","100312-LM","English",47.83,"M",4,4
"172","Almoammer2013","100312-LM","English",47.83,"M",8,8
"173","Almoammer2013","100312-LM","English",47.83,"M",5,5
"174","Almoammer2013","100312-LM","English",47.83,"M",3,3
"175","Almoammer2013","100312-LM","English",47.83,"M",10,10
"176","Almoammer2013","100312-LM","English",47.83,"M",3,3
"177","Almoammer2013","100312-LM","English",47.83,"M",10,10
"178","Almoammer2013","100312-LM","English",47.83,"M",4,4
"179","Almoammer2013","100312-LM","English",47.83,"M",1,1
"180","Almoammer2013","100312-LM","English",47.83,"M",5,5
"181","Almoammer2013","100312-LM","English",47.83,"M",2,2
"182","Almoammer2013","100312-LM","English",47.83,"M",8,8
"183","Almoammer2013","100312-LM","English",47.83,"M",10,10
"184","Almoammer2013","100312-LM","English",47.83,"M",2,2
"185","Almoammer2013","100312-LM","English",47.83,"M",1,1
"186","Almoammer2013","100312-LM","English",47.83,"M",5,5
"187","Almoammer2013","100312-LM","English",47.83,"M",4,4
"188","Almoammer2013","100312-LM","English",47.83,"M",8,8
"189","Almoammer2013","100312-LM","English",47.83,"M",3,3
"190","Almoammer2013","100312-PH","English",45.86,"M",1,1
"191","Almoammer2013","100312-PH","English",45.86,"M",2,2
"192","Almoammer2013","100312-PH","English",45.86,"M",4,4
"193","Almoammer2013","100312-PH","English",45.86,"M",8,7
"194","Almoammer2013","100312-PH","English",45.86,"M",5,9
"195","Almoammer2013","100312-PH","English",45.86,"M",3,3
"196","Almoammer2013","100312-PH","English",45.86,"M",10,4
"197","Almoammer2013","100312-PH","English",45.86,"M",3,3
"198","Almoammer2013","100312-PH","English",45.86,"M",10,4
"199","Almoammer2013","100312-PH","English",45.86,"M",4,5
"200","Almoammer2013","100312-PH","English",45.86,"M",1,1
"201","Almoammer2013","100312-PH","English",45.86,"M",5,4
"202","Almoammer2013","100312-PH","English",45.86,"M",2,2
"203","Almoammer2013","100312-PH","English",45.86,"M",8,5
"204","Almoammer2013","100312-PH","English",45.86,"M",10,5
"205","Almoammer2013","100312-PH","English",45.86,"M",2,2
"206","Almoammer2013","100312-PH","English",45.86,"M",1,1
"207","Almoammer2013","100312-PH","English",45.86,"M",5,4
"208","Almoammer2013","100312-PH","English",45.86,"M",4,6
"209","Almoammer2013","100312-PH","English",45.86,"M",8,6
"210","Almoammer2013","100312-PH","English",45.86,"M",3,3
"211","Almoammer2013","100312-RW","English",45.56,"M",1,1
"212","Almoammer2013","100312-RW","English",45.56,"M",2,2
"213","Almoammer2013","100312-RW","English",45.56,"M",4,4
"214","Almoammer2013","100312-RW","English",45.56,"M",8,4
"215","Almoammer2013","100312-RW","English",45.56,"M",5,4
"216","Almoammer2013","100312-RW","English",45.56,"M",3,3
"217","Almoammer2013","100312-RW","English",45.56,"M",10,4
"218","Almoammer2013","100312-RW","English",45.56,"M",3,5
"219","Almoammer2013","100312-RW","English",45.56,"M",10,4
"220","Almoammer2013","100312-RW","English",45.56,"M",4,7
"221","Almoammer2013","100312-RW","English",45.56,"M",1,1
"222","Almoammer2013","100312-RW","English",45.56,"M",5,5
"223","Almoammer2013","100312-RW","English",45.56,"M",2,2
"224","Almoammer2013","100312-RW","English",45.56,"M",8,4
"225","Almoammer2013","100312-RW","English",45.56,"M",10,5
"226","Almoammer2013","100312-RW","English",45.56,"M",2,2
"227","Almoammer2013","100312-RW","English",45.56,"M",1,1
"228","Almoammer2013","100312-RW","English",45.56,"M",5,4
"229","Almoammer2013","100312-RW","English",45.56,"M",4,4
"230","Almoammer2013","100312-RW","English",45.56,"M",8,4
"231","Almoammer2013","100312-RW","English",45.56,"M",3,4
"232","Almoammer2013","100312-OF","English",49.67,"M",1,1
"233","Almoammer2013","100312-OF","English",49.67,"M",2,2
"234","Almoammer2013","100312-OF","English",49.67,"M",4,6
"235","Almoammer2013","100312-OF","English",49.67,"M",8,3
"236","Almoammer2013","100312-OF","English",49.67,"M",5,10
"237","Almoammer2013","100312-OF","English",49.67,"M",3,4
"238","Almoammer2013","100312-OF","English",49.67,"M",10,2
"239","Almoammer2013","100312-OF","English",49.67,"M",3,4
"240","Almoammer2013","100312-OF","English",49.67,"M",10,7
"241","Almoammer2013","100312-OF","English",49.67,"M",4,4
"242","Almoammer2013","100312-OF","English",49.67,"M",1,1
"243","Almoammer2013","100312-OF","English",49.67,"M",5,10
"244","Almoammer2013","100312-OF","English",49.67,"M",2,2
"245","Almoammer2013","100312-OF","English",49.67,"M",8,4
"246","Almoammer2013","100312-OF","English",49.67,"M",10,4
"247","Almoammer2013","100312-OF","English",49.67,"M",2,10
"248","Almoammer2013","100312-OF","English",49.67,"M",1,1
"249","Almoammer2013","100312-OF","English",49.67,"M",5,5
"250","Almoammer2013","100312-OF","English",49.67,"M",4,5
"251","Almoammer2013","100312-OF","English",49.67,"M",8,6
"252","Almoammer2013","100312-OF","English",49.67,"M",3,4
"253","Almoammer2013","100312-EL","English",54.64,"M",1,1
"254","Almoammer2013","100312-EL","English",54.64,"M",2,2
"255","Almoammer2013","100312-EL","English",54.64,"M",4,4
"256","Almoammer2013","100312-EL","English",54.64,"M",8,8
"257","Almoammer2013","100312-EL","English",54.64,"M",5,5
"258","Almoammer2013","100312-EL","English",54.64,"M",3,3
"259","Almoammer2013","100312-EL","English",54.64,"M",10,10
"260","Almoammer2013","100312-EL","English",54.64,"M",3,3
"261","Almoammer2013","100312-EL","English",54.64,"M",10,10
"262","Almoammer2013","100312-EL","English",54.64,"M",4,4
"263","Almoammer2013","100312-EL","English",54.64,"M",1,1
"264","Almoammer2013","100312-EL","English",54.64,"M",5,5
"265","Almoammer2013","100312-EL","English",54.64,"M",2,2
"266","Almoammer2013","100312-EL","English",54.64,"M",8,8
"267","Almoammer2013","100312-EL","English",54.64,"M",10,10
"268","Almoammer2013","100312-EL","English",54.64,"M",2,2
"269","Almoammer2013","100312-EL","English",54.64,"M",1,1
"270","Almoammer2013","100312-EL","English",54.64,"M",5,5
"271","Almoammer2013","100312-EL","English",54.64,"M",4,4
"272","Almoammer2013","100312-EL","English",54.64,"M",8,8
"273","Almoammer2013","100312-EL","English",54.64,"M",3,3
"274","Almoammer2013","100312-CA","English",56.68,"M",1,1
"275","Almoammer2013","100312-CA","English",56.68,"M",2,2
"276","Almoammer2013","100312-CA","English",56.68,"M",4,4
"277","Almoammer2013","100312-CA","English",56.68,"M",8,8
"278","Almoammer2013","100312-CA","English",56.68,"M",5,5
"279","Almoammer2013","100312-CA","English",56.68,"M",3,3
"280","Almoammer2013","100312-CA","English",56.68,"M",10,10
"281","Almoammer2013","100312-CA","English",56.68,"M",3,3
"282","Almoammer2013","100312-CA","English",56.68,"M",10,10
"283","Almoammer2013","100312-CA","English",56.68,"M",4,4
"284","Almoammer2013","100312-CA","English",56.68,"M",1,1
"285","Almoammer2013","100312-CA","English",56.68,"M",5,5
"286","Almoammer2013","100312-CA","English",56.68,"M",2,2
"287","Almoammer2013","100312-CA","English",56.68,"M",8,8
"288","Almoammer2013","100312-CA","English",56.68,"M",10,10
"289","Almoammer2013","100312-CA","English",56.68,"M",2,2
"290","Almoammer2013","100312-CA","English",56.68,"M",1,1
"291","Almoammer2013","100312-CA","English",56.68,"M",5,5
"292","Almoammer2013","100312-CA","English",56.68,"M",4,4
"293","Almoammer2013","100312-CA","English",56.68,"M",8,8
"294","Almoammer2013","100312-CA","English",56.68,"M",3,3
"295","Almoammer2013","100312-HG","English",53.85,"M",1,1
"296","Almoammer2013","100312-HG","English",53.85,"M",2,2
"297","Almoammer2013","100312-HG","English",53.85,"M",4,4
"298","Almoammer2013","100312-HG","English",53.85,"M",8,7
"299","Almoammer2013","100312-HG","English",53.85,"M",5,5
"300","Almoammer2013","100312-HG","English",53.85,"M",3,3
"301","Almoammer2013","100312-HG","English",53.85,"M",10,10
"302","Almoammer2013","100312-HG","English",53.85,"M",3,3
"303","Almoammer2013","100312-HG","English",53.85,"M",10,10
"304","Almoammer2013","100312-HG","English",53.85,"M",4,4
"305","Almoammer2013","100312-HG","English",53.85,"M",1,1
"306","Almoammer2013","100312-HG","English",53.85,"M",5,5
"307","Almoammer2013","100312-HG","English",53.85,"M",2,2
"308","Almoammer2013","100312-HG","English",53.85,"M",8,8
"309","Almoammer2013","100312-HG","English",53.85,"M",10,10
"310","Almoammer2013","100312-HG","English",53.85,"M",2,2
"311","Almoammer2013","100312-HG","English",53.85,"M",1,1
"312","Almoammer2013","100312-HG","English",53.85,"M",5,5
"313","Almoammer2013","100312-HG","English",53.85,"M",4,4
"314","Almoammer2013","100312-HG","English",53.85,"M",8,8
"315","Almoammer2013","100312-HG","English",53.85,"M",3,3
"316","Almoammer2013","100312-GS","English",50.69,"M",1,1
"317","Almoammer2013","100312-GS","English",50.69,"M",2,2
"318","Almoammer2013","100312-GS","English",50.69,"M",4,4
"319","Almoammer2013","100312-GS","English",50.69,"M",8,8
"320","Almoammer2013","100312-GS","English",50.69,"M",5,5
"321","Almoammer2013","100312-GS","English",50.69,"M",3,3
"322","Almoammer2013","100312-GS","English",50.69,"M",10,10
"323","Almoammer2013","100312-GS","English",50.69,"M",3,3
"324","Almoammer2013","100312-GS","English",50.69,"M",10,10
"325","Almoammer2013","100312-GS","English",50.69,"M",4,4
"326","Almoammer2013","100312-GS","English",50.69,"M",1,1
"327","Almoammer2013","100312-GS","English",50.69,"M",5,5
"328","Almoammer2013","100312-GS","English",50.69,"M",2,2
"329","Almoammer2013","100312-GS","English",50.69,"M",8,8
"330","Almoammer2013","100312-GS","English",50.69,"M",10,10
"331","Almoammer2013","100312-GS","English",50.69,"M",2,2
"332","Almoammer2013","100312-GS","English",50.69,"M",1,1
"333","Almoammer2013","100312-GS","English",50.69,"M",5,5
"334","Almoammer2013","100312-GS","English",50.69,"M",4,4
"335","Almoammer2013","100312-GS","English",50.69,"M",8,8
"336","Almoammer2013","100312-GS","English",50.69,"M",3,3
"337","Almoammer2013","100312-QH","English",50.3,"M",1,1
"338","Almoammer2013","100312-QH","English",50.3,"M",2,2
"339","Almoammer2013","100312-QH","English",50.3,"M",4,4
"340","Almoammer2013","100312-QH","English",50.3,"M",8,8
"341","Almoammer2013","100312-QH","English",50.3,"M",5,5
"342","Almoammer2013","100312-QH","English",50.3,"M",3,3
"343","Almoammer2013","100312-QH","English",50.3,"M",10,10
"344","Almoammer2013","100312-QH","English",50.3,"M",3,3
"345","Almoammer2013","100312-QH","English",50.3,"M",10,10
"346","Almoammer2013","100312-QH","English",50.3,"M",4,4
"347","Almoammer2013","100312-QH","English",50.3,"M",1,1
"348","Almoammer2013","100312-QH","English",50.3,"M",5,5
"349","Almoammer2013","100312-QH","English",50.3,"M",2,2
"350","Almoammer2013","100312-QH","English",50.3,"M",8,8
"351","Almoammer2013","100312-QH","English",50.3,"M",10,10
"352","Almoammer2013","100312-QH","English",50.3,"M",2,2
"353","Almoammer2013","100312-QH","English",50.3,"M",1,1
"354","Almoammer2013","100312-QH","English",50.3,"M",5,5
"355","Almoammer2013","100312-QH","English",50.3,"M",4,4
"356","Almoammer2013","100312-QH","English",50.3,"M",8,8
"357","Almoammer2013","100312-QH","English",50.3,"M",3,3
"358","Almoammer2013","100312-MK","English",59.41,"M",1,1
"359","Almoammer2013","100312-MK","English",59.41,"M",2,2
"360","Almoammer2013","100312-MK","English",59.41,"M",4,4
"361","Almoammer2013","100312-MK","English",59.41,"M",8,8
"362","Almoammer2013","100312-MK","English",59.41,"M",5,5
"363","Almoammer2013","100312-MK","English",59.41,"M",3,3
"364","Almoammer2013","100312-MK","English",59.41,"M",10,10
"365","Almoammer2013","100312-MK","English",59.41,"M",3,3
"366","Almoammer2013","100312-MK","English",59.41,"M",10,10
"367","Almoammer2013","100312-MK","English",59.41,"M",4,4
"368","Almoammer2013","100312-MK","English",59.41,"M",1,1
"369","Almoammer2013","100312-MK","English",59.41,"M",5,5
"370","Almoammer2013","100312-MK","English",59.41,"M",2,2
"371","Almoammer2013","100312-MK","English",59.41,"M",8,8
"372","Almoammer2013","100312-MK","English",59.41,"M",10,10
"373","Almoammer2013","100312-MK","English",59.41,"M",2,2
"374","Almoammer2013","100312-MK","English",59.41,"M",1,1
"375","Almoammer2013","100312-MK","English",59.41,"M",5,5
"376","Almoammer2013","100312-MK","English",59.41,"M",4,4
"377","Almoammer2013","100312-MK","English",59.41,"M",8,8
"378","Almoammer2013","100312-MK","English",59.41,"M",3,3
"379","Almoammer2013","100512-JC","English",47.01,"M",1,1
"380","Almoammer2013","100512-JC","English",47.01,"M",2,2
"381","Almoammer2013","100512-JC","English",47.01,"M",4,3
"382","Almoammer2013","100512-JC","English",47.01,"M",8,3
"383","Almoammer2013","100512-JC","English",47.01,"M",5,5
"384","Almoammer2013","100512-JC","English",47.01,"M",3,3
"385","Almoammer2013","100512-JC","English",47.01,"M",10,3
"386","Almoammer2013","100512-JC","English",47.01,"M",3,3
"387","Almoammer2013","100512-JC","English",47.01,"M",10,4
"388","Almoammer2013","100512-JC","English",47.01,"M",4,3
"389","Almoammer2013","100512-JC","English",47.01,"M",1,1
"390","Almoammer2013","100512-JC","English",47.01,"M",5,3
"391","Almoammer2013","100512-JC","English",47.01,"M",2,2
"392","Almoammer2013","100512-JC","English",47.01,"M",8,4
"393","Almoammer2013","100512-JC","English",47.01,"M",10,4
"394","Almoammer2013","100512-JC","English",47.01,"M",2,2
"395","Almoammer2013","100512-JC","English",47.01,"M",1,1
"396","Almoammer2013","100512-JC","English",47.01,"M",5,5
"397","Almoammer2013","100512-JC","English",47.01,"M",4,3
"398","Almoammer2013","100512-JC","English",47.01,"M",8,4
"399","Almoammer2013","100512-JC","English",47.01,"M",3,3
"400","Almoammer2013","100912-TL","English",33.95,"M",1,10
"401","Almoammer2013","100912-TL","English",33.95,"M",2,10
"402","Almoammer2013","100912-TL","English",33.95,"M",4,10
"403","Almoammer2013","100912-TL","English",33.95,"M",8,10
"404","Almoammer2013","100912-TL","English",33.95,"M",5,10
"405","Almoammer2013","100912-TL","English",33.95,"M",3,10
"406","Almoammer2013","100912-TL","English",33.95,"M",10,10
"407","Almoammer2013","100912-TL","English",33.95,"M",3,NA
"408","Almoammer2013","100912-TL","English",33.95,"M",10,NA
"409","Almoammer2013","100912-TL","English",33.95,"M",4,NA
"410","Almoammer2013","100912-TL","English",33.95,"M",1,NA
"411","Almoammer2013","100912-TL","English",33.95,"M",5,NA
"412","Almoammer2013","100912-TL","English",33.95,"M",2,NA
"413","Almoammer2013","100912-TL","English",33.95,"M",8,NA
"414","Almoammer2013","100912-TL","English",33.95,"M",10,NA
"415","Almoammer2013","100912-TL","English",33.95,"M",2,NA
"416","Almoammer2013","100912-TL","English",33.95,"M",1,NA
"417","Almoammer2013","100912-TL","English",33.95,"M",5,NA
"418","Almoammer2013","100912-TL","English",33.95,"M",4,NA
"419","Almoammer2013","100912-TL","English",33.95,"M",8,NA
"420","Almoammer2013","100912-TL","English",33.95,"M",3,NA
"421","Almoammer2013","100912-LB","English",25.13,"M",1,10
"422","Almoammer2013","100912-LB","English",25.13,"M",2,10
"423","Almoammer2013","100912-LB","English",25.13,"M",4,10
"424","Almoammer2013","100912-LB","English",25.13,"M",8,10
"425","Almoammer2013","100912-LB","English",25.13,"M",5,10
"426","Almoammer2013","100912-LB","English",25.13,"M",3,10
"427","Almoammer2013","100912-LB","English",25.13,"M",10,10
"428","Almoammer2013","100912-LB","English",25.13,"M",3,NA
"429","Almoammer2013","100912-LB","English",25.13,"M",10,NA
"430","Almoammer2013","100912-LB","English",25.13,"M",4,NA
"431","Almoammer2013","100912-LB","English",25.13,"M",1,NA
"432","Almoammer2013","100912-LB","English",25.13,"M",5,NA
"433","Almoammer2013","100912-LB","English",25.13,"M",2,NA
"434","Almoammer2013","100912-LB","English",25.13,"M",8,NA
"435","Almoammer2013","100912-LB","English",25.13,"M",10,NA
"436","Almoammer2013","100912-LB","English",25.13,"M",2,NA
"437","Almoammer2013","100912-LB","English",25.13,"M",1,NA
"438","Almoammer2013","100912-LB","English",25.13,"M",5,NA
"439","Almoammer2013","100912-LB","English",25.13,"M",4,NA
"440","Almoammer2013","100912-LB","English",25.13,"M",8,NA
"441","Almoammer2013","100912-LB","English",25.13,"M",3,NA
"442","Almoammer2013","100912-DH","English",28.26,"M",1,10
"443","Almoammer2013","100912-DH","English",28.26,"M",2,10
"444","Almoammer2013","100912-DH","English",28.26,"M",4,10
"445","Almoammer2013","100912-DH","English",28.26,"M",8,10
"446","Almoammer2013","100912-DH","English",28.26,"M",5,10
"447","Almoammer2013","100912-DH","English",28.26,"M",3,10
"448","Almoammer2013","100912-DH","English",28.26,"M",10,10
"449","Almoammer2013","100912-DH","English",28.26,"M",3,NA
"450","Almoammer2013","100912-DH","English",28.26,"M",10,NA
"451","Almoammer2013","100912-DH","English",28.26,"M",4,NA
"452","Almoammer2013","100912-DH","English",28.26,"M",1,NA
"453","Almoammer2013","100912-DH","English",28.26,"M",5,NA
"454","Almoammer2013","100912-DH","English",28.26,"M",2,NA
"455","Almoammer2013","100912-DH","English",28.26,"M",8,NA
"456","Almoammer2013","100912-DH","English",28.26,"M",10,NA
"457","Almoammer2013","100912-DH","English",28.26,"M",2,NA
"458","Almoammer2013","100912-DH","English",28.26,"M",1,NA
"459","Almoammer2013","100912-DH","English",28.26,"M",5,NA
"460","Almoammer2013","100912-DH","English",28.26,"M",4,NA
"461","Almoammer2013","100912-DH","English",28.26,"M",8,NA
"462","Almoammer2013","100912-DH","English",28.26,"M",3,NA
