Experiment,Language,Country
Almoammer_Barner_2013,Slovenian,Slovenia
Almoammer_Barner_2013,English,United States
Almoammer_Barner_2013,Saudi,Saudi Arabia
Almoammer_Barner_2013,Mandarin,Taiwan
Wagner2019,English,United States
Wagner2019,Spanish,United States
Wagner2019,French,United States
Piantadosi_Gibson_2014,Tsimane,Bolivia
Sarnecka2007,English,United States
Sarnecka2007,Japanese,Japan
Sarnecka2007,Russian,Russia
Sarnecka_Negen_2019,English,United States
Krajcsi2018,Hungarian,Hungary
Boni_Unpublished_ordered,Tsimane,Bolivia
Boni_Unpublished_random,Tsimane,Bolivia
Schneider_Barner_UnderReview,English,United States
Schneider_Barner_UnderReview,English/Portugese,United States
Schneider_Barner_UnderReview,English/Spanish,United States
Schneider_Barner_Unpublished,English,United States
Schneider_Barner_2020,Cantonese ,Hong Kong
Schneider_Barner_2020,English (India),India
Schneider_Barner_2020,English (US),United States
Schneider_Barner_2020,Gujarati,India
Schneider_Barner_2020,Hindi,India
Schneider_Barner_2020,Macedonian,Slovenia
Schneider_Barner_2020,Serbian/Slovenian,Slovenia
Schneider_Barner_2020,Serbian / Slovenian,Slovenia
Schneider_Barner_2020,Slovenian,Slovenia
MarchandUnderRev,Armenian,United States
MarchandUnderRev,English,United States
Marchand_Barner_2020_Titrated_1,Armenian,United States
Marchand_Barner_2020_Titrated_1,English,United States
Marchand_Barner_2020_Titrated_2,Armenian,United States
Marchand_Barner_2020_Titrated_2,English,United States
Marchand_Barner_2020_nonTitrated_1,Armenian,United States
Marchand_Barner_2020_nonTitrated_1,English,United States
Marchand_Barner_2020_nonTitrated_2,Armenian,United States
Marchand_Barner_2020_nonTitrated_2,English,United States
Marchand2019,Anglais,Canada
Marchand2019,Français,Canada
Barner_Takasaki_2009,Japanese,Japan
Barner_Yang_2009,English,United States
Marusic_Barner_2016,Slovenian_dual,Slovenia
Marusic_Barner_2016,Slovenian_nonDual,Slovenia
